Title,Description
Data Annotator - Remote - Indeed.com,"Data Annotator (employment via Workforce Logiq)
The position is fully remote and part-time (candidates must be authorized to work in Canada, PGWPP accepted): 20 hours a week at a minimum, maybe more by mutual agreement, up to 40 hours a week. Partially flex-time: many assignments can be done outside of our business hours.
Who we are:
Moveworks is revolutionizing how companies support their employees — with the first AI platform that makes getting help at work effortless. Included on the prestigious Forbes AI 50 list and named a leader in The Forrester New Wave, Moveworks uses advanced machine learning to resolve employees’ requests, whether they need IT support, HR help, or policy information.
What you'll do:
As a Data Annotator, you will be categorizing, tagging, labeling, and evaluating textual information.
Key tasks include:
Grading the quality of algorithmic responses to user queries
Tagging salient information in user-entered text
Identifying mentions of common software titles in support tickets in IT and other enterprise domains
Categorizing support tickets using a complex taxonomy
Evaluating the performance of an AI chatbot
What you bring to the table:
Fully fluent in written and spoken English at a professional level
Authorized to work in Canada
Must be fully vaccinated against covid-19
Some attributes of successful candidates are:
Attention to detail coupled with the ability to see the big picture
Reliable performance on repetitive tasks (we like to think of our tasks as “non-boring and repetitive”)
An analytical mindset
The ability to form and apply mental models consistently
Accuracy at speed
Motivation to meet recurrent deadlines on rolling tasks
Ability to explain your thought process and decision making
Willingness to put yourself in the shoes of others and empathetic understanding of the needs of users
Proactive self-starter capable of focused, independent work
Adept at remote collaboration (Slack, Zoom, Google Suite)
Excited to learn and improve
Curious and creative
Preferred attributes:
Knowledge of IT terminology and processes
Experience working in a large enterprise (in any role)
Knowledge of terminology and processes in HR, or Finance, or Accounting, or Facilities, or Legal
While we welcome professionals from all backgrounds, we want to be clear that this job does NOT require skills and qualifications in the following fields:
Data science and analytics
Computer science
Computations linguistics
Machine learning
Engineering
PLEASE NOTE: Both resume/CV and cover letter are required for consideration. In your cover letter, please indicate how many hours a week, on average, you will have available if hired as a Data Annotator.
Our candidate selection process involves a take-home Data Annotation challenge as a prerequisite to being interviewed on the ZOOM platform"
"Machine Learning Tools Developer - Ottawa, ON - Indeed.com","Location: Ottawa, with the option to be remote within Canada.
At BluWave-ai our mission is to deliver innovative AI solutions to accelerate the transformation towards renewable energy. We apply AI software to increase the use of clean energy in smart grids and microgrids with distributed energy resources and demand response. We are also driving the transition to electrification of transportation as the grid becomes the local gas station.
We are looking for talented people with entrepreneurial drive to seize on the ground floor opportunities, grow their careers, and make a positive impact for the environment.
We invite you to read our story on our About Us page, our products pages, and we'll shared some info about our technology stack when we meet!
Who you are
You love wrangling data to create performant streaming data that feeds Machine Learning models
You enjoy straddling the worlds of Data Science and Developer, and when reviewing a Jupyter Notebook you find yourself drawn more to how to efficiently implement the solution space for product (even though the research is amazing)
You love building tools for yourself to make working with Machine Learning solutions in production easier to troubleshoot
You love to keep on top of the latest and greatest in technology, and are able to be opinionated on which are winners, and which are hype
You’re a strong believer in Continuous integration, and the DevOps mindset
You think it is critical to understand of how your software runs on infrastructure in detail, and are experienced in how it should be designed
You like working in teams, mentoring, and sharing neat things you come across enjoy
Your Responsibilities
Design, develop, and support production grade streaming Machine Learning pipelines and solutions, including the areas of fast and efficient data processing, fault-tolerance, scalability
Work closely with a Data Science team focused on the research aspects, and comprehend, design, and implement the path to product
Drive the surrounding Machine Learning technology eco-system to support our product and workflows
Work closely with product management, QA, and Support to build and support product
Analyze, scope, review, and estimate development activities
Be the subject matter expert of your ownership areas of the product
Participate in evolving the team’s processes so we’re efficient, and loving what we do
Your Knowledge, Experience, and Skills
Required:
2 years experience with building efficient and scalable data pipelines feeding Machine Learning models (including efficient and scalable preprocessing, training path, inference path, graceful degredation, dirty data mitigation)
2 years of experience with scalable data processing technologies (i.e. Spark, Flink, Apache Beam)
3 years of experience developing advanced Python using Object Oriented techniques, Modules (i.e. more than scripting)
Experience with the Machine Learning Life-Cycle (i.e. scoping, data review, data processing, feature extraction, model development, testing, troubleshooting, performance monitoring)
Experience with Tensorflow, or equivalents
Multiple releases of your code deployed live and having to support it with customers at arms length
Experience developing streaming data analytics including the storage and access challenges at scale and in production
Clear verbal and written communication and the ability collaborate effectively in a geographically dispersed working environment
Considered an asset:
Experience with Data Lake design, implementation, and life-cycle combining multiple disseparate types of data
Advanced experience with the whole life-cycle of Python dependency management strategy across multiple repositories
Experience with at least once IaaS provider
Experience with the Power Systems domain and the software that manages it
What you will gain
Knowledge, skills, and professional networking in one of the most exciting and positively impactful technology domains that is an intersection of machine learning, data science, electrical engineering, and software
Startup experience and ground floor opportunities for growth in a team that includes PhD Smart Grid Engineers, Data Scientists, recent grads, and seasoned business professionals
Competitive compensation
High quality of life and career in Canada's National Capital Region
Working on a team with a serious approach towards our work, rather than ourselves, together with fun and random team events such as Ice Cream Fridays and Cosmological Lunches. You will get the opportunity to come up with one
Diversity makes us stronger. BluWave-ai provides equal employment opportunities to all employees and applicants without regard to race, color, religion, sex, gender, nation origin, disability, or any other characteristic protected by applicable laws, regulations, or ordinances.
Authorization to work in Canada will be required for this position.
saKEt8rU9V"
Senior Machine Learning/ Data Scientist at Upwork.com - Remote - Indeed.com,"Senior Machine Learning/ Data Scientist at Upwork.com
Apply via Indeed or https://www.upwork.com/careers/job-post/
4583271003
.
Upwork ($UPWK) is the leading tech solution for companies looking to hire the best talent, maintain flexibility, and get more done. We're passionate about our mission to create economic opportunities so people have better lives. Every year, more than $2 billion of work is done through Upwork by skilled professionals who want the freedom of working anytime, anywhere. Top companies connecting with extraordinary talent around the globe? Upwork is how.
The ideal candidate will have experience building machine learning solutions at scale to deliver meaningful business impact. You care deeply about helping our users succeed and are excited to tackle technical challenges. You will be part of a diverse and passionate team based around the world in fields from computer science and electrical engineering to economics and statistics.
What will you do?
Build advanced machine learning models with a direct impact on Upwork users’ experience.
Improve Upwork’s search and recommendation relevance using Deep
Learning, NLP, Learning to Rank methods.
Collaborate closely with data scientists, engineers, designers and product managers to build products end-to-end on key initiatives.
Required Skills:
Strong problem-solving skills with an emphasis on product development.
Deep knowledge of machine learning, neural networks, recommender systems, natural language processing or related fields.
Industry experience delivering and maintaining production models at scale using Spark, Python, SQL, Scala, Tensorflow (or similar alternative).
Excellent English skills - verbal and written communication.
More about the job:
Full-time (40 hrs/week). Flexible, fully remote working hours with a required overlap for communication with a team in California (9am to 12 pm PST).
Job Type: Full-time
Pay: $100,000.00-$200,000.00 per year
Benefits:
Casual dress
Extended health care
Flexible schedule
Wellness program
Work from home
Schedule:
Monday to Friday
Experience:
Machine Learning: 1 year (preferred)
Work remotely:
Yes"
"Machine Learning, Research Scientist - Remote - Indeed.com","From the latest in Edge AI platforms to cloud-ready solutions,
Paravision
powers computer vision-centric solutions that deliver breakthrough capabilities in the most challenging conditions. We’re the top-ranked face recognition provider from the U.S., UK, and EU, delivering world-class capability with an ethical and customer-centric approach. In alignment with our company values, we hire people who are collaborative with a growth mindset, intellectually strong and curious, and energy accretive.
Our business is growing rapidly, and we seek a highly motivated
Machine Learning, Research Scientist
to join our world-class distributed technical team. This role will report directly to our Director of Machine Learning, and be an accelerant for the rapid growth
Paravision
is experiencing.
What You'll Do:
Design and code highly scalable, machine learning applications processing large volumes of image and video data.
Develop and implement state of the art algorithms for face detection, face recognition, face clustering and liveness.
Measure progress against industry standard benchmarks such as WiderFace, COCO, NIST-FRVT.
Collaborate with others in crafting and implementing your technical vision.
Follow agile processes with a focus on delivering production-ready testable code in small iterations.
Participate in the entire development lifecycle, from concept to release.
Participate in all phases of quality assurance and defect resolution.
What You Bring:
PhD in Computer Science or related field with research in machine learning.
3+ years of experience building machine learning or AI systems.
OR MSc in Computer Science or related field and 10 years software engineering experience in a related advanced technology environment.
Expert skills with machine learning software packages (e.g., PyTorch, MXNet, Caffe, scikit-learn, TensorFlow).
Deep understanding of mathematical foundations of Machine Learning algorithms.
Experience working with large datasets.
What You Have:
Excellent problem-solving, analytical and interpersonal skills.
Ability to work autonomously and willingness to roll up one’s sleeves to get the job done.
Polished communication style, both oral and written, and a comfort interfacing with various levels across the organization, with both technical and non-technical audiences.
Ability to manage multiple, competing priorities simultaneously.
A true passion for technology and thoughtful delivery of next-generation capabilities.
Bonus to Have:
Solid knowledge in state-of-art deep learning models and optimization methods.
Experience working with different types of Generative Adversarial Networks (Style, Cycle, etc.).
Experience working with one of the major cloud services: AWS, GCP or Azure.
Prior computer vision or image processing experience.
Ability to independently conduct literature survey, find cutting edge heuristics or algorithms, and implement them in an engineering environment.
Experience with building Operations Research/Machine Learning algorithms and productionizing them at scale in a distributed computation environment.
Publication in peer-reviewed journals or conferences is a plus.
What You'll Get:
Competitive salary with meaningful equity compensation and excellent benefits.
The opportunity to work with a group of highly talented and equally nice people while making a huge impact.
Work-life flexibility - we value your contributions above all.
A professional environment with a focus on teamwork.
Paravision
is focused on building a diverse and inclusive workforce, and we believe the more inclusive we are, the better our company will be. We are proud to be an Equal Opportunity Employer and consider applicants for employment without regard to race, religion, gender identity or expression, sexual orientation, national origin, age, or marital, veteran, or disability status, or other applicable legally protected characteristics.
We consider for employment all qualified applicants in accordance with the San Francisco Fair Chance Ordinance.
If you’re excited about this role, but do not meet 100% of the qualifications listed above, we encourage you to apply. If you require assistance or accommodation during the recruitment process due to a disability, please let us know."
"Machine Learning - CO-OP Opportunity - Chatham-Kent, ON - Indeed.com","We are interested in supply and demand forecasting using time-series data. Demand is the number of words and the number of orders. By considering the average price per word, we can then forecast revenue. Supply consists of the number of editors available to work on orders. Scribendi has time-series data on sales from 2005 onward, which depend on variables such as time, service price, and marketing expenses. Supply is dependent on variables such as the number of editors on roster, holidays, and the time of the day. This problem can be treated as a multivariable, multistep time-series forecasting problem. We are also interested in predicting the overall number of orders at risk of being late, which will depend on the relationship between supply and demand.
Our team style:
We are a small team of developers working at a profitable and rapidly growing company
We strive to be innovative and fast-moving and are passionate about getting things done right
We work collaboratively to grow and learn together
We are not afraid of difficult problems, but carefully choose what we spend time on
What you will do:
Collaborate with IT and software development engineers
Research, design, implement, and validate cutting-edge algorithms to analyze diverse sources of data to achieve targeted outcomes
Perform data studies of new and diverse data sources
Conduct modeling and experimental design
Test and validate predictive models
Implement new or enhanced software designed to access and handle data more efficiently
Who you are:
Experience with one or more general-purpose programming languages, including but not limited to:
Java
Lua
Python
Experience with:
Torch
Tensorflow
Pytorch
Theano
Ability to write clear, concise, well-structured, and well-organized code
Strong oral and written communication skills
Why you want to work here:
Enjoy a dynamic corporate culture founded on flexibility and continuous learning
Career development opportunities
An opportunity to use the latest tools and technologies for an online world (Stripe, Slack, Active Collab, etc.)
Employment type:
Full-time
Please apply to scribendi.hr@scribendi.com with a cover letter detailing your experience and passion for working with artificial intelligence, along with your resume and salary expectations."
"Machine Learning Engineer - Metro Vancouver Regional District, BC - Indeed.com","About us
Sunia Technology Inc. (Vancouver) is the research arm of Sunia Electronics Technology Limited, an industry leading technology company specialized in handwriting, hand-drawing technologies on mobile and portable devices, and providing remoting solutions in the cloud. Headquartered in Hong Kong, China, our newly established Sunia Vancouver R&D Center is actively looking for passionate and self-motivated Machine Learning Engineers to join our team.
Responsibilities:
Comprehensive research on the state-of-the-art algorithms on Computer Vision, Image Processing, OCR and NLP. Compare all the candidates or propose new algorithm that could improve and enhance our current products or create proposals for new products.
Design and implement deep learning architectures that learn efficient generalizable representations for several tasks including classification, regression, segmentation and object detection.
Deploy ML algorithms in conjunction with other members of the Software Team in the real applications.
Requirements
:
Bachelor, Master or PhD degrees in Computer Science, Electrical Engineering or equivalent.
Experience developing Computer Vision, Image Processing, OCR, or NLP algorithms.
Experience developing Deep Learning Models for Computer Vision, OCR, NLP tasks.
Experience Implementing deep learning architectures such as CNN, R-CNN, Single Shot Detector, ResNet, etc.
Good working knowledge of one or more Machine Learning Frameworks (TensorFlow, PyTorch Keras, Caffe, MXNet, etc.)
Experience wtih C++, Python, or other programming languages.
First class analytical, diagnostic and problem solving skills.
Excellent verbal and written communication skills with an ability to collaborate with other team members.
Passion to work in an exciting environment and deliver new technologies and products to the marketplace.
Ability to learn quickly.
A positive mental attitude and growth mindset.
Please advise in your application whether you are eligible to work in Canada.
Perks and Benefits:
Remote work available
Competitive salary with full benefits and vacation package
Professional and positive teamwork environment
If you feel like you are a good fit for this position, please apply with your resume. Due to the volume of applicants, we will only be contacting qualified candidates.
Reference ID: MachineLearning
Job Types: Full-time, Permanent
Schedule:
Monday to Friday
Work remotely:
Temporarily due to COVID-19"
"Machine Learning Research Intern, AI@Unity - Vancouver, BC - Indeed.com","The opportunity
Using our industry-leading game engine, we are crafting a whole new line of products and services centered around running massively scaled simulations in the cloud. This will impact multiple industries like Robotics and Autonomous Vehicles, and contribute to the advancement of artificial intelligence!
We are looking for outstanding interns to join the visual Machine Learning team, under AI@Unity. We're looking for interns who are ambitious, adaptable and enjoy challenging the status quo!
What you'll be doing
Contribute to innovative methods to generate visual content for environments made with unity
Implement computer vision models trained on synthetic data to tackle common perception problems
Contribute to a project applying innovative machine learning methods to a practical use case
What we're looking for
Programming experience in one of the following languages: Python, C#, C++, or Java
Currently enrolled in a Canadian University; preferably, pursuing graduate studies in a Masters or PhD program
Experience in: TensorFlow or PyTorch
You might also have
Academic or professional experience in Machine Learning, Deep Learning, and Computer Vision
Experience with contributing to open-source projects
Experience with Unity Engine, 3D simulators, and game development
This internship will take place during the Summer of 2022
Life at Unity
Unity (NYSE: U) is the world's leading platform for creating and operating real-time 3D (RT3D) content. Creators, ranging from game developers to artists, architects, automotive designers, filmmakers, and others, use Unity to make their imaginations come to life. Unity's platform provides a comprehensive set of software solutions to create, run and monetize interactive, real-time 2D and 3D content for mobile phones, tablets, PCs, consoles, and augmented and virtual reality devices.
Unity is at the forefront of development by working alongside partners to ensure optimized support for the latest releases and platforms. Apps developed by Unity creators were downloaded more than five billion times per month in 2020. For more information, please visit www.unity.com.
Unity is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations or accommodations we can make to help ensure you have a comfortable and positive interview experience, please let us know.
Headhunters and recruitment agencies may not submit resumes/CVs through this website or directly to managers. Unity does not accept unsolicited headhunter and agency resumes. Unity will not pay fees to any third-party agency or company that does not have a signed agreement with Unity.
#INT"
"The Bay - Data Scientist - Machine Learning & AI - Toronto, ON - Indeed.com","Location
TORONTO, Ontario, Canada
Category
Finance
Job Opened
November 29th, 2021
Education
Bachelor's Degree
Job Number
210007C7
Job Type
Full-Time
Remote
No
job description
Day in the Life:
We are looking for a curious, self-starting Data Scientist to join us on our journey to enable Advanced Analytics & ML across the organization. You will be working closely with a team of data engineers, other data scientists and Analysts to create data products that solve problems, drive growth and improve shopper experience. Our mission is to drive the ML/AI transformation and help build a dataco culture through collaboration and partnership across various business units from Logistics, buying to Finance and Digital.
This is a terrific opportunity to help transform the organization, leveraging machine learning and AI algorithms to drive business decisions. As part of this team, you will have opportunities to build your analytics skills, shape the next generation of ML/AI solutions and drive important business decisions working with new, cutting-edge technologies.
What You Will Do:
Lead the development of machine learning products and models from inception to production
Explore new data sources to uncover new business opportunities at all levels of the business (strategic to operational)
Identify areas for ML/AI opportunities and demonstrate to internal clients how ML/AI can improve their business
Work with and present to all management levels
Maintain and expand your knowledge of ML/AI and current technology through training opportunities, conferences, etc.
What You Will Need:
Advanced knowledge of ML approaches: deep learning, reinforcement learning, NLP, and others
Programming skills using SQL & Python
Hands-on experience and expertise with different AI/ML frameworks such as Keras, Pytorch, Tensor Flow, Scikit-Learn
Strong analytical skills and a proven ability to use data to drive insights
Excellent communication skills with capability to translate the complexity of your work to various audience
A strong team player and self-starter with a passion to learn new tools & technology
Nice to Have:
Experience with CI/CD pipelines and BI visualization tool
Experience with Dataiku, Snowflake, Tableau, Microstrategy
What You Can Expect:
Competitive salary and benefits package
Associate discount up to 40% including top brands
Flexible work environment that allows for work-life balance
About The Bay
As North America’s oldest startup and Canada’s purpose-driven digital marketplace, The Bay is on a high-growth mission to rewrite the rules of retail to help Canadians live a colourful life. If you believe in the power of our iconic brand and thrive on problem solving at scale, we want you to join our team.
At The Bay, smart, high-performing team members will challenge you to learn and grow every day. We value ambitious work and great ideas grounded in data and insights. We are looking for talented people who love a fast-paced environment, embrace change and are looking to make an impact with groundbreaking ideas.
We are building a digital-first company and brand for a diverse world and we need a diverse team to reach our potential. We strongly encourage applications from everyone to come and join a winning team that supports diverse thinking and demonstrates innovation, energy, creativity and vision every day.
Interested in Social Media?
Follow us on LinkedIn & Instagram
Thank you for your interest with HBC. We look forward to reviewing your application.
HBC provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, HBC complies with applicable state and local laws governing non discrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence,compensation and training.
HBC welcomes all applicants for this position. Should you be individually selected to participate in an assessment or selection process, accommodations are available upon request in relation to the materials or processes to be used."
"Machine Learning Engineer (All levels) - Toronto, ON - Indeed.com","About Us
Deep Genomics is a Toronto-based startup company that is building an AI-powered discovery and development platform to significantly expand the universe of medicines available for genetically defined diseases. Founded in 2015, Deep Genomics brings together a multidisciplinary team of world-leading experts in machine learning, genomics, chemistry, and biology. Together we are on a mission to rapidly discover and develop oligonucleotide drugs for the treatment of patients with severe disorders of the liver, central nervous system, and eye.
Ideal Candidate
Our predictive systems group brings together world-leading experts in biology, genomics, medicine, and machine learning. We are working on several ambitious projects to develop pioneering AI technology for understanding complex genetic diseases and enabling the discovery of novel targets as well as therapies. We are looking for an experienced machine learning engineer to lead the design and development of new models and pipelines and the infrastructure for scaling it up to the next level.
What You’ll Be Doing:
Working with our ML scientists to develop highly scalable models and algorithms for predicting molecular phenotypes using state-of-the-art neural network methodologies.
Developing evaluation, visualization, and productivity tools for streamlining machine learning research
Adapting our algorithms and architectures to best exploit modern cloud computing environments
Working with our software engineers, biologists and geneticists to operationalize and deploy research output to match the needs of stakeholders.
What You Bring:
Solid Engineering and Computer Science fundamentals, ideally with a degree in CS, Math, or equivalent experience.
Senior candidates should have experience in architecting, developing, and deploying large software systems in a leading position
Experience in building, testing, training, and deploying production-ready ML workflows.
Experience developing machine learning algorithms or machine learning infrastructure in Python or C/C++.
Experience with frameworks like PyTorch, Caffe2, Tensorflow, Keras, JAX, Chainer, etc.
Experience in the operationalization of Machine Learning projects (MLOps) using at least one of the popular frameworks or platforms (e.g. Kubeflow, AWS Sagemaker, Google AI Platform, Azure Machine Learning).
What we offer:
Leading role in developing the future of drug development to cure genetically defined diseases.
A highly competitive salary and meaningful equity compensation.
Exceptional opportunities for learning and growth.
A bright, collegial, highly motivated team working at the intersection of the most exciting areas of science and technology.
Deep Genomics thanks all applicants, however only those selected for an interview will be contacted.
Deep Genomics welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process."
"Senior Machine Learning Engineer - Halifax, NS - Indeed.com","Talem Health Analytics was founded with the belief and commitment that providing insights into injuries sustained in motor vehicles accidents early in an insurance claim life cycle will not only benefit insurers but will ensure customer care is at the forefront.
Led by a group of passionate and dedicated individuals focused on building technology that helps insurers accelerate the claim lifecycle and redefines customer care by understanding injuries through the science of how people move, Talem Health Analytics is innovating the auto insurance claims management process by combining clinical expertise, forensic science and artificial intelligence into one platform.
Who We Are:
Talem Health Analytics is an AI-enabled injury analysis platform that helps auto insurers make early and accurate claim management decisions by providing accurate and actionable injury and recovery insights. By placing in-depth scientific injury analysis at the insurers’ fingertips from the start of a claim, adjusters can clearly understand injury likelihood, suitable treatment protocols, and recovery timeline to make data-informed decisions promoting an efficient claims cycle and better customer experience.
Job brief
We are looking for a Senior Machine Learning Engineer to help us create artificial intelligence products.
Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also know data science and software engineering, we’d like to meet you.
Your ultimate goal will be to shape and build efficient self-learning applications.
Responsibilities
Translate our business needs into correct machine learning problems
Select appropriate datasets and data representation methods
Design and implement machine learning systems
Research and implement appropriate ML algorithms and tools
Develop machine learning applications and deploy them into production
Perform statistical analysis and fine-tuning using test results
Communicate the results of the study and models to non-technical stakeholders
Keep abreast of developments in the field
Requirements
Proven experience as a Machine Learning Engineer or similar role for 5+ years, having deployed models in production.
Understanding of data structures, data modelling and software architecture
Deep knowledge of maths, probability, statistics and algorithms
Ability to write robust code in Python and R
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like sci-kit-learn)
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills
Masters in Computer Science, Mathematics or similar field; Or equivalent industry experience
Talem Health Analytics is an affirmative action, equal opportunity employer. Our commitment is to attract, hire and retain select applicants for employment solely based on their qualifications, emphasizing selecting the best-qualified person for the job. Talem Health Analytics does not discriminate against applicants based on race, colour, religion, sex, sexual orientation, national origin, disability, or any other status or condition protected by applicable law.
Expected start date: 2022-01-03
Job Types: Full-time, Permanent
Salary: $68,554.00-$142,062.00 per year
Additional pay:
Overtime pay
Benefits:
Casual dress
Company events
Extended health care
Flexible schedule
Stock options
Work from home
Schedule:
8 hour shift
Monday to Friday
Experience:
machine learning: 1 year (preferred)
Work remotely:
Yes"
