Title,Description
"Territory Manager, Dental - Edmonton - Alberta - Indeed.com","Join a team that is changing millions of lives.
Transforming smiles. Transforming lives. Transforming an industry.
Align Technology, Inc. (NASDAQ: ALGN), makers of the Invisalign® system, and iTero® intraoral scanners, is the industry leader and innovator in medical devices which focuses on revolutionizing the dental and General practitioner dentistry industry. Align Canada opened its first office in the heart of downtown Toronto in 2017 after more than 15 years servicing the Canadian market. With a trajectory accentuated by accelerated growth and innovation, Align Canada continues to reinforce its consumer presence as the most advanced clear aligner system in the world while building a highly regarded employer brand in Canada, being certified as a Great Place to Work in 2019 and again in 2020.
At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever is next. We revolutionized the General practitioner dentistry industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation.
Our teams are constantly pushing the boundaries of what is possible…….so are you ready to join us?
About this opportunity
Dentists are an integral part of our doctor driven business. Our goal is to deliver superior clinical outcomes with an enhanced patient experience. Our continued growth and success depends on enabling doctors to thrive.
Your mission as a
Territory Manager, Dental
is to apply comprehensive knowledge of Invisalign aligner and iTero intraoral scanner products and sales strategies for key accounts to accelerate revenue and higher case volume. You will be responsible for selling directly to professional business owners (General Practitioner Dentists), transforming an analogue process with clear aligners and innovative digital solutions that make straightening teeth easier, faster, and more accessible – helping practitioners grow their business and increase patient satisfaction.
In this role, you will…
Apply a consultative selling approach to provide insights to customers regarding industry trends and consumer profiles to inspire them to modernize and grow their business; assisting them in implementing digital technology and refining office processes.
Manage a defined geography of accounts (dentists) to grow the business; onboard new high potential accounts.
Plan and execute a Territory plan, based on understanding the potential in each account in the defined geography.
Create and execute account plan strategy for highest potential accounts, based on deep understanding of the account’s business, goals, challenges and opportunities.
Achieve territory sales targets (weekly, monthly, quarterly and annual)
Utilize data/analytics to help customer’s drive decision making
Educate customers on products to ensure the practice is clinically comfortable with Invisalign and iTero products and services
Facilitate cross-functional communications (e.g., doctor, treatment coordinator, clinical assistant, education, marketing, product development) to develop an in-depth understanding of the customer’s business needs to clearly articulate fit with the specific Align products, digital platform, and solution capabilities
Orchestrate additional internal company resources to optimize the customer experience and provide ongoing promotion of Align solutions
Be creative, self-disciplined and capable of identifying and completing critical tasks independently with a high sense of urgency
In this role, you’ll need …
Bachelor’s degree and/or equivalent experience required
Minimum of 5 years outside business-to-business (B2B) sales experience preferably to small business owners in health related industry (i.e. dentistry, optometry, veterinary, chiropractic etc.). Preference for candidates with industry experience selling a medical device, dental, General practitioner dentistry or capital equipment preferred
Proven track record of achieving sales effectiveness and targets; demonstrating a effective territory planning and account management with a relentless drive to achieve results and self-initiative
Business & Marketing knowledge: Ability & comfort having business discussions (Cash Flow Analysis, ROI, P&L) and asking the right business questions
Experience selling multiple products/services and tailoring solutions to diverse customer needs; demonstrating comfort with having clinical discussions with both Invisalign and iTero Products
Strong focus on teamwork and a proven experience building and leveraging relationships with internal and external stakeholders and partners
Proven capability to navigate through change and operate with speed and agility
Qualified candidates are strategic territory managers who will prioritize and maximize business opportunities while building trust and providing great customer experience
Strong communicators and collaborators with exceptional oral and written communication to diverse audiences; effective & engaging presentation skills
Proficiency with full suite of Microsoft Office applications. Experience with a CRM system, Salesforce preferred.
Regular travel within assigned geographical territory required with the possibility of occasional overnight travel required. Some travel to the US will be required.
Candidates are required to be fluently English/French for all roles in Quebec, and desirable for candidates in Ottawa and New Brunswick
Legally entitled to work in Canada and travel to the US on occasion.
Possesses a valid driver’s license and a good driving record
Sound like a good fit?
Great! Click the ""Apply"" link to let us know you are interested. Not the right fit? Don’t worry, Align is quickly growing so we are creating more opportunities to expand our Align family. Please consider joining our Talent Network to receive notifications about future jobs or sharing this opportunity with others in your network.
About Align
Align Technology is a publicly traded medical device company that is
transforming smiles and changing lives
. Our global team of talented employees develop innovative technology, tools and treatment options to help dental professionals worldwide achieve the clinical results they expect. Our digital ecosystem combines the power of technology to create beautiful smiles through the integration of AI and machine learning, digital imaging and visualization, biomechanics and material science to develop the Invisalign system, the most advanced clear aligner system in the world; iTero Intraoral Scanners and OrthoCAD digital services. Did you know? Align is the world’s largest manufacturer of custom 3D-printed materials.
By joining Align, you will be part of a global, fast-growing company in one of the most dynamic industries. Great people, innovative technologies, and meaningful work – these are just some of the things employees say make Align Technology a great place to work.
We respect your privacy. Please review our
Applicant Privacy Policies
for additional information.
Global Diversity Statement:
At Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we will continue building a workforce of diverse cultural backgrounds and life experiences and fostering a culture of open-mindedness and compassion for all our employees. We live our company values by promoting healthy people and healthy communities. All with the intent of changing millions of lives, one unique smile at a time.
Equal Opportunity Statement
It is our policy to provide equal employment opportunity in all of our employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation or gender identity or expression or any other legally protected category. Applicants for positions with Align must be legally authorized to work in the country which they are applying for and verification of employment eligibility will be required as a condition of hire.
#LI-JM1
#LI-REMOTE"
"CERTIFIED DENTAL ASSISTANT (FULL TIME) - Hazelton, BC - Indeed.com","Competition #:
05481780
Employee Type:
RELIEF FULL TIME
Bargaining Unit:
HEU
Facility:
HAZELTON HEALTH SERVICES
Department:
HAO DENTAL HLTH HSCL
Reports To:
DENTAL CLINIC MANAGER
Close Date:
OPEN UNTIL FILLED
Comments:
wage $22.96 - $25.11
This posting is covered by the Provincial Health Officer’s mandatory COVID-19 vaccination orders and selected applicant(s) must comply.
Position Summary
In accordance with the Provincial Health Officer’s COVID-19 Vaccination Mandate, Northern Health requires all employees to be fully vaccinated against COVID-19.
This position qualifies for a Relocation Incentive
The Certified Dental Assistant is responsible for assisting the Dentist with intra-oral procedures, supporting the education of patients about oral health, provides restorative and preventative procedures as delegated by the dentist. The Certified Dental Assistant will maintain a high quality of oral care for all patients while working under direct and or indirect supervision of the dentist. The therapeutic functions are carried out in accordance with the legislative, regulatory and policies of the College of Dental Surgeons of British Columbia including maintaining appropriate patient records and office records.
Qualifications
Grade 12.
Graduate of a recognized Certified Dental Assistant program.
Current registration and licensure.
Skills and Abilities:
Ability to communicate effectively, both verbally and in writing.
Ability to deal with others effectively.
Physical ability to carry out the duties of the position.
Ability to operate related equipment.
Ability to plan, organize, and prioritize.
Leadership and classroom management skills.
Ability to work with children.
Knowledge of techniques and standards of preventive and restorative clinical practice.
All postings with a closing date specified close at 11:59 pm PT"
"Dental Hygienist - London ON - London, ON - Indeed.com","WHY JOIN?
One of the core strengths is the passion our team members share. We value the relationships our Dental Hygienists develop with patients at our Soni location. We recognize that well-trained, skilled teams are a prerequisite of successful practices. We invest in training and development for Dental Hygienists and Assistants to help them achieve advancement and reach their professional and personal goals.
Access more locations giving you the opportunity for schedule flexibility or relocation
Upward career mobility
Mentorship- access to a network of dental practitioners
Opportunity to learn different types of dentistry
A fun, welcoming environment focused on patient care
JOB BRIEF
We are looking for a Dental Hygienist to help treat patients and promote good oral health practices. Dental Hygienist duties revolve around conducting initial patient screenings, cleaning teeth and advising patients on oral health and preventative care. You’ll also help dentists decide treatments for teeth or gum diseases and support in dental emergencies with Dentist guidance.
RESPONSIBILITIES
Dental Assistants are among the most critical team members at MCA Dental! As a Dental Hygienist, you should model our value of integrity and establish trust with patients of all ages. You should have deep knowledge of relevant health and safety rules and a good eye for oral diseases and anomalies. If you also have a steady hand and great bedside manner, we’d like to meet you!
HOURS: Monday 8-4PM, Tuesday 9-5, Wednesday 10:30-7, Thursday 8:30-7, Friday 8-3
LOCATION: 400 Avondale Rd, London, ON N5W 5B7
Ensure patients feel as comfortable as possible before their examination;
Sterilize dental instruments properly;
Conduct initial mouth screenings and check oral health history;
Identify conditions like gingivitis, caries or periodontitis;
Clean and help protect patients’ teeth (e.g., remove plaque or apply fluoride);
Educates patients by giving oral hygiene, plaque control instructions and postoperative instructions as required;
Give instructions to patients after operations or other dental procedures;
Take X-rays or dental impressions;
Assist dentists with selecting appropriate treatments for various diseases (including oral cancer);
Maintain documentation and charts on each patient;
Monitor supplies;
Requirements
Proven experience as Dental Hygienist or similar role;
In-depth knowledge of health and safety regulations in this profession;
Experience in preparing and maintaining dental equipment;
Outstanding communication skills;
A patient and friendly personality;
Attention to detail;
Stamina to meet the physical demands of the job;
Diploma in Dental Hygiene;
Valid licence to practice;
MCA values diversity and is committed to creating and fostering a diverse team and an inclusive work environment. We encourage applications from people with disabilities and will provide accommodations throughout the recruitment and selection process."
"Certified Dental Assistant, Dentistry - BC Children's Hospital - Vancouver, BC - Indeed.com","Certified Dental Assistant, Dentistry
BC Children’s Hospital
Vancouver BC
As per the current Public Health Order, full vaccination against COVID-19 is a condition of employment with PHSA as of October 26, 2021.
What you’ll do
Assist dentists with all aspects of dentistry performed in the Outpatient Clinic or Dental Operating Room.
Ensure completeness and accuracy of dental and medical health records; complete statistics for the Outpatient Department and Operating Room.
Maintain dental instruments and equipment; maintain appropriate levels of dental supplies, linen, stores and pharmacy supplies.
Expose and process analogue and digital diagnostic quality dental radiographs; make dental impressions, prepare models and performs other related laboratory duties.
Perform prophylaxis, fluoride and fissure sealant procedures.
Demonstrate preventative techniques to patients in clinics both within and outside the hospital.
What you bring
Graduation from a recognized Certified Dental Assistant program
One (1) year’s recent, related experience or an equivalent combination of education, training and experience.
Current registration and licensure as a Certified Dental Assistant as required under the Dentist Act.
You have the ability to:
Communicate effectively both verbally and in writing.
Deal with others effectively
Physically perform the duties of the position
Organize work.
Operate related equipment.
What we bring
Every PHSA employee enables the best possible patient care for our patients and their families. Whether you are providing direct care, conducting research, or making it possible for others to do their work, you impact the lives of British Columbians today and in the future. That’s why we’re focused on your care too – offering health, wellness, development programs to support you – at work and at home.
Join one of BC’s largest employers with province-wide programs, services and operations – offering vast opportunities for growth and development.
Access to professional development opportunities through our in-house training programs, including +2,000 courses, such as our San’yas Indigenous Cultural Safety Training course, or Core Linx for Leadership roles.
Enjoy a comprehensive benefits package, including municipal pension plan, and psychological health & safety programs and holistic wellness resources.
Annual statutory holidays (13) with generous vacation entitlement and accruement.
PHSA is a remote work friendly employer, welcoming flexible work options to support our people (eligibility may vary, depending on position).
Perks include access to fitness classes and discounts to 350 BC-wide recreational programs, travel, technology, car and bike sharing, and more.
Job Type:
Regular, Part-Time (0.80 FTE)
Wage:
$25.42 per hour
Location:
4500 Oak Street, Vancouver, BC, V6H 3N1
Hours of Work:
Rotating Schedule; 0730-1530, 0800-1600, 0830-1630 as operationally required
Requisition Number:
116649
What we do
BC Children’s Hospital (BCCH) bcchildrens.ca provides care for the most seriously ill or injured children and youth from across British Columbia. BCCH is part of the Provincial Health Services Authority (PHSA).
The Provincial Health Services Authority (PHSA) plans, manages and evaluates specialized health services with the BC health authorities to provide equitable and cost-effective health care for people throughout the province. Our values reflect our commitment to excellence and include: Respect people – Be compassionate – Dare to innovate – Cultivate partnerships – Serve with purpose.
Learn more about PHSA and our programs: jobs.phsa.ca/programs-and-services
PHSA and BCCH are committed to employment equity, encouraging all qualified individuals to apply. We recognize that our ability to provide the best care for our diverse patient populations relies on a rich diversity of skills, knowledge, background and experience, and value a safe, inclusive and welcoming environment.
ATTN: PHSA Employees:
To be considered as a PHSA employee (internal applicant) for this position,
you must apply online via your internal profile at
http://internaljobs.phsa.ca
Please note the internal job posting will no longer be accessible after the expiry date of
November 2, 2021
. If the internal job posting has expired, please contact the Internal Jobs Help Desk and advise that you would like to be considered as a late internal applicant for this position.
Please do not apply for the external job posting.
If you have not registered your internal profile, a password is required to log in for the first time. To obtain your password, please contact the
Internal Jobs Help Desk at
604-875-7264
or 1-855-875-7264
. Please note regular business hours are Monday – Friday (excluding stats), 8:30am to 4:30pm. For inquiries outside of regular business hours, please email the Internal Jobs Help Desk at internaljobshelpu@phsa.ca and a Help Desk Representative will contact you the next business day."
"Dental Hygienist - Ottawa, ON - Indeed.com","GREAT OPPORTUNITY FOR DENTAL HYGIENISTS IN OTTAWA !
We have the perfect opportunity for dental hygienists in Ottawa! You are a registered dental hygienist ready for a new challenge in an established general practice clinic in the beautiful By Ward market?
The position may be part-time or full-time with flexible work hours.A family-friendly schedule with days only, no evenings or week-ends!
Easily accessible by public transportation and parking close to the office.
A bonus will be offered to successful candidate. Dentist is the solo practice owner. Position is available now !
✅Schedule:
Full-time or Part-time
Part time hours: 24-32 per week
✅Benefits:
Dental care
------------------------------------
BELLE OPPORTUNITÉ POUR LES HYGIÉNISTES DENTAIRES À OTTAWA !
Nous avons l'opportunité parfaite pour les hygiénistes dentaires à Ottawa! Vous êtes un hygiéniste dentaire enregistré prêt à relever un nouveau défi dans une clinique de médecine générale établie dans le magnifique marché By Ward?
Le poste peut être à temps partiel ou à temps plein avec des horaires de travail flexibles.
Facilement accessible par les transports en commun et parking à proximité du bureau.
Une prime sera offerte au candidat retenu. Le dentiste est le propriétaire du cabinet en solo. Le poste est disponible maintenant !
✅*
Horaire proposé*
Temps plein ou temps partiel
Heures à temps partiel : 24-32 par semaine
quart de travail de 8 heures
Quart de jour
lundi à vendredi
✅*
Avantages : *
Soins dentaires
Protocoles Covid-19 en place, ajustement du personnel testé pour les masques N95, service de blouse.
Type d'emploi : Temps Plein, Permanent
Formation:
DEC (Souhaité)
Télétravail:
Non"
"Registered Dental Hygienist - Stratford, ON - Stratford, ON - Indeed.com","WHY JOIN?
One of the core strengths is the passion our team members share. We value the relationships our Dental Hygienists and Assistants develop with patients at our clinics. We recognize that well-trained, skilled teams are a prerequisite of successful practices. We invest in training and development for Dental Hygienists and Assistants to help them achieve advancement and reach their professional and personal goals.
Access more locations giving you the opportunity for schedule flexibility or relocation
Upward career mobility
Mentorship- access to a network of dental practitioners
Opportunity to learn different types of dentistry
A fun, welcoming environment focused on patient care
Location: Front Street Dental Clinic, Stratford ON
Times: Monday to Thursday 8:00 AM to 4:00 PM
JOB BRIEF
We are looking for a Dental Hygienist to help treat patients and promote good oral health practices. Dental Hygienist duties revolve around conducting initial patient screenings, cleaning teeth and advising patients on oral health and preventative care. You’ll also help dentists decide treatments for teeth or gum diseases and support in dental emergencies with Dentist guidance.
RESPONSIBILITIES
Dental Assistants are among the most critical team members at MCA Dental! As a Dental Hygienist, you should model our value of integrity and establish trust with patients of all ages. You should have deep knowledge of relevant health and safety rules and a good eye for oral diseases and anomalies. If you also have a steady hand and great bedside manner, we’d like to meet you!
Ensure patients feel as comfortable as possible before their examination;
Sterilize dental instruments properly;
Conduct initial mouth screenings and check oral health history;
Identify conditions like gingivitis, caries or periodontitis;
Clean and help protect patients’ teeth (e.g., remove plaque or apply fluoride);
Educates patients by giving oral hygiene, plaque control instructions and postoperative instructions as required;
Give instructions to patients after operations or other dental procedures;
Take X-rays or dental impressions;
Assist dentists with selecting appropriate treatments for various diseases (including oral cancer);
Maintain documentation and charts on each patient;
Monitor supplies;
Requirements
Proven experience as Dental Hygienist or similar role;
In-depth knowledge of health and safety regulations in this profession;
Experience in preparing and maintaining dental equipment;
Outstanding communication skills;
A patient and friendly personality;
Attention to detail;
Stamina to meet the physical demands of the job;
Diploma in Dental Hygiene;
Valid licence to practice;
MCA values diversity and is committed to creating and fostering a diverse team and an inclusive work environment. We encourage applications from people with disabilities and will provide accommodations throughout the recruitment and selection process."
"Registered Dental Hygienist- Full Time - Guelph, ON - Indeed.com","Well-established, family practice in Guelph is looking for a patient-oriented dental Hygienist to join our team. The hours to start would be Monday to Thursdays 10 or 12-8 . We would also consider hiring 2 part timers if only available for 2 days a week. Please let us know if you are looking for fulltime or part time and what days you are available to work. We have 2 full time hygienists currently and we are ready to expand to 3 with the right candidate.
Our office currently has 4 general dentists, an endodontist and a Periodontist. We are a modern, digital, paperless office.
The ideal candidates will also have great communication skills, experience, ambition and a commitment to providing quality dental care in a positive team environment. Compensation to be discussed at interview.
Job Types: Full-time, Permanent
Salary: $32.00-$46.00 per hour
Benefits:
Dental care
Flexible schedule
On-site parking
Schedule:
Monday to Friday
No weekends
Licence/Certification:
RDH certification (preferred)
Work remotely:
No"
"Certified Dental Assistant - Richmond, BC - Indeed.com","We are a modern dental clinic located in Richmond and have been servicing the community for 2 and a half years. We are a general practice but also provide services in the following areas: Implants, Invisalign and Botox.
Our practice is a busy practice and we need more Certified Dental Assistants to assist in our day to day operations. We are looking for someone who is friendly and communicative.
About the Job and qualifications:
We are looking for someone with experience in the field, but new grads are also welcome. Applicants must be willing to work alone and be a team player. Attention to detail, great customer service and great organizational skills are necessary. Mandarin, Cantonese and Korean an asset but not necessary. This position is for Fridays to Tuesdays.
Job Types: Full-time, Permanent
Pay: $26.00-$33.00 per hour
Additional pay:
Overtime pay
Benefits:
Company events
Dental care
Extended health care
Life insurance
On-site parking
Vision care
Schedule:
8 hour shift
Weekend availability
Work remotely:
No"
"Dental Assistant - Dawson Dental Waterloo - Waterloo, ON - Indeed.com","About us:
Dawson Dental Waterloo is located at Northfield Drive East and King Street North close to Conestoga Mall. We are located in the same plaza as Williams Coffee and the Keg, just steps from a city bus stop.
At Dawson Dental, you will be working alongside a talented, driven, and dedicated team that works like a family. Our lead dentist, Dr.Vyas has been practicing in the community for over ten years and offers many additional dental services including Invisalign, Teeth-In-A Day Dental Implants and Sedation options. We also provide all dentistry including, Endodontics, Periodontics, Oral Surgery, Veneers, and much more!
We pride ourselves on providing quality dental care and 4.6 stars on Google reviews, evidence of our exceptional patient service, commitment to continuous learning, and innovative technology.
Additionally, through working within the dentalcorp network, you will have the opportunity to work alongside and learn from some of the industry's leading clinicians and have greater access to the advanced treatment technologies and training & development, and support.
https://dawsondental.ca/locations/waterloo-dentist/
Schedule:
Full Time (up to 40hrs/week)
The Opportunity
We are currently looking to hire a Dental Assistant to join our busy and well-established practice. The successful candidate will have a passion for building strong patient relationships and contributing to the ongoing oral health of their community. As a Dental Assistant at our practice, you will have the opportunity to work alongside and learn from a strong team of dental professionals.
Why Should You Join?
Competitive compensation & benefits
: Our compensation packages are reviewed annually in a comparative study that ensures alignment with industry standards.
Established and stable practice:
Our successful practice is a leader in patient care, providing a range of services to a loyal and established patient base.
Health & Safety and Compliance
: The practice has a strong health and safety culture, with compliance measures embedded in every aspect of the workplace.
Career development
: A career with us ensures you have the support, tools, and encouragement you need to grow and evolve as a professional on your individual career path, including access to industry-leading continuing education through the award-winning DC Institute (dcinstitute.ca)
Respect for our people
: The team is built on a culture of respect and positivity, where we celebrate individuality and value each other's unique strengths and contributions.
Work-life flexibility
: Everyone has a life outside the practice, and we are committed to helping each team member find a healthy, sustainable balance between home and career.
Responsibilities:
Clinical chairside assisting duties including knowledge of instrumentation
Establish strong patient relationships while maintaining ethical professional behaviour
Prepare treatment room in accordance with infection control and practice protocols for each patient
Thorough understanding of practice health and safety requirements
About You:
Registered and/or certified as a Dental Assistant with the Ontario Dental Assisting Association
Certified with the National Dental Assistant Examining Board (N.D.A.E.B)
HARP certified
Previous dental assisting experience is preferred
Strong written and communication skills
Strong organizational and multi-tasking skills
Punctual and reliable
dentalcorp Total Rewards + Perks
Team members have access to a range of resources focused on enhancing their personal and professional lives. We provide annual compensation reviews, voluntary RRSP contributions, and industry-leading learning and development opportunities. Our team members also enjoy extensive discounts on many services and activities including an exclusive corporate gym membership program; reduced rates on home and auto insurance; and unlimited access to a variety of discounted entertainment, hotels, products and services. Our Employee and Family Assistance Program (EFAP) connects team members and their families with complimentary, confidential, short-term counseling and advisory services. dentalcorp is continuously evolving and enhancing the programs to offer our team members exclusive benefits that complement their lifestyle.
Candidates must be legally eligible to work in Canada. We thank all applicants, but only suitable applicants will be contacted. Job applicants with a disability who require reasonable accommodation for any part of the application or hiring process can contact our Talent Team at
416-558-8338
. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible.
#LI-AZ1"
"Registered Dental Assistant - Calgary, AB - Indeed.com","Join the team in Dental Office in South Calgary!
We are looking for a passionate, hard-working Registered Dental Assistant on a full-time basis to support the Dentist and increase the efficiency and quality of care that our patients receive.
We are looking for someone who can also work in reception when doctor is not scheduled. We are willing to train the right candidate.
We continue to grow as a practice and are looking for you to come and grow with us.
WHAT WE ARE OFFERING:
Full-time offer with a competitive wage and PPE provided.
Free parking and within walking distance to the transit.
Collaborative team and environment to help you succeed as an RDA.
Job Type: Full-time.
Start Date : November 15
Please send your resumes along with this post.
Job Types: Full-time, Permanent
Benefits:
On-site parking
Schedule:
8 hour shift
Weekends
Work remotely:
No"
