,Title,Description
0,"Computer Programmer - Leamington, ON - Indeed.com","Computer Programmer
Full-time, Permanent
Tara Packaging
Leamington, Ontario N8H 4H7
Position Description:
Write, modify, integrate, and test software code
Solidify the existing products or software, and develop new features
Perform activities in coding, testing, debugging, and bug fixing
Utilize application development and computer programming languages to build application interface
Identify and communicate technical problems, processes, and solutions
Prepare and maintain reports and documentation
Analyze user requirements and documentation collected from the clients
Investigate and advocate for new technical solutions to problems
General Qualification:
College's diploma in computer science or programming
5+ years of experience in computer programming
Essential Skills:
Programming Languages: Python, HTML, Java, JavaScript, C++, PHP, MySQL
Full stack development experience and skills
Strong work ethic and coding structure
Excellent time management skills
Ability to perform duties with minimal supervision and with high level of accuracy
Salary:
$40 per hour
Schedule
40 hours per week, Monday to Friday
Job Location: 451 Talbot Street West, Leamington, Ontario N8H 4H7"
1,"Computer Programmer/Analyst - St. Anthony, NL - Indeed.com","Computer Programmer Analyst
Permanent Full Time
Location: St. Anthony, NL
2020
Labrador-Grenfell Health currently requires a Computer Programmer Analyst on a permanent full-time basis in the
Information Management and Technology Department in St. Anthony, NL.
Qualifications:
"" Graduation from a recognized university with a Computer Science or Commerce (IT concentration) major or from a recognized technical college with a minimum three-year Computer Studies diploma;
"" A minimum of three years' experience in programming and systems design is required;
"" A minimum of three years' experience supporting enterprise applications, within healthcare, is an asset;
"" The successful applicant will be required to submit a satisfactory certificate of conduct.
Duties (include but not limited to):
"" The successful candidate will provide technical support for many of the health care applications used throughout Labrador Grenfell Health;
"" Work includes collecting and analyzing data; planning and coordinating the development and support of systems by assessing the viability of user requests; liaison with Users and Vendors to implement new systems and troubleshoot existing systems;
"" Working with Program Managers, software engineers and subject matter experts to understand, aid in the creation of, refine and implement product requirements and specifications;
"" This position is also involved with planning and coordinating the development, implementation and administration of information systems of varying complexities as well as application support of various modules/systems;
"" Working within the Application Management Division, the incumbent is required to analyze problems and program solutions on a small scale utilizing tools such as Visual Studio.net, MS SQL, Crystal Report Writer, Visual Basic, MS Access, script writing, as well as the Meditech report writer (NPR) on the organization's hospital information system;
"" Working alone or in groups, the employee is also involved in all aspects of system development including collecting and analyzing data and information on work methods, systems, and procedures;
"" Work includes assisting management and other personnel in planning and coordinating the development of systems by assessing project viability of user requests and subsequently coordinating the design, programming, implementation and transitioning of appropriate systems;
"" The employee works with considerable independence and initiative.
Salary:
"" CG-35 of the NAPE-HS salary scales $30.43 to $33.95 per hour, plus the applicable Labrador Allowance.
Hours of Work:
"" Monday to Friday, 75 hours biweekly; (Overtime, Standby and Callback required).
Labrador-Grenfell Health is an equal opportunity employer.
Interested applicants please submit resume, stating competition number 20200002020000350S"
2,"computer programmer - Mississauga, ON - Indeed.com","Operating Systems and Software
Android
Business Equipment and Computer Applications
Microsoft Visual Studio
Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Assist in the development of logical and physical specifications
Maintain existing computer programs by making modifications as required
Write, modify, integrate and test software code for e-commerce and other Internet applications
Programming Languages
Visual Basic
VB Script
Java
C
C++
.NET
React Native
Angular.js
Work Conditions and Physical Capabilities
Fast-paced environment
Work under pressure
Attention to detail
Tight deadlines
Computer and Technology Knowledge
Linux
Internet
Intranet
Programming software
Software development
MS Office
SharePoint
API
Salesforce
Personal Suitability
Initiative
Accurate
Team player
Judgement
Organized"
3,"computer programmer - Edmonton, AB - Indeed.com","Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Research and evaluate a variety of software products
Maintain existing computer programs by making modifications as required
Security and Safety
Bondable
Work Conditions and Physical Capabilities
Fast-paced environment
Work under pressure
Repetitive tasks
Attention to detail
Tight deadlines
Personal Suitability
Initiative
Effective interpersonal skills
Accurate
Organized"
4,Junior Software Developers / Programmer Analysts - Canada - Indeed.com,"Canada
Full-time
We are seeking Junior Software developers/Programmer Analysts to help maintain and develop contact center related applications. As an Intermediate Developer, you will be participating in design sessions and subsequently develop IVR or call center related applications and support user testing, sign off and production migration.
Responsibilities include, but are not limited to:
Analyze and understand functional business requirements and design specifications
Design, develop, enhance and implement custom applications and integrate custom solution with other back end solutions
Assist in User Acceptance Testing prior production go live
Write quality code and complete full functional testing
Collaborate with other team members and customers when needed
Work with project manager and provide work/time estimates
Working on building Conversational Dialog using NLU from Google Dialogflow, building out Google Cloud projects, Genesys Cloud application development.
Skills/Experiences:
Bachelor’s Degree in Computer Science, Software Engineering or equivalent
Professional experience in software/application development an asset
Proficient with at least one of programming languages: Java, C++, C#, JavaScript, typescript or Angular
Solid understanding of OO principles and strong knowledge of SDLC
Strong debugging and troubleshooting skills, experience with large scale applications
Must have good verbal, written, and interpersonal skills
Fast learner and ability to quickly adapt new technologies
Demonstrated ability to achieve results under limited supervision
Our employees are the ambassadors of CONNEX with clients and business partners. Their skills, integrity and sense of responsibility are the keys to our success. Training for all employees, regardless of their function in our organization is considered a priority. In addition, our pay scale is competitive and we offer a full range of benefits.
You are interested to enrich your work experience? We need people like you, passionate and committed. If you want to join our team, apply today!"
5,"computer programmer - Brampton, ON - Indeed.com","or equivalent experience
Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Assist in the collection and documentation of user's requirements
Assist in the development of logical and physical specifications
Research and evaluate a variety of software products
Maintain existing computer programs by making modifications as required
Write, modify, integrate and test software code for e-commerce and other Internet applications
Programming Languages
Object-Oriented programming languages
Java
C
C++
C#
Python
Scala
Hadoop
Work Conditions and Physical Capabilities
Fast-paced environment
Attention to detail
Computer and Technology Knowledge
TCP/IP
Spreadsheet
MS Windows
Internet
Database software
Networking software
Networking security
Extranet
Intranet
File management software
Security software
Presentation software
Mail server software
Web service design
Mapping and data visualization software
Database management
MS Office
Personal Suitability
Initiative
Accurate
Team player
Excellent oral communication
Excellent written communication
Organized
Benefits
Medical Benefits"
6,"Programmer- Entry Level - Bradford West Gwillimbury, ON - Indeed.com","SPECTRA is a full service aluminum parts supplier with 5 manufacturing facilities in Ontario with an industry leading growth strategy. Our Head Offices are located in Bradford, and due to a new manufacturing facility opening in Bradford and promotions from within Spectra, Has an opportunity at our:
Bradford Facility
for:
Programmer- Entry Level
We are looking for an active individual who will serve as an entry-level programmer as part of our software development team. 90% of your time will be spent at the head office in Bradford. The job will involve writing new code as well as patches/updates.
The eligible person should:
- Be proficient in programming using Microsoft Visual Studio .Net - C# and/or VB.Net. A strong emphasis will be placed on clean, well-formatted code using best coding practices.
- Have a working knowledge of Microsoft SQL Server querying.
- Be able to work as part of a team to estimate and meet deadlines.
Job Type: Full-time
Salary: $50,000.00-$100,000.00 per year
Benefits:
Dental care
Extended health care
Schedule:
8 hour shift
Work remotely:
No"
7,"Junior Programmer - Abbotsford, BC - Indeed.com","Job Description
Minimum 1 year of development experience and comprehensive understanding of .NET or PHP or JAVA
Basic understanding of best practices in mobile UX design
Strong knowledge of relational databases and SQL
1-2+ years experience in HTML, JavaScript/AJAX, Bootstrap and CSS3
1-2+ years’ experience with Windows & Linux servers is an asset
A passion for designing and writing understandable, flexible, and maintainable code. Can you describe the SOLID design principles?
Familiar with source control systems such as subversion, TFS or Git
Fundamentally strong enterprise architecture and design skills
Perform unit testing of developed components, implement automated unit tests, regression test integrated components
Exceptionally organized with great attention to detail
Great communication skills
Committed self-starter, self-responsible, independent worker
Positive attitude and an ability to provide and receive constructive feedback
Preference will be given to multilingual candidates
Excellent problem-solving skills, flexibility, eagerness, the ability to learn and troubleshooting abilities are essential
Benefits
Health insurance
Dental insurance
Pleasant, diverse team environment
Bright, spacious Class A office
Love standing desks, dual or triple monitors, MAC or Windows? We have all ready for you!
Too many perks to list!
Conditions:
Hours of work are between 8:30 and 5:00pm. Monday to Friday.
Compensation will be based on experience.
The candidate must be legally entitled to work in the country where the job is offered, for any employer, without requiring sponsorship. While we consider all applications only those short listed will be contacted. No phone calls, outside agencies or recruiters, please
Job Types: Full-time, Permanent
Benefits:
Casual dress
Dental care
Extended health care
Life insurance
On-site parking
Paid time off
Vision care
Schedule:
8 hour shift
Education:
AEC / DEP or Skilled Trade Certificate (preferred)
Work remotely:
No"
8,"Career and Personal Education Support and Programmer Analyst I - University of British Columbia (Okanagan campus), BC - Indeed.com","Staff - Non Union
Job Category
M&P - AAPS
Job Profile
AAPS Salaried - Information Systems and Technology, Level B
Job Title
Career and Personal Education Support and Programmer Analyst I
Department
UBCO | Flexible Learning | Learning Services | Office of the Provost and Vice-President Academic
Compensation Range
$5,468.83 - $7,878.17 CAD Monthly
Posting End Date
November 15, 2021
Note: Applications will be accepted until 11:59 PM on the day prior to the Posting End Date above.
Job End Date
Jul 15, 2022
Job Summary
This position provides technical advice and support in the use, configuration and selection of software, hardware and network systems and various end user devices and undertakes small programming projects in relation to UBC Okanagan’s CPE academic technologies platform.
Works with academic, technical, instructional and user support personnel from academic, administrative and technical units to implement effective and sustainable learning environments and to advise and support subject matter experts (UBC faculty or external contractors), course facilitators and educational programming personnel in the effective use of these environments.
Organizational Status
CPE (Learning Services, UBC Office of the Provost and Vice President Academic) is a small, agile team undertaking a pilot initiative to strengthen UBC Okanagan’s capacity to develop, offer and evaluate non-degree (largely non-credit) programming to external and internal. All staff in this unit must understand pilot to enterprise level applications, are expected to be innovative and agile, and support the deployment of self-developed, community developed or vendor supplied software.
This position will undertake a series of short projects to enhance the current academic technologies platform, while providing support to non-credit programs and initiatives underway and in development.
Reports to the Educational Consultant, Career and Personal Education. Collaborates closely with learning and information technologies staff in the Centre for Teaching and Learning and UBC Okanagan IT. Liaises with LT Hub (UBC Vancouver). Works closely with faculty members on course development projects and course delivery.
Work Performed
Specific Duties:
1. Undertake short projects to enhance and support the CPE academic technologies platform, including:
Produce user documentation, technical documentation and training materials for the digital credential platform (Badgr Pro).
Design and implement an enhanced web interface for the non-credit program registration portal (Canvas Catalog)
Configure and implement the non-credit program business processes (application, approval and reporting) in Survey Monkey Apply.
Support the development of a new CPE website.
2. Provide development and operational support for non-credit course development and delivery.
Provides technical advice and support in use, configuration and selection of software, hardware and network systems and various end user devices.
Provide advice and support subject matter experts, course developers and course instructors to select and implement appropriate technology solutions and practices to meet pedagogical goals.
Develop and maintain help documentation and resources for course facilitators and learners including maintaining resource websites.
Undertake course development in coordination with instructors and provides technical configuration of learning applications used in course delivery.
Maintains departmental software used to manage both paper and electronic learner records and makes recommendations for process improvement.
Provides functional support and technical troubleshooting for learners undertaking fully online courses.
Acquire and maintain expert knowledge of the functional aspects of centrally supported learning technologies and a working knowledge of the technical architecture of these applications.
Work with and consults with other support analysts, functional specialists, instructional support staff and technical staff. Prioritizes work, coordinates work assigned and delegates and escalates work when appropriate.
3. Contribute to enterprise architecture planning associated with an improved system and data architecture for CPE.
Core Duties:
Provide advice on information technology improvements, services, policies and procedures.
Develop training materials and provides training for users in use and configuration of software, hardware, network systems and peripheral equipment
Assists users, both remotely and in-person, to diagnose and resolve problems, escalates when necessary, and documents problem status and action taken.
Program small/discrete software application modules.
Conduct testing and debugging of small modules to ensure application meets specifications.
Modifies and debugs existing software application modules using disciplined software development processes, quality standards and procedures.
Prepares and maintains documentation in accordance with prescribed standards.
Supports software development lifecycle, and applies and follows appropriate programming/development methodologies and best practices as instructed.
Performs preventive maintenance tasks, troubleshoots and repairs on a variety of computer systems and peripheral equipment.
Maintains appropriate professional designations and up-to-date knowledge of current information technology techniques and tools.
Participates in project planning and implementation.
Performs other related duties as required.
Consequence of Error/Judgement
The decisions and actions taken by the CPE Support and Programming Analyst I have a direct impact on the quality and effectiveness of UBC Okanagan’s CPE academic technology platform and course delivery service. Errors in judgment, poor analysis, ineffective solution implementation or failure to meet deadlines will adversely impact the perception and effectiveness of this growing strategic service and impact the learning experience of working professionals, who may choose to not continue accessing UBC’s learning opportunities. In addition, it may harm the reputation of CPE unit within the University and adversely affect its ability to carry out its mandate to partner with the faculties and instructors in providing quality learning environments and non-credit learning opportunities.
Supervision Received
Reports directly the Educational Consultant, Career and Personal Education. Works independently in accordance with general instructions as to methods and procedures.
Supervision Given
None.
Minimum Qualifications
Undergraduate degree in a relevant discipline. Minimum of two years of related experience, or the equivalent combination of education and experience.
Preferred Qualifications
Undergraduate degree in a relevant discipline. Degree in Computer Science preferred
Minimum of two years experience or the equivalent combination of education and experience.
Experience working directly with faculty instructors, students and support staff.
Solid understanding of learning technologies and information technology-related products and services.
Technical proficiency in the effective configuration of web applications to meet business goals.
Understanding of basic web technologies (i.e. HTML, CSS, JS etc) and know when best to utilize them.
Experience with Canvas, Canvas Catalog, Survey Monkey Apply, digital badge platforms and course development an asset.
Must be thoroughly comfortable with using various computer platforms and devices (PC, Mac, tablets, smartphones etc.)
Ability to work under pressure and with fast changing priorities
Ability to handle multiple projects at a time while meeting deadlines
High degree to accuracy and attention to detail
Demonstrated service orientation
Understands and relates to the academic University environment
Ability to work both independently and in a team environment
Ability to communicate technical issues to non-technical audiences is essential
Ability to take initiative and to work with limited direction
Ability to be tolerant of uncertainty and ambiguity
Effective testing, problem-solving, troubleshooting and analytical skills
Excellent interpersonal skills and ability to exercise diplomacy, tact, and patience
Effective relationship, facilitation, planning and organizational skills
Well-developed oral and written communication skills
Ability to establish and maintain effective communications
Knowledge of UBC administrative structure, systems, policies and processes is considered an asset."
9,"artificial intelligence (ai) programmer - Quebec City, QC - Indeed.com","Artificial Intelligence and Robotics
Credentials (certificates, licences, memberships, courses, etc.)
Certified Computing Professional (CCP)
Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Programming Languages
C++
Python
Computer and Technology Knowledge
Image editing software
Programming software
Software development
Mapping and data visualization software
API
Personal Suitability
Initiative
Effective interpersonal skills
Accurate
Team player
Excellent written communication
Judgement
Organized
Workplace information
Remote work available"
