Title,Description
"Digital Marketing Intern - Vancouver, BC - Indeed.com","About Us
Meet the together-travel company. Launchtrip is the first app in the world that lets travellers search by city or event. We make booking trips easy and rewarding, especially for groups. Our brand-new head office is in beautiful Vancouver, B.C. We believe in delivering the best possible experience for our employees, and in turn, for our consumers. We're looking for awesome and talented specialists across all departments to join our team as we continue to grow in 2022.
About the Role
Launchtrip is seeking a Digital Marketing Intern to join our team. If you are tech-savvy, and are passionate about group travel, we would love to meet you! Our ideal candidate has exceptional oral and written communication skills with a “if I don’t already know it, I can learn it” attitude. The successful candidate will have the opportunity to enhance their knowledge in the business field of digital marketing. They will gain a deeper understanding regarding the planning, execution and evaluation of digital advertising campaigns. We are excited to be bringing on an individual who is passionate about the Canadian entrepreneurial ecosystem and is looking to make an impact on the travel industry.
Responsibilities
Execution of user acquisition campaigns and marketing projects.
Work closely with marketing and creative teams for the planning and design of campaigns and collateral.
Implementation of marketing processes and preparation of insights on digital advertising campaigns.
Dig into data, identify trends and diagnose marketing problems to help the team generate a solution.
Support our paid acquisition efforts across Facebook ads, Adwords, Instagram ads etc.
Assist in building out and creating reports on campaigns.
Support our marketing and design team and build on the brand strategy.
Assist in managing our social media platforms including Facebook, Twitter and Instagram and content platforms such as Flipboard and Medium.com.
Brief freelance copywriters on ad content requests and retrieving content within the deadlines set.
Ad hoc support to neighbouring teams.
Qualifications:
The following must apply:
You must be a Canadian citizen, permanent resident or a protected person as defined by the Immigration and Refugee Protection Act.
You must be enrolled in a program at a Canadian accredited post-secondary institution, during the work placement period.
You must be legally entitled to work in Canada.
Launchtrip Perks
Flexible work environment. We. Don’t. Do. Burnout. Rest when you need it.
Major focus on physical and mental wellness with ongoing internal initiatives, programs, and subsidizations.
Work with the coolest team in Vancouver. The most amazing combination of tea, coffee, beer, wine drinkers that you will meet. Our team is our family and every culture addition in every position means the world to us."
"Digital Marketing - West Kelowna, BC - Indeed.com","Company description
Since 2009 Canadian Solar Wholesale Inc. has been proudly providing quality solar energy products for off-grid & grid-tie applications. We offer shipping across Canada to British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia, Prince Edward Island, Northwest Territories, Nunavut, and Yukon.
Job description
The Job
Digital Marketing and Administrative Assistant:
You will report and work directly with the CEO and owner of the company to develop and implement marketing strategies to increase online sales as well as take care of everyday administrative tasks.
We require someone who pays attention to detail, is a team player, with strong analytical skills.
Your Responsibilities
Marketing Role:
Manage and deploy social media strategies and campaigns to increase online sales. This includes platforms like Google Adwords, Instagram, Facebook, etc. This can include content ideation, posting schedule, responding to inquiries from consumers or potential consumers, etc.
Create graphic content for social media and e-commerce platforms. This includes making videos, taking photographs and creating graphic content to later adjust to the corresponding place where it will be posted.
Co-create, manage, and deploy e-commerce strategies for our online sales
Creates periodical reports on analytics to provide recommendations for future strategies.
Research and monitor activity of company competitors.
Other e-commerce and marketing projects and tasks as assigned.
Administrative Role
Process incoming sales orders. This can include printing and placing shipping labels on ready-to-ship products, scheduling with the production team, Canada Post pick up, etc.
Assisting with various administrative tasks that might come up during the day such as emails and phone calls.
Qualifications:
Excellent written and verbal communication skills (English).
Experience with social media management and e-commerce.
Excellent social skills.
Can work both with teams and independently.
Strong organizational skills.
Attention to detail.
Completing a post-secondary diploma or graduate program preferably in Marketing or Administration or similar.
Competency managing social media platforms.
Previous experience in office administration and marketing (asset but not required).
Reference ID: cdnsolar
Part-time hours: 20-40 per week
Expected start date: 2021-10-01
Job Types: Full-time, Part-time, Permanent
Salary: $19.00-$25.00 per hour
Benefits:
Casual dress
Flexible schedule
On-site parking
Schedule:
8 hour shift
Day shift
Monday to Friday
No weekends
COVID-19 considerations:
All customers are required to wear a mask, successful candidate must be fully vaccinated.
Work remotely:
Temporarily due to COVID-19"
"digital marketing co-ordinator - North Vancouver, BC - Indeed.com","or equivalent experience
Area of Specialization
Project management
Specific Skills
Plan, develop and implement communication strategies
Plan and direct advertising and marketing campaigns
Oversee the preparation of reports
Oversee development of communication strategies
Advertise and/or promote products, sales or services
Conduct public opinion and attitude surveys
Products or Services (Sales)
Media advertising
Personal Suitability
Effective interpersonal skills
Team player
Client focus
Organized"
Digital Account Strategist - Remote - Indeed.com,"What is the role?
As a
Digital Account Strategist
for Teleperformance, in partnership with the world's largest online advertising platform, you will work with an existing list of small and medium businesses as well as advertising agencies currently utilizing online advertising and marketing services on our client’s proprietary platform.
This is an
outbound sales role
– the expectation is to be consistent in exceeding your quarterly sales targets through a high volume
outbound cold calling
into the B2B space. You will be responsible for obtaining information regarding the customers’ business and advertising goals tried in the past to capture and build market intelligence.
You will be responsible for speaking with decision-makers over the phone & video conference to increase the value of their online advertisements through optimization; with an aim to increase customer investment and/or increase the length of time that an advertiser/customer will maintain their campaign. The assigned list of customers will be on a quarterly basis, with new accounts assigned on a rolling basis.
You will contact each Customer identified on the list to provide a strategic advertising consultation and capture sales opportunities that include an advertising campaign relevant to client goals/needs. The requirement is to contact all customers provided on the list within 4 weeks of receiving the account list.
Who are we seeking?
We are looking for an experienced B2B sales professional, preferably with a background in digital advertising.
Ability to build consultative relationships with C-level executives.
The ideal candidate has a passion for sales, razor-sharp attention to detail, an analytical mind, and the ability to execute and optimize multiple campaigns for multiple clients.
Comfortable with cold calling prospects and managing multiple clients.
You will be provided an intensive 4-week training curriculum with support from our clients’ resources.
Requirements:
Post-Secondary/University Degree or Diploma.
Minimum 2 years experience in outbound B2B sales in a cold calling environment.
Efficient in GSuite.
Desire to work on a competitive, target-driven new business sales team.
Highly disciplined, with excellent time management & organizational skills.
What we offer:
Base salary with the opportunity to earn bonuses based on performance.
Excellent medical, dental, and benefits plans.
Internal career advancement opportunities with BOUNCE Teleperformance Career Plan.
Several discounts are used on various services.
Paid Training.
Fixed working hours, Mondays to Fridays 9 AM to 6 PM.
Teleperformance welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process. Should you be invited to participate in the selection process we are committed to accommodating you to best meet your needs.
Job Types
:
Full-time, Permanent.
Salary:
$51,000.00 per year + performance-based bonus."
"social media community manager - Fredericton, NB - Indeed.com","or equivalent experience
Business Equipment and Computer Applications
MS Word
Social Media
Work Setting
Business
Specific Skills
Advise clients on advertising or sales promotion strategies
Develop, implement and evaluate communication strategies and programs
Gather, research and prepare communications material
Co-ordinate special publicity events and promotions
Advertise and/or promote products, sales or services
Conduct online marketing, E-commerce and Website promotions
Assist in the preparation of brochures, reports, newsletters and other material
Personal Suitability
Initiative
Effective interpersonal skills
Flexibility
Team player
Excellent oral communication
Excellent written communication
Client focus
Organized
Workplace information
Remote work available"
"Digital Marketer - Kelowna, BC - Indeed.com","Key duties and responsibilities for this role include:
Creation and management of digital advertising campaigns on Google Search and Display Network
Reporting on, and being accountable for, campaign results - including creating written report for clients
Managing and reporting on internal digital advertising platforms (Google DoubleClick)
Inbound lead and customer service support
Qualifications
Organized and attentive to detail
Able to multitask and prioritize
Ability to set tasks and follow through, while managing your own time effectively
Knowledge of Google DFP and/or Google AdWords or Google Analytics certification an asset
Advertising knowledge and customer services attitude an asset
If this sounds like the right job for you, please complete the form below and email your resume and cover letter to careers@csekcreative.com."
"Senior Manager, Digital Marketing - Vancouver, BC - Indeed.com","Senior Manager, Digital Marketing
Permanent Full-Time
Remote within Canada
Native Shoes is a hybrid organization with a primarily remote team with the option to work from the office in Vancouver, when needed. This job will require the ability to work from home.
Why Native Shoes?
It seems the heavier the world gets, the more it needs lightness. At Native Shoes, we’ve made lightness our life’s work with
our purpose: to make it easy for all to live lightly
.
To achieve this, our team is an embodiment of our values:
Design:
We consider aesthetics and functionality in all we do.
Possibility:
We explore and achieve higher dreams by leaving constraints at the door.
Integrity:
We do what we say we do.
Accountability:
We take personal responsibility for our actions.
Love:
Leading with kindness, we love those around us enough to have truthful conversations.
Light:
Above all else, we choose to live lightly.
Native Shoes strives to embody each of these words in all aspects of our brand. We engage in a fast paced, ever-evolving working environment with plenty of room for innovative thinking — encouraging honesty and challenge in a comfortable workplace. If any of the above words resonate with you, this is the place to be.
Who is Native Shoes looking for?
We’re looking for an experienced digital marketer to join our team to be responsible for creating and optimizing integrated digital strategies, campaigns and CRM marketing, driving continuous improvement across the function. You’ll be looking to drive growth and acquisition whilst simultaneously developing strategies to improve customer retention and brand loyalty. A strong ability in analytics and analysis of performance will help you develop ongoing strategies to achieve channel goals in support of wider business goals.
Responsibilities
Lead the development of a digital acquisition and retention strategy, that supports the business short and mid term commercial goals
Effectively develop and manage budgets and business cases relative to your channels
Manage all partners and vendors to a high standard
Help inform & deliver marketing technology roadmap with IT and Digital Director
Plan and execute all PPC, SMM, Email, SEO/SEM and marketing automation campaigns in collaboration with agency partners and marketing team
Drive growth in email marketing database and active customers
Manage online advertising spend and budgeting ensuring efficient spend in channels
Measure and report performance of all digital marketing campaigns and assess against goals weekly and monthly
Concept and schedule all email marketing campaigns in line with broader marketing team objectives and marketing calendar
Identify new opportunities in CRM to drive brand loyalty and customer retention
Identify trends and insights and optimize spend and performance based on these.
Optimize end to end user experience across all platforms and collaborate to refine on an ongoing basis.
Evaluate emerging technologies and determine best practices on an ongoing basis. Provide thoughtful and analytical perspective for adoption where necessary.
Support the Marketing department and cross functional partners, where necessary.
Preferred Experience
5+ years of related experience in a digital marketing role
Post-secondary degree or diploma in (digital) marketing or related field
Up to date with latest trends and best practices in digital marketing and measurement
Strong experience in Google Analytics
Strong experience with Google Ads and Facebook Advertising
Email marketing campaign coordination experience
Experience with Email Marketing & segmentation
Proficiency with Microsoft Excel
Knowledge of email marketing best practices, digital performance metrics CASL, GDPR and CCPA
Ecommerce and Retail experience preferred"
Marketing Automation Specialist - Remote - Indeed.com,"As a Marketing Automation Specialist, you will be managing the marketing automation platform and fully leveraging its capabilities. Working closely with designers, web developers and project managers this role will implement all programmatic and operational initiatives through the marketing automation platform. Ultimately, you will be responsible for online customer acquisition and digital conversion (AC/DC). The successful candidate will be passionate about automated and digital marketing, excited about improving the customer experience, knowledgeable and experienced with marketing automation and continuously striving to improve their skills. We offer fully remote working capabilities (or you can work from any WeWork office), competitive salaries, and the opportunity to grow and succeed with us and our clients!
Compensation:
$55,000 - $70,000 yearly
Responsibilities:
Responsible for email marketing program development and execution, including segmentation, testing, and deployment, and continually evaluate these for improvements.
Maintain Marketing Automation integration with CRM and assist in the integration of additional platforms into the marketing automation software.
Understand and evaluate campaign metrics and distribute campaign performance to the marketing team.
Work with management to define KPIs, create reporting, analyze campaign performance. Create recommendations to improve campaigns continuously.
Manage marketing automation efforts and processes, proactively researching and implementing the latest best practices, strategies, and industry standards.
Plan and perform A/B testing to define and execute enhancements to productivity, conversion rates, programs/campaign ROI, and sales growth.
Support essential marketing operations initiatives in ActiveCampaign and Unbouce such as managing the lead lifecycle, lead scoring, lead nurturing, segmentation, and data cleansing.
Qualifications:
Proven years of marketing automation experience.
Expert knowledge of database management concepts and best practices.
Experience with ActiveCampaign and Unbounce is preferred, but not mandatory.
Must have superior communication skills, both written and verbal.
Must be highly organized and self-motivated with a sense of urgency.
Strong independent project management skills.
Capable of handling multiple tasks with competing priorities under minimal supervision.
Able to think critically and exercise independent judgment and discretion.
Excellent attention to detail.
About Company
Empower is an application that takes care of all the marketing needs of small and medium businesses through a fun interface encouraging marketing actions through automation and human experts.
We hire professionals who are eager to learn, grow, and help businesses in all industries succeed. We offer competitive salaries and benefits and our employees have the freedom to work anywhere in the world (or from any WeWork office) alongside a collaborative team, excellence, honesty, and fun!"
"Digital Marketing Director, Visa Consulting & Analytics - Toronto, ON - Indeed.com","Company Description
As the world's leader in digital payments technology, Visa's mission is to connect the world through the most creative, reliable and secure payment network - enabling individuals, businesses, and economies to thrive. Our advanced global processing network, VisaNet, provides secure and reliable payments around the world, and is capable of handling more than 65,000 transaction messages a second. The company's dedication to innovation drives the rapid growth of connected commerce on any device, and fuels the dream of a cashless future for everyone, everywhere. As the world moves from analog to digital, Visa is applying our brand, products, people, network and scale to reshape the future of commerce.
At Visa, your individuality fits right in. Working here gives you an opportunity to impact the world, invest in your career growth, and be part of an inclusive and diverse workplace. We are a global team of disruptors, trailblazers, innovators and risk-takers who are helping drive economic growth in even the most remote parts of the world, creatively moving the industry forward, and doing meaningful work that brings financial literacy and digital commerce to millions of unbanked and underserved consumers.
You're
an Individual.
We're
the team for you.
Together
, let's transform the way the world pays.
Job Description
Visa Consulting and Analytics (VCA) drives tangible, impactful and financial results for Visa’s network clients, including both financial services and merchants. Drawing on our expertise in strategy consulting, data analytics, brand management, marketing, operational and macroeconomics, Visa Consulting and Analytics solves the most strategic problems for our clients.
The North American (NA) Digital Consulting Practice within VCA provides consulting solutions and services for Visa’s largest issuers in Canada and US. We are
in love
with digital data analytics and
push the boundaries
on how we
continuously reimagine
our go-to-market marketing performance for our clients. We apply deep expertise in the payments industry to provide solutions to assist clients with their key business priorities, drive growth and improve profitability. Our solutions are curated to our clients and focused on disrupted thinking that drives lasting growth in all things digital! Our relentless pursuit on pushing the boundaries of digital customer experience pulled from our digital analytics empowers us to create things that truly resonate with our end-customers. The ideal candidate is a strategic thinker that seeks to innovative everything they touch, carries a disruptor mindset, and can articulate/create impactful presentations to senior leaders (CMOs, VPs, Directors) at our clients.
The VCA team is looking for a Director to join our consulting practice and play a role in developing high impact projects for Visa’s clients in the NA region. This role is responsible for the digital marketing planning, design, implementation, and optimization of customer campaigns, to drive acquisition, retention, and engagement programs for our client’s card portfolios. The candidate will be responsible for delivering and implementing projects and solutions with Financial Institutions, fintechs, retail, merchants and travel clients across NA. This role will play a critical role in helping to architect Managed Services, a new business line which is in high demand from our clients. Once established in our initial clients, this role will support the scaling of these services across NA.
Potential engagements could include product development, marketing agency management, digital marketing strategies, customer acquisition, customer targeting, persona and segmentation analysis/creation, SEO, SEM, Social media, ideation, design and innovation-led prototypes. Specific responsibilities include:
Proactively engage with Visa internal teams in regular strategic & planning discussions
Leads consulting initiatives and contributes to closing engagement by identifying potential opportunities with Issuing Bank Partners.
Support your team by managing paid media accounts across multi channels including Search, Display, Video, and as well as support on SEO and Analytics
Budget Management: Daily budget and conversion pacing check and management to be sure accounts are consistently running smoothly
Stay on top of latest Digital Media/PPC trends and user interfaces (Google Ads, Google Analytics, Bing), new betas and accounts features as well as new platforms to test. Share findings and resources to help team and management consistently remain updated on high paced developing digital world.
Work on various media platforms including Google Ads, Bing, Campaign Manager, SA360, DV360, Quora, Verizon, Amazon, StackAdapt, etc.Develop frameworks, approaches, solutions and recommendations that effectively and efficiently address the most impactful opportunities and challenges.
Build solutions and actionable insights that will help clients to grow their portfolios and customer engagement in their core business
Partner with peers in other functional areas (marketing, sales, risk, innovation) and across global regional teams to execute projects in ways that leverage the breadth and depth of Visa’s resources
Produce insights, analyses and recommendations to improve client performance, boost growth, drive understanding of client issues and provide strategic guidance for client priorities across the verticals and segments
Ability to effectively manipulate and analyze large data sets (industry and Visa) to determine meanings insights and recommendations for clients
Build new scalable solutions, toolkits, best practice documents and consulting approach that can be applied across VCA practice
Incumbents applying for the role should be self-motivated, highly energized; detail-oriented individuals who will deliver strategic thought leadership, problem diagnostics and high impact solutions to clients support the growth and performance. Candidates must be able to develop enduring, strategic relationships with internal and external clients and across the Visa organization. This is an individual contributor role, office's in Ashburn, VA and reporting into a Senior Director within VCA.
Travel:
Incumbent must be able to travel up to 25% based on client work.
Qualifications
Basic Qualifications:
10 or more years of work experience with a Bachelor’s Degree or at least 8 years of work experience
with an Advanced Degree (e.g. Masters/ MBA/JD/MD) or at least 3 years of work experience with a
PhD
Preferred Qualifications:
12 or more years of work experience with a Bachelor’s Degree or 8-10 years of experience with an
Advanced Degree (e.g. Masters, MBA, JD, MD) or 6+ years of work experience with a PhD
Relevant experience at large management consulting firm or US Financial Institution
Payments/Financial Services experience
Strong Analytical/Quantitative Background
Experience working with financial indicators to measure business performance. Significant focus
on impacting ROI
Self-motivated, results oriented individual with the ability to handle numerous projects concurrently
Knowledge and understanding of banking operations and/ or payment schemes, including products
& services, business systems and processes, marketing initiatives and card issuing experience
Excellent communication, story-telling and presentation skills
Team player
Technology mindset, curious, up-to-date with digital trends and applications
Additional Information
Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law."
Digital Media Specialist (Permanent) - Alberta - Indeed.com,"Digital Media Specialist (Permanent)
-
006274
Description
Position Type/ Hours:
This is a permanent, full-time position working seventy (70) hours bi-weekly within the Strategic Communications Branch of the Communications and Engagement Department. This position is within the CUPE 1505 Bargaining Unit. This position is located in the community of Fort McMurray, the Regional Municipality of Wood Buffalo’s urban centre.
Position Description:
Under general supervision, the Digital Media Specialist is responsible for the municipality’s digital media properties, which include the external website and may include the intranet and/or other online tools, such as applications, and social media properties. The incumbent improves the effectiveness, reach, and appeal of the municipality’s online communications by working with internal clients, vendors, and strategists to meet strategic goals.
Primary responsibilities include but are not limited to:
Manage all aspects of the website, intranet and/or other online tools as assigned (e.g., photo libraries or newsletter platforms, applications, social media properties).
Implement and manage all workflows relating to the website and online tools.
Work with vendors and co-workers to implement, maintain and revise online tools.
Act as the primary liaison with related vendors and IT to procure and maintain online tools.
Monitor website performance and usage using analytics and key performance indicators; recommend/implement changes where appropriate.
Assist with planning and implementing digital media strategies for communication and stakeholder engagement plans.
Contribute to the organization’s social media strategy and presence.
Collaborate with co-workers regarding social media management and digital communications campaigns.
Remain current with industry trends and practices and make recommendations for change as appropriate.
Assist co-workers with branch initiatives and projects as required.
Perform other related duties as required.
Qualifications
Diploma in Digital Media or another related digital media diploma program, combined with five (5) years of dedicated web design and development experience.
OR
Degree in Computer Science, Multimedia or another related digital media degree program is required, combined with three (3) years of dedicated web design or web development experience, within the last five (5) years is required.
Experience to include building and maintaining strong relationships with internal and external stakeholders.
Public sector experience and experience working with photography and graphic design are assets.
Valid Class Five (5) Drivers Licence is an asset.
You will possess the following:
Knowledge of HTML and CSS, JavaScript, UX and web design.
Knowledge of Adobe Creative Suite and Adobe Creative Cloud.
Ability to multitask and manage competing priorities.
Communicates effectively with technical and non-technical staff.
Ability to set goals and meet targets independently.
Communicates effectively with technical and non-technical staff.
Ability to determine solutions by listening and asking the right questions.
Pay Level:
PL 10
Salary
Range
:
$44.08 (Start Rate)
$51.80 (Permanent Rate)
Permanent rate effective after twelve (12) months of employment.
**All CUPE Job rates are currently under review and are subject to change.
In addition to the rate of pay, we offer:
an extensive employer-paid benefits plan
an additional annual payment of $12,480 which represents a cost of living allowance
Requisition Number:
006274
Closing Date:
Open Until Filled
Posting Type:
Internal & External (Posted: August 14, 2021)
To apply: Please visit our website at www.rmwb.ca
We appreciate the interest of all applicants; however, only those individuals
selected for interviews will be contacted.
Late applications will not be accepted.
Primary Location
:
Canada.-Alberta."
