Title,Description
"Junior Software Developer - Vancouver, BC - Indeed.com","About the role
We’re looking for developers with amazing potential wanting to join a product team who is trying to change the world for readers, authors, and publishers. Our Product Delivery team has four key values that mean the world to us: Health and Family first, Be the Mentor you wish you’d had, Ownership, and Courage. All of these roll into doing what’s best for you, for the team, and for our product. If we don’t support you properly, there’s no team, and without a team, there’s no Legible.
If you’ve got less than 2 years of professional experience, you love building things with code, you want to be part of a great team, then keep reading. If you’re more senior, check out our other roles.
READ the Cover Letter section below, please. It really helps people stand out.
We’re looking for junior developers with skills in the following areas: React or React Native, Javascript and/or Typescript, GraphQL & Graphite, Postgres, Node.js.
What you’ll be doing
Working as a key member of a product team
Writing high-quality code that helps change the world
Learning how to break down bigger, more complex problems into smaller pieces
Reviewing PRs and giving constructive feedback to help others
Learning how to technically design features and changes
Learning how to identify and manage risk
Building up sound technical judgement
Troubleshooting and resolving issues
Working with an amazing group of people in a real startup
About you
Some key things about you
Comfortable being part of a startup that’s growing by leaps and bounds
Driven to find clarity when faced with ambiguity
You’ve likely been coding since well before you received any formal education
You have some leadership skills, whether that’s from in front, the middle, or behind
You have a sense of ownership of code you write
A love of helping others
Solid communication skills (written and verbal)
Great problem solving skills and ability to break problems down
Genuinely good and decent people who share our values
Key experience and skills
Generally have up to 2-3 years coding professionally
Hands-on experience with at least two of the following:
React or React Native
Javascript and/or Typescript
GraphQL & Graphite
Postgres
Node.js
Experience with Azure or AWS
Some form of formal technical education (whether it’s a bachelor’s degree or a diploma)
Solid understanding of at least 1 programming language (javascript, java, C#, etc.)
Proficient understanding of code versioning tools such as Git and GitHub
Ability to learn quickly, gel with a team, and collaborate
Cover Letter
Resumes are great, but they don’t share your personality, your passion, or your story. We really would like you to include a cover letter and here’s what we’d like to know:
What should we call you (maybe it’s a short form of your name)?
What are your pronouns?
Is there anything about Legible that you connect with?
And tell us something fun about you. Are you a former bowling champ? Do you love Dungeons & Dragons? Maybe you’re a competitive knitter. Or perhaps you have family in a far off country that means the world to you. We want to know.
About Legible
Come join us on our mission to empower and connect authors and readers through open access to a global reading and publishing platform. Legible is making books beautiful and accessible.
At Legible, we’re transforming the world of stories; not just by creating a new and beautiful eBook platform to experience, but by making stories truly accessible. That means being available to everyone, everywhere, on any device, as well as working with assistive technologies, and making sure local and meaningful stories aren’t buried by search bias. Surrounding that, we’re going to be creating fantastic new ways for authors and readers to connect, with features to delight publishers big and tiny alike.
To make that magic happen takes amazing people. Sometimes that comes in the form of someone with untapped potential who needs to be given a shot, who wants a place where they can be heard and engaged, and sometimes amazing people come in the form of those seeking to quietly lead by example, sharing wisdom and wanting to mentor others.
We believe in the value of having a diverse team. Different backgrounds, upbringings, lifestyles, and perspectives make us stronger, wiser, and more capable. If you’re looking for somewhere that wants you for the awesome person you are, and not just what you can do, we just might be the place for you.
Our Community Values: Accessibility, Sustainability, Beauty, and Integrity
Why Legible?
Legible is a startup with a heart - a company that values equity and diversity at its very core; It is a place to grow and experience different areas of the business. We are a small but mighty team, who are just turning the page on a new and exciting chapter of growth.
We offer:
An inclusive working environment - anyone and everyone is welcome at Legible
A flexible working schedule
Great paid time off package, including a paid winter break
A comprehensive benefits package
A multitude of avenues for career growth and change
An open-door policy - you can approach any member of leadership with confidence
Community Values - We work together as a team to better our local and global communities. We are invested in making a positive difference in the world.
“Systemic racism is a machine that runs whether we pull the levers or not, and by just letting it be, we are responsible for what it produces. We have to actually dismantle the machine if we want to make change.”
- Ijeoma Oluo, So You Want to Talk About Race
At Legible, we strive for diversity and inclusion to create a genuinely healthy and equitable workplace for everyone. We are committed to the ongoing process of building a culture of respect at every level, ensuring that everyone feels safe, supported, and valued.
Let's be real: employee handbooks always talk a lot about diversity and inclusion, but in the actual day-to-day, employees knowingly or unknowingly indulge in microaggressions toward BIPOC colleagues, claim that “sexism goes both ways,” and so on. At Legible, we know that oppression is systemic and structural. Cishet privilege, non-disabled privilege, white privilege, male privilege—these are real and have consequences for people. We're aware that being marginalized at work causes real distress, especially when accountability doesn't seem to exist.
How is Legible going to dismantle the machine and what makes us different? It starts here; everyone has an opportunity to join Legible and make a difference - our hiring process is fair and equitable. As a company, we will be devoted to providing regular training and info sessions to our employees to ensure that we are aware of our privileges and will work to address microaggressions on a daily basis. One look at Legible.com will show how committed we are to diversity and inclusivity. We are a company that will beautifully entwine, celebrates, and support diverse cultures and varying beliefs.
A few years ago, an interviewer asked Lin-Manuel Miranda, the creator of the Broadway smash-hit Hamilton, why his cast was so diverse. Miranda replied, ""That's just what happens when you go looking for the very best people!"" At Legible, we couldn't agree more!
Legible recognizes the right for human beings to self-identify. You are valued, safe, and supported.
To be considered for this position, you must be eligible to work in Canada and pass background checks
Job Type: Permanent
Salary: From $70,000.00 per year
Benefits:
Casual dress
Company events
Dental care
Employee assistance program
Extended health care
Flexible schedule
Paid time off
Store discount
Vision care
Wellness program
Work from home
Schedule:
Day shift
Monday to Friday
No weekends
Application question(s):
Are you eligible to work legally in Canada without sponsorship?
Work remotely:
Yes"
"Talent Acquistion Partner - Toronto, ON - Indeed.com","About the opportunity:
We are looking for a Talent Acquisition Partner who's scrappy, curious, maybe a little impatient, definitely competitive, and has a killer instinct for people. We're in hyper-growth mode and are scaling our teams quickly across the U.S. and Canada. For a rising star at an agency looking to make the leap in-house to a fast-growing tech startup led by an impressive leadership team, this is an opportunity to solve interesting problems, work with a passionate and brilliant team, and make a big impact by helping our customers save millions of dollars each year.
How you will make an impact:
You will act as Jerry's most valuable ambassador; leading and facilitating the process for active and passive candidates end-to-end from initial contact to their first day on the job to ensure a seamless and delightful experience for every person we engage
You will play a critical role in supporting our ongoing hiring needs across creative, marketing, product, business development, sales, finance and/or operations teams
You will act as a thought partner to our business leaders and continuously evolve our hiring principles, operational cadence and evaluation process
Partner with hiring managers to align on quarterly hiring objectives, define the scope of current and future recruitment projects, and advise on hiring strategies
Work closely with our research team to develop innovative sourcing strategies and ad campaigns, uncover competitive insights, and build a healthy pipeline of leads
Nurture relationships with passive talent through innovative and creative outreach campaigns
About you:
1-2 years of experience weathering a competitive recruitment environment (agency or startup strongly preferred)
You are highly competitive, achievement-driven and a team player
You are a social chameleon and can easily adapt to whomever you are interacting with
You are eloquent (and a bit cheeky), you can banter with anyone on any topic for days
You have an insatiable curiosity of people; why people do what they do, what they love, hate, aspire, fear, etc.
About Jerry:
Jerry is building the first Super App to save car owners time and money on all their car expenses. Drivers deserve better. That’s why we’re committed to making shopping for insurance, financing, maintenance, repairs, parking and more just a few clicks, texts, or swipes away.
Jerry is taking processes that haven’t substantively changed in decades and reimagining and redesigning them. Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all car-owners’ needs.
Today, Jerry is the #1 rated and most downloaded app in its category and the fastest way to compare and buy car insurance. We have more than 1M customers and we are just getting started. Join our team of curious and passionate people who love tackling real-world problems and be a part of building a revolutionary product that’s disrupting a massive market.
Jerry was founded in 2017 by serial entrepreneurs and has raised more than $130 million in financing."
"Data Scientist - Halifax, NS - Indeed.com","Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.
Your Role and Responsibilities
IBM’s state-of-the-art Client Innovation Centre (CIC) opened in Nova Scotia in March 2013 and is the first of its kind in Canada. The Centre weaves together IBM’s business insights and industry-leading software portfolio and is ideally suited for any client that needs flexible access to emerging or niche skills that may not be cost effective to grow internally. In addition, our focus on our team is unparalleled as demonstrated by the following:
The CIC NS is one of IBM’s highest performing delivery centres worldwide – for retention, client satisfaction and utilization. Our employees are empowered to stay and grow within IBM.
We are very focused on continuous skill development – staff training is our third largest annual Centre investment. Employees are immersed in a culture of learning and constant growth
Investment in key partnership with universities, government and private sector groups which has resulted in IBM having a key influencing role in Nova Scotia’s ICT industry, especially in talent development.
We are hiring a Data Scientist
What you will do
The ideal candidate will work within a team and with our client to ensure the projects are delivered with the highest
quality and meeting the requirements. Above all we are looking for someone with a great attitude, high energy, and focused on execution and accountability. Someone that will work with our clients and teams to deliver the best solution.
What you need to have
Ability to work with the client directly to understand and meet their requirements
Excellent verbal and written communication abilities: must effectively communicate with technical and non-technical teams
Participate in teams working in an Agile/Scrum or Waterfall process and ensure the stories/tasks are well defined and
have all the information and tools to be successful
Ability to work independently on tasks with minimal supervision
Ability to work in teams and be open to comments and feedback
Ability to learn quickly and to adapt to a fast-paced environment
Knowledge in AI, Machine Learning, and Deep learning
Required Technical and Professional Expertise
Experience with data modelling a must
Experience using Python or R
Experience in Python libraries such as Pandas, NumPy, SciKitLearn, MatPlotLib, Keras
Bachelor’s Degree in Mathematics, Statistics, Computer Science, Computer Engineering or Software Engineering (other backgrounds are considered combined with the right experience
Fluency in English both oral and written
Preferred Technical and Professional Expertise
Experience in banking industry a strong asset
Experience with fraud analysis an asset
Must have the ability to work in Canada without sponsorship.
Key Job Details
Country/Region:CA
State:NOVA SCOTIA
City:Halifax
Category:Data Science
Required Education:Bachelor's Degree
Position Type:Professional
Employment Type:Full-Time
Contract Type:Regular
Company:(0026) IBM Canada Limited – IBM Canada Limitee
Req ID:431465BR
Travel Required:Up to 10% or 1 day a week"
"Data Analyst - Vancouver, BC - Indeed.com","Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a culture of inclusion for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Job Title
Data Analyst
Mastercard’s Enterprise Security Solutions organization develops and delivers world-class security products and services for customers across the globe. NuData Security predicts fraudulent transactions by identifying good users from bad, based on their online behavior. By analyzing over 38 billion behaviors annually, NuData harnesses the power of behavioral and biometric analysis to empower its clients to predict fraud and verify the user behind the device. This allows clients to predict fraud before a critical decision, reduce customer insult, and investigate bad actors efficiently.
We are looking for a Data Analyst to join our team in our Vancouver office.
You are a determined pattern-finder, one that delights in the tough puzzles because nothing satisfies like finally cracking one. Dig into weird, needle-in-a-haystack Internet-based fraud cases. Ferret out suspicious behaviour from the innocuous. Decipher the pattern, find the fraud and then figure out how to catch it in the future. You’ll back up your findings with deep statistical analysis and robust data modeling, which will go on to inform feature design and fraud investigation strategy for NuData product offerings. You'll produce compelling visuals, exciting dashboards and give fantastic presentations to both internal and external stakeholders.
Qualifications:
Exceptional written and verbal communication skills, with an advanced level of experience in presenting to various audiences (both size and type of audience).
Intermediate level of data analysis and reporting experience in professional setting;
Experience dealing with large data sets;
Experience with SQL and the ability to create complex queries and joins;
Strong data analysis and data modeling skills;
In addition to these qualifications, you will be required to provide a professional sample of technical writing from a previous project or position. Candidates without experience in a professional setting will not be considered for this role.
Bonus points:
Experience with machine learning (supervised or unsupervised);
Experience with high level programming languages: Python, PHP, or similar;
Experience with data tools: R, SPSS, SAS and Tableau;
High level concepts of Web Services, Internet Security and Online Behavioral Analysis.
Due to COVID-19, most of our employees are working from home. We’ve implemented a virtual hiring process and continue to interview candidates by phone or video and are onboarding new hires remotely. We value the safety of each member of our community because we know we’re all in this together.
Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.
If you require accommodations or assistance to complete the online application process, please contact
reasonable.accommodation@mastercard.com
and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.
Corporate Security Responsibility
Every person working for, or on behalf of, Mastercard is responsible for information security. All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and therefore, it is expected that the successful candidate for this position must:
• Abide by Mastercard’s security policies and practices;
• Ensure the confidentiality and integrity of the information being accessed;
• Report any suspected information security violation or breach, and
• Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines."
"Data Scientist - Calgary, AB - Indeed.com","Avenue Living Asset Management is dedicated to sourcing, analyzing, and strategizing on long term investments. Our unique approach has led to rapid growth. Since 2006, we have acquired over $3 billion in assets under management across a variety of sectors throughout Canada and the USA. Our various trusts include assets in the residential, commercial, and industrial sectors, as well as agricultural land.
The strength of our platform lies in working with the right people. Acting with integrity and employing an entrepreneurial mindset, our employees work together to create an exciting, dynamic workplace. By employing an active hands-on approach to asset management, our skilled and innovative team operates closely alongside our investors. We’re disciplined, we focus on value, and we’re informed experts. We pride ourselves on our diverse and inclusive workplace; we are a unique workplace with unique people.
Learn more about Avenue Living Asset Management.
WHAT WILL YOU DO?
Develop, train, tune and integrate Machine Learning models
Test and implement different A.I. technologies to address business needs
Lead MLOps design and development
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
WHAT WILL YOU NEED?
Masters in Statistics, Mathematics, Computer Science or another quantitative field
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Excellent communication skills, both written and verbal
Experience in project management methodologies
Work independently as well as in a team-oriented environment
Strong analytical skills to solve and model complex business requirements
Places emphasis on client satisfaction and clearly communicate solutions to both technical and non-technical team members and other staffs
Demonstrated ability for creativity and innovative problem solving
Able to multi-task in a dynamic environment, think clearly and calmly under pressure
Ability to work in a fast-paced, dynamic environment that requires flexibility and balancing of competing priorities
Ability to deal with situations, people and problems ethically, with honesty and integrity
Experience using Informatica ETL is an asset
Must complete & pass a criminal record check
WHAT DO WE OFFER?
We live and breathe our core values. We go the extra mile. We’re honest. We always have each other's back. We have tons of integrity. And we always own it and adapt – no matter the challenge.
With the support to do things differently, grow personally and professionally and bring your whole self to work, there's no limit to the impact you can make.
We provide a competitive compensation package composed of a group benefits plan, rent subsidy and discretionary profit-sharing program.
We are committed to a strong safety work environment.
Subject to reasonable accommodation, this
position will require the successful candidate to show proof of a vaccination.
What makes us different makes us stronger. We want Avenue Living to be a great place to work for everyone; where people feel safe, included, inspired, trusted and supported so they can be, and bring, their best. We’re committed to creating a respectful and inclusive workplace where unique perspectives, experiences, backgrounds, cultures and attributes are valued and utilized to help achieve better results. As an organization with operations across different geographies, we celebrate the fact that our workforce is made up of people with diverse demographics. We are committed to ensuring our workplace is fair, equitable and free of discrimination and harassment."
"Laundry Line Worker - Temporary - Teeswater, ON - Indeed.com","Hours: This is a shift worker position.
Shift workers may be assigned to work 8, 10 or 12-hour shift schedules
40 hours per week
Location: Teeswater
Representation: PWU
General Accountabilities
Are you a quality conscious individual with a strong work ethic and safety mindset? If so, we have an opportunity for you. Kinectrics is seeking Full Time Temporary Laundry Line Workers to assist with the operation of an industrial laundry facility. This position is a key role for the Kinectrics Laundry Plant, with the important task of ensuring the safe and efficient operation of the laundry process lines in a fast-paced manufacturing environment. General Accountabilities include:
Operations
Responsibilities include but are not limited to operating heavy industrial equipment, systems, and components, including but not limited to washers, dryers, conveyor systems and folding machines;
Involvement in shipping and receiving of customer laundry, including verifying customer quantities;
Sorting and classifying soiled laundry in appropriate silos/carts in accordance with the type of item and contamination level;
Logging items by RFID tag and sorting for processing in accordance with procedures;
Using a proprietary software to save records of operations;
Performing manual work as needed to run the process lines, including but not limited to:
loading and unloading customer laundry into and out of machines;
hanging plastic suits onto drying racks;
moving carts/silos around the facility;
manual folding and packing of some articles upon shipping;
Loading customer laundry in batches per the operations schedule and optimized wash cycles;
Regulating machine processes i.e. turning them on/off, turning levels and valves to control the volume of additives, specific cycles and temperature;
Ensuring all computer-controlled systems are functioning correctly and no lag times/delays exist in the automated processes;
Inspecting articles for wear, tear, and colour and then mending/repairing accordingly;
Performing oversight of process lines and aiding other line workers where needed.
Safety & Procedures
Performing all duties in a safe manner and in compliance with Kinectrics policies and procedures;
Complying with quality procedures set in accordance with ISO9001;
Following all Kinectrics Technical Work Instructions related to operation of the laundry equipment;
Actively cooperating in pre-job brief discussions and identification of any hazards;
Following radiation safety standards and protocols and being familiar with the use of standard radiation protection equipment, such as personnel portal monitors, bulk monitors, small article monitors, etc.;
Involvement in scanning and monitoring of laundry items;
Understanding the unit operations for each process line and zoning divisions in the facility;
Providing support to the Radiation Protection Supervisor or RP technicians where necessary.
Maintenance & Improvements
Identifying any bottlenecks in the process lines;
Working in conjunction with plant personnel to modify and improve the processing and packaging of laundry items;
Providing support to the facilities manager and laundry supervisor where needed, including:
Informing the facilities manager of maintenance needs, such as identifying and reporting any equipment issues while operating the process lines;
Following contingency plans where necessary;
Alerting the managers when machine filters need to be changed or equipment needs repair;
Assisting in the setup, takedown or relocation of production equipment;
Maintaining inventory and communicating needs to the laundry supervisor;
Participating in other continuous improvement or process improvement initiatives;
Other general duties as required, including housekeeping, janitorial and responding to emergency alarms.
Selection Criteria
Essential Competencies:
Must have a background working in a fast-paced manufacturing environment
Ability to work under pressure, while remaining a positive team player
Must be able to organize and prioritize assigned work and to coordinate multiple activities efficiently
Team player, proactive, and quick learner
Demonstrated contributions to a strong safety-first and positive atmosphere
Strong customer orientation and commitment to Kinectrics and Business Unit goals
Ability to gain Security Clearance at a Nuclear Power Plant
Essential Knowledge, Experience and Qualifications:
High school diploma/GED
Verbal and written fluency in English
Strong verbal and written communication skills
Ability to work alone and in a team environment
Must have a strong attention to detail and to quality assurance requirements
Basic Microsoft Office computer literacy skills
Diligent in following conventional procedures
Quick learner:
Ability to follow established laundry procedures
Capable of learning how to use unique software
Desire to work efficiently
Flexible in rotating between process lines
Must be physically capable of performing the duties assigned:
Stamina needed to perform manual labor in an industrial setting, including lifting and carrying heavy objects,
dexterous, good eye-hand coordination
Ability to stand for duration of shift
An understanding of the Occupational Health & Safety Act and safety best practices, operates with a safety conscious attitude
Experience in commercial laundry would be considered an asset
Knowledge of Radiological Safety would be considered an asset
Experience in applying event-free Human Performance fundamentals would be considered an asset (understanding stop when unsure, effective (3-way) communication, procedure use and adherence, self check with verbalization)
Kinectrics welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process."
"Data Scientist, Omnia AI - Toronto, ON - Indeed.com","Job Type:
Permanent
Primary Location:
Toronto, Ontario, Canada
All Available Locations:
Toronto; Ottawa; Vancouver
Learn from deep subject matter experts through mentoring and on the job coaching
Be encouraged to deepen your technical skills…whatever those may be.
Be empowered to lead and have impact with clients, our communities and in the office.
&nbsp;
Are you passionate about solving complex analytical problems, learning about the latest in cutting-edge AI and continuing to develop your analytical and business development skills? If you answered yes, then we have an opportunity waiting for you!
What will your typical day look like?
As a
Data Scientist
, you would take a hands-on role in delivering advisory services to high growth organizations with a diverse team consisting of data scientists, data architects, software developers, information designers, and business/industry leaders. You will responsible for performing statistical modelling, computations, and data ETL to deliver best-of-breed analytical solutions for clients’ business problems. You will work with large amounts of data on a granular level, from structured and unstructured data sources and participate in various structured and ad-hoc analysis projects. You will also perform data analysis and communicate insights on client projects, and provide support in planning, data collection, and assist in pitches and proposal bids.
About the team
Deloitte Omnia, Deloitte's Artificial Intelligence practice
is comprised of specialized experts with hands-on experience, and cutting-edge information assets that facilitate successful Artificial Intelligence (AI) transformations. We develop AI-enabled solutions to address all aspects of a client’s transformative journey with disciplined focus on business outcomes.
Enough about us, let’s talk about you
You are someone with:
Data analysis experience using (one or more): Python, Could ML (AWS, GCP, Azure), or similar tools
1+ years (Consultant) or 3+ years (Senior Consultant) relevant work experience with applying analytics or working with data in any industry
Strong experience with statistical analytical techniques, data mining, and predictive models is required
Database and programming languages experience and data manipulation and integration skills using (one or more) SQL, Oracle, Hadoop, NoSQL Databases, or similar tools is required
Experience with social media analytics and/or natural language processing and/or optimization is an asset Knowledge using either AWS, Azure or GCP
Strong experience with Machine Learning Project management experience is an asset
Ability to work with data with significant ambiguity, develop creative approaches to analytical problems, and interpret data and results from a business/industry perspective
Enthusiastic about solving complex problems with a variety of analytical tools
Professional services, consulting, or advisory experience is an asset
Strong oral and written communication skills
Interest in continuing to develop analytical and business development skills
BA/BSc degree in Computer Science, Applied Mathematics, Statistics, or related field is required.
Advanced degree (MA/MSc, equivalent or higher) is preferred.
Join Deloitte and bring back that loving feeling, and love the company you keep. This position may require frequent travel to serve clients across North America. Candidates must be able to enter the USA to work on client assignment.
Why Deloitte?
Launch your career with The One Firm where you can make an impact that matters in a way that you never thought possible. With endless opportunities at every turn, and a culture built to support and develop our people to be the very best they can be, Deloitte is
The One Firm
for you to learn, grow, create, connect, and lead. We do this by making three commitments to you:
You will lead at every level:
We grow the world’s best leaders so you can achieve the impact you seek, faster.
You can work your way:
We give you the means to be flexible in how you need and want to work, and we have innovative spaces, arrangements and the mindset to help you be wildly successful.
You will feel included and inspired:
We create a deep sense of belonging where you can bring your whole self to work.
The next step is yours
Sound like
The One Firm. For You?
At Deloitte we are all about doing business inclusively – that starts with having diverse colleagues of all abilities! Deloitte encourages applications from all qualified candidates that represents the full diversity of communities across Canada. This includes candidates from Indigenous communities in support of living our values and our commitments to our Reconciliation Action Plan . We encourage you to connect with us at accessiblecareers@deloitte.ca if you require an accommodation in the recruitment process, or need this job posting in an alternative format. We’d love to hear from you!
By applying to this job you will be assessed against the Deloitte Global Talent Standards. We’ve designed these standards to provide our clients with a consistent and exceptional Deloitte experience globally.
Deloitte Canada has 52 offices with representation across most of the country. We acknowledge our offices reside on traditional, treaty and unceded territories as part of Turtle Island and is still home to many First Nations, Métis, and Inuit peoples. We are all Treaty people."
"Data Scientist - Calgary, AB - Indeed.com","We’re looking to hire a Data Scientist to join our growing team. The new team member would work within White Whale’s data science team to build and enhance our in-house data science capabilities.
Job Responsibilities
Assist the Data Science team in building and developing solutions on White Whale’s AI platform, DeepSea.
Support Data Science team in completing and maintaining client dashboards and deliverables.
Search for and expand on DeepSea’s catalog of publicly available datasets.
Work on an agile team and participate in sprint planning and daily team stand up.
Experience and Skills
2+ Years of previous work experience in a Data Science related role
Completed a Bachelor's degree in Math, Statistics, Business Analytics, Computer Science or other related fields. Data Science certifications or courses will also be considered.
Strong Knowledge of modern data architecture, data mining, data structures and data cleansing.
Expertise in coding with Python/R, Pandas, SQL and working knowledge of APIs
Experience creating and using advanced machine learning algorithms and models
Excellent communication and interpersonal skills
Ability to solve problems on your own
Resourcefulness in the face of hard challenges
What you can expect in this role at White Whale
A sense of purpose and delightfulness when you go into work everyday
Learn, grow and shape your skills in an encouraging and productive environment
Be part of a close-knit astronaut team on a critical mission to explore the world of data"
"Quality Assurance Analysts - Mississauga, ON - Indeed.com","Job Summary:
Assist in defining, implementing and executing the Test Methodology as it relates to the CPAS product suite.
Duties and Responsibilities:
Implement the test methodology according to the test policy and standard.
Define test criteria for different test scenarios.
Develop test plans, test cases and prepare test data.
Conduct testing and report to the management.
Tests the integrity of scripts, analyze, monitor and document results.
Implement test policy and execute security tests for different online projects and generate related reports using Security Testing Tool
Develop and execute automated testing scripts using Selenium and Silk4J.
Complete administration and track issues/defects using QA Tools.
Prepare test reports as per specification and demand from users.
Familiarity with testing framework implementation and performance testing.
Education and Experience:
Requires a University degree or equivalent in Computer Sciences and a minimum of 2 - 3 years of experience related to testing of software applications.
Experience with both manual and automated testing methodologies, practices and processes.
Knowledge, Skills and Abilities:
Required PC skills, Windows XP/Vista and MS Word. Experience in Testing and QA Tools. (Preferably Selenium, Silk4J, Java, Python, AppScan and JMeter) Grasp of scripting and programming languages.
Adaptable to changing situations
Good Oral and written skills
Seeks responsibility
Dependable
Team player
Detail oriented
Good conceptual skills
High learning capacity
Show innovation & creativity
Work Environment:
The noise level in the work environment is usually moderate as the employee works in an office setting, at an individual work station, using telephone and computer
Physical Demands:
Must be able to remain in a stationary position for most of the day
Constantly operates a computer and other office productivity machinery, such as a printer/copy machine
This position needs to occasionally move about inside the office
The person in this position frequently communicates via telephone
This position may require travel to New York
Avenu Summary:
Avenu provides local governments with ways to achieve more predictable revenue that supports growth, fuels modernization and ensures compliance with mandated but underfunded programs. Avenu’s revenue enhancement and administrative solutions find and recover license, permit and other taxes that cities and counties struggle to collect. The insights and improved fiscal posture enables governments to deliver expected services and sustain a high quality of life for residents.
Avenu is an Equal Opportunity Employer. Selection for a position will be made without regard to race, religion, national origin, sex, political affiliation, marital status, non-disqualifying physical handicap, and age.
Job Type: Full-time"
"2nd Miller - Lethbridge, AB - Indeed.com","2nd Miller
P&H Milling Group
Lethbridge, AB
Join our team that shares your Passion & Heart for Canadian agriculture! Parrish & Heimbecker, Limited (P&H) has an opportunity for a motivated, forward-thinking, and dedicated individual as a Second Miller based in Lethbridge, Alberta.
Work and grow with a family-owned company.
Join our team with Purpose & History! P&H’s roots go back over 110 years. We have always been a Canadian, family-owned and managed agri-business that understands the qualities and conditions needed for meaningful growth. Our corporate culture values are family values; honesty and integrity with a focus on listening and continuous learning. Like family, we support our staff to always do better.
With over 70 locations spanning from coast to coast, and trade links around the globe, P&H is growth-oriented, diversified and vertically integrated with operations spanning across grain merchandising, flour milling, crop input distribution and animal feed production.
Skills and experience for the next step in your career.
Reporting to the Head Miller, you will be responsible for the wheat cleaning/condition operation and work with the Miller in operating both the flour and semolina mill, ensuring that optimum yield and efficiency is maintained without compromising or violating the Company’s Health and Safety program.
Your day to day activities will include:
Operate the wheat cleaning and conditioning section of the mill, ensuring that screenings/impurities of the wheat are removed and optimum water is added to achieve consistent wheat moisture prior to milling
Ensure that machines and equipment are operated in a safe manner, taking appropriate precautions to prevent risk to the employees and the product
Work with the Miller on shift in operating the Flour and Durum mill
Perform cleaning tasks regularly and strive hard to help in keeping the mill clean and organized at all times
Perform product switches and monitors the operation in the Durum Mill during the shift
Perform operational troubleshooting and maintenance as required
Comply with all related Standard Operating Procedures and complete all required reports according to BRC/HACCP/Food Safety program
Follow and comply with all policies and procedures under the Health and Safety program
Consistently learn the milling process while working with the Miller to prepare himself on possibly moving up to the next higher position
Assist the Bulk Load Operator in moving rail cars if necessary
Perform other duties as assigned
The successful candidate should enter the position with the following qualifications:
High School Diploma
At least six months working experience in the milling department.
Strong mechanical aptitude
Must be willing to learn the milling process and take the NABIM course to gain more knowledge in milling and be able to step up to the full Shift Miller position if required
Ability to communicate both oral and written and make decisions effectively
Ability to work on shift, continental shifts, overtimes and weekends
Ability to work in a team environment with minimum supervision
Ability to work in a dusty and high noise environment
Ability to perform physical tasks that require lifting
Basic knowledge of computer application
Ideally, working knowledge of grain terminal or flour mill operations
To apply and learn more visit us at
www.parrishandheimbecker.com
We thank all applicants, but only those selected for an interview will be contacted.
P&H is committed to building a skilled and diverse workforce that is reflective of Canadian society. As a result, Parrish & Heimbecker, Limited is an equal opportunity employer and is in compliance with the Employment Equity Act. We welcome applications from women, aboriginal people, people with disabilities and members of visible minorities. Accommodations in relation to the job selection process are available upon request.
eyEqkykgrY"
