Title,Description
"Junior Accountant - London, ON - Indeed.com","Posting Number
40256
Requisition Title
Junior Accountant
Internal Posting Closing Date
External Closing Date
Open Until Filled
Yes
Campus Location
London
Department
Financial Services (FIN)
Employment Group
Support
Pay Details
$27.93 per hour
Hours of Work per Week
35
Monday to Friday 8:30 a.m. to 4:30 p.m.
Summary
Working at Fanshawe College
In support of a healthy campus to learn, live and work, Fanshawe College moved the majority of our Academic, Support and Administrative operations online to curb the spread of COVID-19. Today, the majority of these services continue to be delivered remotely, however as public health guidelines allow for more in-person services, Fanshawe College has begun welcoming our community back for on-campus activities.
As an employee of Fanshawe College you may be required to work on-campus, remotely, or a combination thereof. Confirmation of your work location will be clarified with you upon hire, and may be subject to change based on the duties required of your position.
Fanshawe College strongly believes the key to maintaining a healthy campus and community, and to protect each other, is to adhere to all public health guidelines, including vaccination.
As of November 5, 2021, Fanshawe College requires all students, staff, and visitors to all campuses to be fully vaccinated in order to attend the campus in-person.
For those individuals that medically cannot be vaccinated, please advise us when contacted for an interview and arrangements can be made to participate virtually.
Note:
This is a full-time temporary position until September 22, 2022 (35 hours per week).
Duties:
Under the direction of the Senior Manager, Financial Services, the incumbent completes accounting processes required to reconcile the College’s bank accounts; maintaining internal controls over the College’s accounts receivables, and in providing clerical support and assistance to the Corporate Insurance program.
Qualifications
Post-secondary 2-year diploma in Financial or Accounting Studies
Current enrolment in an introductory level of an accredited accounting program leading to a professional accounting designation
Minimum 2 years’ accounting and bank reconciliation experience gained as a team player in a service oriented office environment using a variety of computer software packages such as spreadsheets and word processing in an educational environment
An equivalent combination of education and/or experience may be considered; preference will be given to applicants meeting the education requirements
Demonstrated strong organizational skills and attention to detail
Demonstrated ability to work independently and as a team
Demonstrated excellent verbal and written communication skills
General Information
While transcripts are not required for the interview, they are mandatory prior to any offer of employment.
We thank all applicants for their interest; however, only those chosen for an interview will be acknowledged.
Fanshawe College is an equal opportunity employer. We are committed to equity, value diversity, and welcome applicants from diverse backgrounds.
Fanshawe College provides accommodations to job applicants with disabilities throughout the hiring process. If a job applicant requires an accommodation during the application process or through the selection process, the hiring manager and the Recruitment Coordinator leading the recruitment will work with the applicant to meet the job applicant’s accommodation needs."
"Customer Service and Finance Officer - Yellowknife, NT - Indeed.com","The City of Yellowknife is an inclusive employer offering a dynamic and rewarding work environment that delivers valuable services to our residents. Working in Local Government provides many opportunities to not only develop your career but also to improve the lives of residents and visitors to Yellowknife! At the City, the diverse backgrounds of our employees help us to create a positive, safe and fun environment for us all. The City of Yellowknife is currently seeking a qualified individual to assume the position of Customer Service and Finance Officer with the Corporate Services Department.
Under the general supervision of the Manager, Financial Services and the direct supervision of the Supervisor, Customer Service and Finance, the incumbent provides a full range of clerical and customer support services for both finance and customer service functions on a daily basis. This includes accounts payable, accounts receivable, cash receipts, and utilities, and reconciliation of sub-ledgers to the various asset and liability general ledger accounts. The incumbent is also responsible for issuing various permits, assisting with the Business and Lottery Licensing processes, sorting mail, providing cashier services, carrying out filing and file control activities, answering telephones, performing switchboard duties, and providing service to the public over the telephone and in person at the service counter, as well as handling and resolving customer inquiries and maintaining files for the department. The incumbent is required to rotate within the Finance Division as deemed necessary by the Supervisor or Manager.
This position requires exceptional customer service skills and the ability to use computers, photocopiers, fax machines, telephone equipment and integrated accounting/financial and database software. Understanding of accounting principles is required which is normally gained through vocational training and experience. Well-developed organizational and verbal skills, including tact and diplomacy, are necessary for the incumbent to multi-task when dealing with customer enquiries. The incumbent must have an ability to interpret By-laws in order to clarify these for the public. The incumbent must be bondable. The work requires the incumbent to have specialized formal education or training in a broad accounting discipline such as successful completion of a post-secondary diploma program, preferably related to accounting or enrollment in a formal accounting program and two to three years of practical experience in both finance and customer service.
The City of Yellowknife offers a competitive salary range of $59,306 - $69,558 plus a comprehensive benefits package which includes a monthly housing allowance and defined benefit pension plan.
Qualified applicants are required to apply no later than February 1, 2019.
Please visit the City of Yellowknife Website at:
www.yellowknife.ca to submit your resume.
Please be advised that the City of Yellowknife requires all prospective employees to provide a criminal records check prior to employment. We thank all applicants who apply, but advise that only those to"
"Accounting Specialist- IDEAL Canada - Ajax, ON - Indeed.com","Overview:
IDEAL INDUSTRIES, INC.
has been propelled by the principles of its founder, J. Walter Becker, for over a century. Since the beginning, this family-run enterprise has been committed to building ideal relationships with its customers, employees and communities, creating some of the industry’s most innovative and trusted products along the way. This commitment to quality and service will continue to spur the success of IDEAL INDUSTRIES, INC. and its family of companies, for generations to come. This role is located in Ajax, Canada- no relocation provided.
Responsibilities:
Reporting directly to the Manager, Accounting & IT this position is responsible for all communications with internal and external clients regarding payments and invoices.
55% - Responsibilities cover the entire Accounts Payable cycle including batching payments, entering, and reconciling system transactions, ensuring corporate compliance with business teams, and forecasting DPO (Days Payable Outstanding) metrics.
45% - Assist in data analysis to improve DPO, assist in accounting & finance ERP (Enterprise Resource Planning) system transition, & provide month end close and reporting support.
PRIMARY RESPONSIBILITIES
:
Completes payments and controls expenses by receiving, processing, verifying, and reconciling invoices to system reports and subledger accounts.
Pays employees expenses by receiving and verifying expense reports using SAP Concur
Ensures business teams follow procurement controls and continuously improve processes from purchase to payment.
Reconciles processed work by verifying entries and comparing system reports to balances.
Assist in managing cash flow by monitoring discount opportunities, scheduling and preparing cheques, and resolving purchase order, contract, invoice, or payment discrepancies and documentation and reporting DPO.
Assist in month end activities including reporting, preparing journal entries, and account reconciliations.
Lead AP digital transformation during and post ERP transition (i.e., transfer more vendors to wire payments, integration with Concur, routing approvals entirely via software etc.)
Assist with adhoc cross functional departmental projects requiring excel/data query analysis
Qualifications:
Diploma in Business Administration with a focus on accounting preferred.
1 to 2 year’s related experience required.
Excellent verbal and written communication skills.
Proficient in Microsoft Office Suite (specifically excel and word) related software as well as other accounting software programs
Ability to work independently in a fast-paced environment.
Ability to anticipate work needs and interact professionally with stakeholders.
Excellent organizational skills and attention to detail.
Motivated to continuously improve business processes and drive change."
"Manager, Finance - Closing November 22nd, 2021at 4pm - Charlottetown, PE - Indeed.com","This is an exciting opportunity to join a fast paced and growing environment in a key leadership role. The Manager, Finance is a key contributor to the leadership team and is accountable for the management and protection of all Red Shores assets. The Manager, Finance is responsible to lead the Finance, Audit and Shipping & Receiving teams, ensuring their growth, development, and contribution to overall business goals.
The Manager, Finance will lead this team ensuring compliance with the PEI Lotteries Commission, Atlantic Lottery, provincial, federal and other applicable laws and regulations. This leader will liaise with Atlantic Lottery Head Office ensuring Red Shores alignment to corporate deadlines, processes, and practice.
Date Posted
Nov 4, 2021
Type
Full-time - Permanent
Career Level
Experienced
Category
Accounting and Financial
Website
http://www.redshores.ca"
"bookkeeper - Coquitlam, BC - Indeed.com","Business Equipment and Computer Applications
MS Excel
MS Word
Specific Skills
Reconcile accounts
Record and balance daily transactions
Prepare trial balance of books
Post journal entries
Perform basic bookkeeping tasks
Ensure that procedures are conducted in accordance with laws and regulations
Calculate fixed assets and depreciation
Maintain general ledgers and financial statements
Calculate and prepare cheques for payroll
Prepare other statistical, financial and accounting reports
Keep financial records and establish, maintain and balance various accounts using manual and computerized bookkeeping systems
Work Conditions and Physical Capabilities
Fast-paced environment
Attention to detail
Tight deadlines
Overtime required
Work Location Information
Urban area
Personal Suitability
Accurate
Client focus
Judgement
Reliability
Organized"
"accounting assistant - Langley, BC - Indeed.com","or equivalent experience
Business Equipment and Computer Applications
ACCPAC
MS Windows
Database software
Accounting software
MS Outlook
Area of Specialization
Invoices
Reports
Forms and records
Specific Skills
Type and proofread correspondence, forms and other documents
Sort, process and verify applications, receipts and other documents
Send and receive messages
Provide general information to clients and the public
Prepare and format page presentation
Perform basic bookkeeping tasks
Organize and schedule office work
Label, file and retrieve documents
Receive and forward telephone or electronic enquiries
Process incoming and outgoing mail manually or electronically
Prepare invoices and bank deposits
Photocopy and collate documents for distribution, mailing and filing
File material in storage area
Order office supplies and maintain inventory
Security and Safety
Bondable
Transportation/Travel Information
Own transportation
Own vehicle
Valid driver's licence
Work Conditions and Physical Capabilities
Repetitive tasks
Attention to detail
Combination of sitting, standing, walking
Work Location Information
Urban area
Personal Suitability
Effective interpersonal skills
Accurate
Excellent oral communication
Excellent written communication
Client focus
Dependability
Reliability
Organized
Adaptability
Collaborative
Analytical
Creativity
Efficiency
Energetic
Goal-oriented
Hardworking
Integrity
Outgoing
Positive attitude
Proactive
Quick learner
Time management"
"accounting bookkeeper - Abbotsford, BC - Indeed.com","Specific Skills
Reconcile accounts
Prepare trial balance of books
Post journal entries
Calculate fixed assets and depreciation
Maintain general ledgers and financial statements
Calculate and prepare cheques for payroll
Prepare other statistical, financial and accounting reports
Prepare tax returns
Keep financial records and establish, maintain and balance various accounts using manual and computerized bookkeeping systems"
"PART-TIME BOOKKEEPER - North Vancouver, BC - Indeed.com","Job Description
Our outsourced accounting business has an opening for an experienced accounting or bookkeeping staff member. We are growing and require persons with full cycle accounting experience. Preference will be given to those with a wide variety of experience and to those with public practice accounting experience as well as extensive experience with Quickbooks and Quickbooks Online.
Role Responsibilities
We have the technical ability to allow staff to work on companies accounting records remotely. As a result, while the position requires working from our office it is coupled with the ability to work remotely, at times away from our office, creating a highly flexible work environment.
We attempt to offer the most flexible work environment possible.
Successful candidates will provide bookkeeping and /or accounting functions to monthly clients. In addition, some administrative duties are part of the job description
Desired Skills
Self-motivated, strong attention to detail, and ability to work independently
Proficient with use of QuickBooks (Online), Xero, and/or Simply Accounting
Experience will full cycle bookkeeping
Superior keypunching skills
Superior communication (written/verbal) & client management skills
Employment Type:
Part-time with flexible hours
Salary:
Based on Experience
Closing Date:
Open
Software skills:
+ Microsoft Excel
+ Microsoft Word
+ Outlook"
"bookkeeper - Hornepayne, ON - Indeed.com","Specific Skills
Reconcile accounts
Prepare trial balance of books
Post journal entries
Calculate fixed assets and depreciation
Maintain general ledgers and financial statements
Calculate and prepare cheques for payroll
Prepare other statistical, financial and accounting reports
Prepare tax returns
Keep financial records and establish, maintain and balance various accounts using manual and computerized bookkeeping systems
Personal Suitability
Accurate
Dependability
Reliability"
"bookkeeper - Oshawa, ON - Indeed.com","Business Equipment and Computer Applications
MS Excel
MS Windows
MS Word
Specific Skills
Reconcile accounts
Prepare trial balance of books
Post journal entries
Calculate fixed assets and depreciation
Maintain general ledgers and financial statements
Calculate and prepare cheques for payroll
Prepare other statistical, financial and accounting reports
Prepare tax returns
Keep financial records and establish, maintain and balance various accounts using manual and computerized bookkeeping systems
Work Conditions and Physical Capabilities
Fast-paced environment
Work under pressure
Repetitive tasks
Attention to detail
Tight deadlines
Overtime required
Personal Suitability
Flexibility
Accurate
Team player
Dependability
Reliability
Organized
Benefits
Other Benefits"
