Title,Description
"Stagiaire e-commerce - Montréal, QC - Indeed.com","Fondée en 1970, PRESTILUX inc., se spécialise dans la distribution et la mise en marché de produits haut de gamme et de renommée internationale de soins de la peau, de parfums et de cosmétiques.
Chef de file dans l’industrie de la beauté au Canada, notre entreprise propose des produits innovants et des concepts marketing répondant aux besoins et aux attentes du marché actuel, ainsi qu’aux demandes spécifiques de sa clientèle. Avec une expérience réputée dans la représentation de marques internationales, PRESTILUX commercialise des produits destinés à la vente au détail.
Notre équipe souhaite combler le poste suivant :
STAGIAIRE E-COMMERCE
Spécificités
Lieu de travail
: Télétravail et bureau 1 fois par semaine au centre-ville de Montréal
Date d’entrée en fonction
: Immédiat
Statut
: Stage rémunéré avec possibilité d'embauche à la fin du stage
Horaire de travail
: 20-35 heures par semaine (horaire flexible)
Responsabilités
Vous ferez partie intégrante de l’équipe E-commerce et serez responsable de soutenir l’équipe pour mener à bien les initiatives promotionnelles sur l’ensemble de nos points de vente digitaux : sites transactionnels, Amazon, pureplayers et sites de nos partenaires détaillants.
Vos responsabilités :
Coordonner la mise en ligne des nouveautés sur les sites de nos détaillants, ainsi que sur Amazon;
Gérer et s’assurer de l'exactitude du contenu lié aux produits sur l’ensemble de nos plateformes e-commerce : prix, images, attributs, noms, description, etc.;
Travailler en étroite collaboration avec divers départements et fournisseurs afin de s’assurer de l'exactitude des lancements de produits, des campagnes de marketing et d'autres interactions avec les clients, dans les délais requis;
Participer à divers projets digitaux, ex : lancement d’un nouveau site;
Assurer le suivi des demandes clients et du service à la clientèle;
Contribuer au reporting des ventes en ligne, en faire une analyse approfondie et proposer des actions concrètes;
Toutes autres tâches connexes liées au poste
Profil recherché
Posséder un permis de travail valide au Canada (obligatoire);
Études universitaires de premier cycle en marketing digital (atout) ou toute autre formation pertinente en cours ou terminées;
Grand souci du détail avec une passion pour le commerce électronique;
Sens de la planification et de l’organisation;
Capacité à gérer plusieurs projets et autodidacte;
Expérience avec les plateformes e-commerce Shopify, Magento et WooCommerce (atout);
Expérience avec Amazon (atout);
Expérience dans le domaine de la santé-beauté (atout);
Maîtrise des logiciels de la suite MS Office et des outils Google;
Connaissance des outils Adobe Photoshop, Illustrator;
Bilinguisme (français et anglais) écrit et oral impeccable.
Votre enthousiasme, votre créativité et votre intérêt pour l’industrie des cosmétiques seront autant d’atouts qui vous permettront de mener à bien vos objectifs. On vous reconnaît pour votre rigueur et votre capacité à gérer des imprévus dans un environnement en mouvement tout en respectant les priorités.
Ce poste est fait pour vous? Postulez dès maintenant.
La durée du contrat : 6 mois
Heures à temps partiel : 20 - 35 par semaine
Date de début prévue : 2021-11-04
Type d'emploi : Temps Plein, Temps Partiel, Temporaire, Stage
Salaire : 17,00$ à 20,00$ par heure
Avantages :
Horaires flexibles
Horaire :
Du Lundi au Vendredi
Permis/certificat:
permis de travail (Obligatoire)
Télétravail:
Oui"
"Marketing Coordinator - Kingston, ON - Indeed.com","Who We Are
*
At Open Door Media, our Core Values are the driving force behind all the decisions we make. Our company values are the core foundation for our culture, business strategies, and relationships with clients and business partners. The following core values give us a framework for daily decisions and future planning:
Creative - purposeful, brave, problem-solver
Resourceful - adaptive, supportive, troubleshooter
Reliable - consistent, thorough, efficient, accountable
Visionary - open-minded, future-thinking, pragmatic
Good Communicator - clear, honest, solution-focused
If the values of our company culture align with your personal work ethic, we’d love to hear from you! *
*
The Role
We are looking for an experienced Marketing Coordinator who will be responsible for the day-to-day management of digital marketing campaigns including social media posting, SMM, SEM, SEO, and email marketing for a variety of clients.
To be successful in this role you will need at least two years of experience in digital marketing and social media management.
Responsibilities
Organic social media posting and reporting
Creation and management of social media ads
Creation and management of Google Ads
SEO tracking and maintenance
Management and reporting for email marketing campaigns
Requirements/Qualifications
2 years of experience in social media marketing
Excellent understanding of social media management tools (eg. Hootsuite, Sprout)
Excellent understanding of social media marketing, including best practices and trends
Proficiency in email marketing tools (eg. Mailchimp, Active Campaign)
Proficiency with Facebook Ads Manager
Proficiency with Google Ads Manager
Proficiency with Google Analytics
Proficiency with design tools such as Canva
Adhere to project timelines
Adhere to project briefs
Excellent time management and communication skills
Creativity and openness to new ideas, technologies, and industry best practices
Education
College diploma or university degree in marketing or communications
What We Offer:
A strong company culture that puts collaboration and communication at the forefront of our everyday activities.
Fun! We have team calls at the start and end of the week that are strictly social. We play games and share laughs over our meetings to keep things fun.
A thoughtful Employee Retention Program
Yearly company retreats
Opportunities to learn and grow
*
Job Types: Full-time, Permanent
Schedule:
8 hour shift
Monday to Friday
No weekends
Work remotely:
Yes"
"Digital Marketing Specialist - Mississauga, ON - Indeed.com","RS Breakers & Controls is an Original Equipment Supplier that is dedicated to providing excellent customer service and customized solutions. Our 35,000-square-foot warehouse stocks over 100,000 products, including MCC wrapper/buckets, panel switches, circuit breakers, bus plugs, distribution panel boards, and so much more. We stock products of all amperages and voltages to serve residential, commercial and industrial needs. Visit our website at https://www.rsbreakers.com/about-us/ to learn more about us.
The Position:
Reporting to the Owner and President, the Digital Marketing Specialist will work with the President, rest of the management team, and our external marketing agency to collect information and create quality marketing content, a constant flow of educational and product marketing content including social media posts, testimonials, product videos and pictures, etc. The incumbent will take keen interest to learn the business and products to enable creation of content on an ongoing basis.
Major Responsibilities:
Learn the company products, customers including problems solved, and general business
Assist with gathering information and work with external marketing and branding partners to provide information
Organize content for website and other marketing needs, create marketing materials including product literature as needed
Support online marketing efforts including SEO, web content development including testimonials
Manage email campaigns
Do in-house photography of products being rebuilt, our unique work, emergency response solutions, etc. to demonstrate expertise and speciality to address customer needs and solve problems
Provide in-house graphic design support
Manage Social Media accounts
Manage CRM including data collection
Work with outside sales team to create marketing content to support their efforts
Qualifications, Experience and Skills:
Post-secondary education (college diploma or degree) in marketing related studies
2-3 years of industrial marketing experience in related role in a small company environment, preferably in electrical industry
Experience and practical skills in professional photography, videography, and graphic design
Experience in SEO tools and applications, using social media platforms for marketing
Excellent aptitude and experience in use of technology in digital marketing and content creation/management, skills in computers and relevant software applications
Excellent verbal and written communication skills
Project management and organizational skills
Ability to collaborate in a team environment, multi-task with strong time management skills
Ability to work independently and effectively
Compensation:
Salary range of $40 to 60k, plus statutory and non-statutory benefits such as vacation, sick leave, extended health benefits, etc."
"Digital Marketing - West Kelowna, BC - Indeed.com","Company description
Since 2009 Canadian Solar Wholesale Inc. has been proudly providing quality solar energy products for off-grid & grid-tie applications. We offer shipping across Canada to British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia, Prince Edward Island, Northwest Territories, Nunavut, and Yukon.
Job description
The Job
Digital Marketing and Administrative Assistant:
You will report and work directly with the CEO and owner of the company to develop and implement marketing strategies to increase online sales as well as take care of everyday administrative tasks.
We require someone who pays attention to detail, is a team player, with strong analytical skills.
Your Responsibilities
Marketing Role:
Manage and deploy social media strategies and campaigns to increase online sales. This includes platforms like Google Adwords, Instagram, Facebook, etc. This can include content ideation, posting schedule, responding to inquiries from consumers or potential consumers, etc.
Create graphic content for social media and e-commerce platforms. This includes making videos, taking photographs and creating graphic content to later adjust to the corresponding place where it will be posted.
Co-create, manage, and deploy e-commerce strategies for our online sales
Creates periodical reports on analytics to provide recommendations for future strategies.
Research and monitor activity of company competitors.
Other e-commerce and marketing projects and tasks as assigned.
Administrative Role
Process incoming sales orders. This can include printing and placing shipping labels on ready-to-ship products, scheduling with the production team, Canada Post pick up, etc.
Assisting with various administrative tasks that might come up during the day such as emails and phone calls.
Qualifications:
Excellent written and verbal communication skills (English).
Experience with social media management and e-commerce.
Excellent social skills.
Can work both with teams and independently.
Strong organizational skills.
Attention to detail.
Completing a post-secondary diploma or graduate program preferably in Marketing or Administration or similar.
Competency managing social media platforms.
Previous experience in office administration and marketing (asset but not required).
Reference ID: cdnsolar
Part-time hours: 20-40 per week
Expected start date: 2021-10-01
Job Types: Full-time, Part-time, Permanent
Salary: $19.00-$25.00 per hour
Benefits:
Casual dress
Flexible schedule
On-site parking
Schedule:
8 hour shift
Day shift
Monday to Friday
No weekends
COVID-19 considerations:
All customers are required to wear a mask, successful candidate must be fully vaccinated.
Work remotely:
Temporarily due to COVID-19"
"Digital Media Coordinator (Part Time) - Halifax, NS - Indeed.com","Department:
Marketing
Supervisor:
Manager Marketing & Communications
Position Category:
Part Time
Starting Salary:
$20.756 per hour
Working Hours:
14 hours/ 2 days per week
Start Date:
As soon as possible
(Note: The position is subject to the terms and conditions of a collective agreement between Unifor and Discovery Centre)
Position Summary
Reporting to the Manager Marketing & Communications, the Digital Media Coordinator is responsible for maintaining content to all online platforms including website and various social media channels.
The Digital Media Coordinator is technically skilled in programs such as Hootsuite, Mailchimp, and WordPress, as well as expert knowledge of all social media platforms and trends. The individual has experience and passion for maximizing online channels to connect with current and future customers.
RESPONSIBILITIES:
The Digital Media Coordinator
is responsible for:
Publishing and scheduling of relevant content on website and social channels
Implementing editorial content calendar posts on a weekly basis
Reaching target audiences, organically, using social media platform optimization and audience behaviours
Programming and purchasing social media digital display ads optimizing reach of target demographic, Google and other partner publisher sites
Social listening and capture of online and social audience engagement
Maintaining website with updates on program offerings, events, and registration
Optimizing website content to ensure Google ranking and search engine reach
Monitoring Google Analytics and adapting techniques based on audience reach and engagement
Creating and maintaining website forms
Programming, designing, and distributing newsletter content through Mailchimp to Discovery Centre’s key audiences
QUALIFICATIONS & EXPERIENCE:
Minimum of 2 years’ experience in digital media, marketing, communications or public relations with demonstrated success. Bachelor’s degree in journalism, marketing, public relations preferred.
Expert knowledge and understanding of social media platforms (Facebook, Twitter, Instagram, YouTube, LinkedIn etc.), their respective audiences, and how to manage and grow reach
Basic design and video editing skills
Excellent writing and copy-editing skills
Basic coding skills for use in Mailchimp and other web-based systems
Knowledge of Search Engine Optimization including keyword research and Google Analytics
Functional knowledge and experience with WordPress content management tools.
Practices superior time management with ability to multitask and manage multiple projects at a time
Ability to work independently and deliver on agreed upon timelines
Applications:
Applications are to emailed to recruitment@thediscoverycentre.ca
Applicants are to submit their resume, cover letter and references. All applications will be reviewed but only those chosen for interview will be contacted. Please note the position that you are applying for in the subject line of your email application.
Discovery Centre promotes equal employment opportunities for all job applicants and embraces diversity
. The Centre is committed to equity in its policies, practices, and programs, supports diversity in its work environment, and ensures that applications for members of underrepresented groups are considered for employment with the Centre."
"Stratège, Médias Sociaux - Montréal, QC - Indeed.com","Si Cook it a fait la preuve qu’il était possible d’inventer* la meilleure façon de manger
, nous avons aussi envie d’inventer la meilleure façon de
travailler
, de
mobiliser* et d’
innover
.
Nous avons grandi extrêmement rapidement ces dernières années et, riches de nos succès, sommes en train d’imaginer ensemble ce dont le futur de Cook it aura l’air. Pour y arriver, nous avons besoin des meilleurs cerveaux, tant en RH qu’en technologie, en marketing, en cuisine, en opérations, en finance et en administration. Et pour ça, nous avons besoin de
vous
.
Si vous avez envie de relever l’un des défis les plus excitants de votre carrière, si vous cherchez une famille qui va vous accueillir comme l’un(e) des leurs, si vous aimez créer de nouvelles choses, rencontrer des centaines de nouveaux collègues en très peu de temps, et progresser rapidement,
ce poste est pour
vous
.
Ce poste est ouvert pour recrutement immédiat, avec une panoplie d’avantages qui sont trop nombreux pour les énoncer tous ici (mais en vrai, c’est écrit plus haut).
*
Description du poste*
Relevant de la directrice contenu multiplateforme, le.la stratège, médias sociaux s’occupera de bâtir le calendrier éditorial de la marque et de superviser ses créateurs.rices de contenu. Elle aura pour mandat de créer de l’engagement et de la croissance sur nos pages, en plus de participer à l’idéation et la création de différents éléments de contenu pour la marque (photo, vidéo, design, rédaction, etc.).
*
Télétravail : * Hybride
*
Horaire : * 40h/semaine, horaire flexible
*
Lieu de travail : * 279 Sherbrooke Ouest bur. 301, Montréal, H2X 1Y2
*
Type d’emploi : * temps plein, permanent
*
Salaire : * 45,000$ à 55,000$ (selon l'expérience)
*
Avantages (la meilleure partie) à travailler chez Cook it*
*
Recevoir une boite Cook it gratuite à chaque semaine et profiter d'un petit coup de pouce hebdomadaire à la maison ;
Intégrer une culture d’entreprise qui prône la diversité et l’inclusion. Chez Cook it, nous croyons à une communauté forte constituée des personnalités distinctes de tous nos collaborateurs ;
Bénéficier des assurances collectives offertes aux employés à temps plein ;
Vacances dès la première année en poste ;
Travailler dans une entreprise qui a à cœur le développement des compétences de ses employés, leur évolution sur le long terme et qui mise sur les programmes de formation ;
Profiter d'un équilibre travail-vie personnelle grâce à un horaire flexible ;
Possibilité de «luncher» sur les repas cuisinés par nos chefs ;
Joindre une équipe fun qui favorise le “team building” via plusieurs activités telles que le “Cook it training club”, les occasionnels 5 à 7, Cook it Université et ses multiples formations offertes par nos professionnels à l’interne.
*
Principales tâches*
*
Bâtir le calendrier éditorial de la marque (TikTok, Instagram, Facebook, Twitter, Pinterest, LinkedIn, Spotify, Youtube) ;
Participer à l’idéation et la création de contenu pour nos réseaux sociaux (vidéos, stories, guides, etc.) et pour différentes campagnes publicitaires ;
Superviser la gestionnaire de communauté de l’Ontario et le.la créatrice de contenu, culture/comité exécutif ;
Rédiger et ou réviser le contenu sur toutes nos plateformes ;
Bâtir une communauté forte et engagée ;
Créer de l’engagement et de la croissance sur nos pages, en identifiant des opportunités et collaborations intéressantes ;
Bâtir et partager des rapports de performance, interpréter et vulgariser les résultats, selon les objectifs fixés ;
Rester à l’affût des tendances en matière de réseaux sociaux et de contenu numérique ;
Effectuer la veille et la modération des commentaires sur les réseaux sociaux.
*
Exigences et compétences professionnelles*
*
3 ans d’expérience en agence ou dans un poste similaire ;
Intérêt marqué pour l’écriture et le design ;
Français et Anglais irréprochables, parlés et écrits ;
Facilité à travailler en équipe ;
Créativité ;
Axé.e sur l’amélioration continue ;
Aptitude à travailler sous pression ;
Aimer avoir du FUN ;
Connaissance du logiciel de création Canva, un
atout
;
Connaissance du logiciel de gestion de projet Asana, un
atout
.
Suivez-nous sur Instagram: @chefcookit et restez à l’affût de nos nouvelles corporatives sur LinkedIn.
Type d'emploi : Temps Plein, Permanent"
"Digital Marketing Manager - Toronto, ON - Indeed.com","Who We Are:
Founded in 2019, Better Bears Foods Inc. are a sustainable snack food brand that focuses on plant-based, low-calorie, sugar-free options to satisfy your cravings without the dangers of high-sugar and artificial chemicals found in many traditional snacks. Now, with Better Bears, choosing the best snack option doesn't have to be a compromise in taste!
We embody core values that make us not only a good choice for your health, but also a good choice in terms of global sustainability. We have committed to only use 100% biodegradable packaging for all of our products! Zero-waste is the future, so why not start now?
We offer exceptional customer service by engaging our valuable consumers in new product development. It’s important to us that each person who engages with us feels good with each and every interaction.
Our company is fast growing, and we are looking to add to our team. If you’re a team player who values excellence, can work remotely and enjoys learning from others with diverse skillsets and perspectives, we’d love to hear from you.
About the Role:
The Marketing Manager is responsible for developing, executing, and monitoring strategies and marketing campaigns across social media, retail sales, influencer marketing, DTC e-commerce and ambassador channels. We are looking to hire a detail-obsessed, dynamic and forward-thinking individual to join our team and help take our brand to the next level. You should be inspired and excited by discussions about health, wellness and snacking, and you are passionate about making this conversation more accessible to a diverse audience. This role ensures our marketing efforts are executed on time, on brand and contribute to the goals of the company. Skills in time management, graphic design, digital advertising and communication are critical to success. Past experience with a DTC e-commerce brand an asset.
What will you be doing?
You will help to assess and recruit staff needs for the marketing department
You will work closely with the Social Media and Ecommerce Team to drive, evolve and execute on Better Bears’ organic and paid social media strategy across Instagram, Facebook, Twitter, Pinterest, YouTube, TikTok, LinkedIn, Amazon and more
You will work closely with the National Key Account Manager to drive, evolve and execute on Better Bears’ Retail marketing channel via image prep, magazine and flyer content
You will lead the development of holistic influencer strategy and creation of campaigns to drive brand awareness, engagement, reach, conversions and content
You will manage and coordinate with the Social Media Coordinator, a social community content calendar that aligns with key brand goals and initiatives that assist in driving traffic, conversations, and conversions.
You will prospect and manage all ongoing influencer relationships and partnerships
Design and create high-quality creative assets and marketing materials to assist in print and digital promotional campaigns, product development, and sales support. This can include advertisements, branded images and video content, product labels, brochures, merchandise and other sales collateral, presentations, templates, etc.
Work collaboratively with various groups in the organization to create compelling content that tells our company story
Support marketing initiatives both internally and externally to ensure a consistent brand message is delivered on all platforms
Handling product and service launches as the key media communications contact
Editing marketing material and acting as the “brand police” to ensure all internal and external communication assets comply with company messaging
Identifying and engaging with marketing vendors as required
Developing and sourcing content for digital platforms including video footage, photo assets and graphic design elements
Manage all digital content creation: native ads, static ads, dynamic ads, video rolls, etc.
Manage external contractors (e.g. photographers, graphic designers, videographers) to accomplish social and public relations goals
You will track, measure and report on social, retail and sales analytics on a weekly basis including engagement, follower growth, web traffic, campaigns, conversions etc.
Coordinate and actively participate in engaging exhibitions at local and international trade and consumer-facing, physical and virtual marketing events.
What essential skills & qualities should you have?
4+ years of organic social media and influencer experience
4+ years of marketing experience at a brand or agency
Proficiency and some experience with Graphic Design and content creation
Photography and Video experience are an asset
Strong working knowledge of Instagram, Facebook, Twitter, Pinterest, Youtube, LinkedIn, TikTok and other social platforms
Experience with driving results and managing overlapping social media campaigns on a variety of platforms
Proficiency in Google Analytics and other digital measurement tools
Experience utilizing Amazon advertising an asset
Excellent time management, multitasking and organizational skills
Proven success thriving in a fast-paced, entrepreneurial environment
Superior teamwork and communication skills
Strong writing, copy editing and proofreading skills
Working knowledge of performance marketing an asset
Curious mindset and desire to always be learning, innovating, and optimizing
You are passionate about health and nutrition and have a desire to make a truly incredible impact
You are comfortable using marketing communications platforms (e.g. Shopify, Salesforce Marketing Cloud, Power Point, MailChimp, Hootsuite, etc.)
Experience with MS Office suite of products
We thank you for your interest in this role with Better Bears Foods Inc. however only candidates considered for an interview will be contacted. Better Bears is committed to employment equity and encourages applications from all qualified candidates. Those candidates requiring an accommodation should notify us during the recruitment process.
Job Types: Full-time, Permanent
Salary: From $85,000.00 per year
Benefits:
Paid time off
Stock options
Store discount
Work from home
Schedule:
Monday to Friday
Application question(s):
1) Do you have experience managing an influencer Campaign, if so what size? How many influencers?
2) What is the largest monthly digital marketing budget (influencer, Ad spend, partnerships, combined) you have ever managed?
3) What is your direct experience with managing SEO strategy? (What platforms were used to manage, what specific segments of the site were adjusted/added to increase SEO, etc.) Be specific.
Work remotely:
Yes"
"Product Marketing Specialist - Ottawa, ON - Indeed.com","SMATS Traffic Solution provides hardware sensors and software analytics to monitor and reduce roadways traffic congestion. We are seeking a highly motivated individual to join our dynamic team of young entrepreneurs and help with marketing our products and solutions:
Key responsibilities
Collaborate with product management and business development to develop company and product positioning and associated content messaging that resonate with our target buyer personas
Lead the digital marketing and overall communications strategy
Design, create, manage and execute strategic marketing campaigns
Oversee sales enablement for our direct sales and channel partners
Market intelligence—be the expert on our buyers, who they are, how they buy and their key buying criteria.
Build a competitive analysis to highlight SMATS competitive differentiation
Manage day-to-day social media strategic and tactical requirements for Facebook, LinkedIn, Twitter and YouTube to build SMATS presence and brand equity
Be responsible for managing SMATS public relations and media inquiries
Write and manage marketing content including promotional emails, newsletters, and other marketing collateral
Requirements
3 to 5 years of combined product marketing and digital marketing experience in B2B.
Excellent writer, both marketing copy and training materials
Proficient in marketing applications such as CRM, Word Press
Proven ability to track, calculate and analyze metrics
Data driven skills, able to decipher what is –or isn’t—working
Must be a strong public speaker, comfortable in front of large, senior groups
Willing to travel to event and tradeshows in North America and Internationally
Expertise in blog writing, social media marketing and engagement, website management, and lead generation.
Familiar with managing Google Analytics as well as Google, LinkedIn, and Facebook Advertising.
Asset
Experience with Graphic Design applications to generate quality contents and graphics
Job Types: Full-time, Permanent
Salary: $50,000.00-$70,000.00 per year
Additional pay:
Bonus pay
Benefits:
Casual dress
Dental care
Disability insurance
Extended health care
Life insurance
Stock options
Vision care
Schedule:
Monday to Friday
Education:
Bachelor's Degree (preferred)
Experience:
product marketing: 1 year (preferred)
Work remotely:
Temporarily due to COVID-19"
"Marketing and Brand Assistant - Windsor, ON - Indeed.com","In 2019, Katie Pearse, the world's leading authority on cleaning business marketing and business strategy, launched an online course academy for residential cleaning business training.
Glisten Academy
is revolutionizing the residential cleaning industry with training courses and programs that are setting a new standard for excellence. Founder Katie Pearse requires an enthusiastic, organized, and innovative marketing professional who will be responsible for enhancing the brand and supporting the Academy's online marketing campaigns and projects. Performing administrative tasks on behalf of Katie Pearse will also be required.
Responsibilities
To assist in the marketing and brand management of the Katie Pearse and Glisten Academy brands, with online product launches promoted on social media, through email marketing, and on websites
Identify and manage affiliate and other partner relationships with external vendors and sponsors
Effectively manage projects within a small team of professionals to meet business goals
Assist with projects and workflow of external agencies, vendors and freelancers as requested
Field inquires (e.g., vendor solicitations, permission requests, product reviews) via social media and email using best judgment to reply or route accordingly
Provide administrative aid for project- or team-related marketing needs (e.g., conducting research, coordinating meetings, supporting events)
Provide administrative support as directed by Katie Pearse
Maintain a commitment to and align with Glisten mission, vision, values and programs, to successfully represent the Glisten and Katie Pearse brands
Some travel may be required
Other duties as assigned
Required Qualifications
:
Expertise in social media marketing (YouTube, Instagram, Facebook, LinkedIn), email marketing (Mailchimp/Flodesk), digital advertising (Facebook and Instagram)
Familiarity with web design (Shopify, Thinkific, Squarespace), graphic design (Canva, Adobe Illustrator)
Diploma or coursework, preferably in marketing, communications or related or 1 - 2 years’ experience in a similar position.
Knowledge of marketing principles and capacity to embrace new technologies
Strong written and verbal communication skills -
Energetic, self-starter with strong sense of urgency and creative problem-solving skills
Ability to handle change with ease and a positive attitude, flexible
Ability to work independently, self-directing and entrepreneurial
Capacity to analyze information and solve problems or suggest appropriate solutions
Savvy organization, prioritization and time management skills
Strong attention to detail to produce quality work while meeting tight deadlines
Familiarity and experience marketing luxury brands would be a bonus!
Part-time hours: 10 per week
Job Types: Part-time, Casual
Salary: $19.00-$22.00 per hour
Experience:
Marketing: 1 year (preferred)
Work remotely:
Yes"
"Digital Marketing Specialist - Waterloo, ON - Indeed.com","Digital Marketing Specialist
Planitar Inc. is changing the way people see, understand and explore the built universe. Our iGUIDE hardware and software system is used by professionals around the world to efficiently scan and document spaces. Collected data is processed to create the immersive iGUIDE 3D property tour that weaves together 360-degree virtual views, floor plans, room measurements, floor areas, photos, videos, and other online planning tools.
We are looking for a committed, tech-minded and passionate digital marketing professional to join our team! Reporting to the Director of Marketing, the Digital Marketing Specialist will be responsible for maintaining our digital assets as well as creating and launching digital marketing and advertising campaigns.
Requirements/Qualifications:
Web development (WordPress, CSS, server maintenance)
Creating and deploying digital marketing campaigns and initiatives.
Knowledge in key areas of marketing (SEO, social media, content marketing, email marketing, PPC and SEM)
Analyze digital data to draw key recommendations around website optimization
Conduct social media audits to ensure best practices are being used
Maintain digital dashboard of several different accounts
Reporting, tracking and sharing analytics
Strong project management skills
Ability to build strong relationships and work across functional teams including Product, Sales and Customer Success
Strong growth track record, with samples and results of past campaigns
Advantages to joining our team:
Health Spending Account
Paid holidays and vacation, personal time off
Career advancement opportunities
Friendly and collaborative work environment
Work in a new modern office
Application deadline: 2021-12-08
Job Types: Full-time, Permanent
Salary: $55,000.00-$60,000.00 per year
Benefits:
Casual dress
Discounted or free food
On-site parking
Paid time off
Wellness program
Work from home
Schedule:
8 hour shift
Monday to Friday
Work remotely:
Yes"
