Title,Description
"Sage ERP Consultant - Markham, ON - Indeed.com","Sage ERP Certified Consultants are given the responsibility for the implementation of Sage ERP and 3rd party software products.
Qualifications:
Good knowledge of ERP.
Good knowledge of windows and Unix servers.
Good customer relationship / solution provider.
Must have reliable transportation / with a valid “G” licence.
Must have excellent, organizational, interpersonal, oral and written communications skills.
Knowledge of computer science field with particular emphasis on network technology normally attained through completion of 3-year community college program. Minimum 5 years’ experience providing evidence of strong skills in administration and support of Windows and Unix servers in an Active Directory environment, Internet services, PC hardware, XP desktop operating system, Exchange Server, back up and virus protection services.
Microsoft Certified Systems Engineer (MCSE) and Microsoft Certified Systems Administrator (MCSA) is required. Combination of education and related experience in an Active Directory environment; Microsoft Systems Management Server (SMS) & Microsoft Operations Manager (MOM) experience preferred. Cisco Certified Network Administrator (CCNA) certification and Unix Administration is highly desirable. Can demonstrate evidence of working in a complex IT Network environment. Information Technology Information Library (ITIL) Foundations certified an asset. Must have excellent, organizational, interpersonal, oral and written communications skills.
TO APPLY:
Send us your resume to: careers@iwigroup.ca and be sure to include “ERP Consultant” in the subject line.
We wish to thank all the candidates for the applications and advise that only those selected for an interview will be contacted."
"5G AI Ops SME - Ottawa, ON - Indeed.com","5G Advanced AI OpsSME
The reputation of Dell Technologies for delivering award-winning hardware is legendary and our Hardware Engineering team is at the heart of it. We design and develop analogue as well as digital hardware products – not just computer or network hardware devices but peripherals too. Recognized for our high level of technical expertise in a variety of engineering disciplines, we’re involved across the development lifecycle – from research to the building, testing and delivery of completed products. Innovators in our field, we lead the way in exploring new concepts, approaches, processes, materials and components.
Join us to do the best work of your career and make a profound social impact as a Subject Matter expert on Network Slicing, Self-Organizing Network, and Network Function Virtualization our Advanced Wireless Technology team. Initially the position status is remote working but when facilities open it will be based in Ottawa.
What you’ll achieve
The SME will assist in the design of 5G and beyond system using AI/ML to optimize Network Slicing, Self-Organizing Network, and Network Function Virtualization, taking part in a once in a career opportunity. As a successful candidate, you need to possess a number of critical skills, including a good understanding of RF systems and systems architecture. You must have a variety of RF standards (3GPP, O-RAN) knowledge to enable the formulation of solutions to optimize the cost/performance/size trade-off.
You will:
Work with data scientists and ML engineers to optimize Network Slicing, Self-Organizing Network, and Network Function Virtualization.
Test and validate on suitable 5G testbeds.
Status reporting to stakeholders
Take the first step towards your dream career
Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:
Essential Requirements:
Proven record of successfully running technology research and development programs for wireless products, preferably 5G, and delivering product to market
Good understanding of O-RAN system architectures from CU to RU.
Organized, goal-oriented technical leader to lead, follow, and effectively collaborate with knowledgeable development peers and business partners.
Excellent communication skills and highly motivated
Desirable Requirements:
Masters or PhD in Electrical Engineering with an emphasis in RF/ microwave systems and digital communications
5G research experience desirable, academia or industry
15+ years of relevant experience or equivalent combination of education and work experience
Here’s our story; now tell us yours
Dell Technologies helps organizations and individuals build a brighter digital tomorrow. Our company is made up of more than 150,000 people, located in over 180 locations around the world. We’re proud to be a diverse and inclusive team and have an endless passion for our mission to drive human progress.
What’s most important to us is that you are respected, feel like you can be yourself and have the opportunity to do the best work of your life - while still having a life. We offer excellent benefits, bonus programs, flexible work arrangements, a variety of career development opportunities, employee resource groups, and much more.
We started with computers, but we didn’t stop there. We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the data era. Join us and become a part of what’s next in technology, starting today.
You can also learn more about us by reading our latest Diversity and Inclusion Report and our plan to make the world a better place by 2030 here.
Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Read the full Equal Employment Opportunity Policy here.
Dell Canada Inc. (“Dell”) is committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve, and creating an environment where every employee has the opportunity to reach her/his potential. We welcome applications from: women, Aboriginal persons, persons with disabilities, ethnic minorities, visible minorities, and others who may contribute to diversification. As part of our commitment to accessibility for all persons with disabilities, Dell will, upon the request of the applicant, provide accommodation during the recruitment process to ensure equal access to applicants with disabilities. If you are selected for an interview and you need accommodation, please contact your recruiter.
AWT"
"Firmware Engineering Manager - Edmonton, AB - Indeed.com","You will lead a team of firmware engineers responsible for the new product development and continuous improvement and maintenance of our Thermal Management Segment’s embedded and Windows based applications. The firmware team is responsible for the development, testing, deployment, and technical aspects for commercialization of new products and support of legacy products, including hardware, firmware, test systems, and demonstration. You will also lead and participate in NPI planning & strategy, performance management, and continuous improvement enablement.
In this position, you will get to:
Lead an embedded firmware and software application team in developing new and sustaining legacy products.
Work with global technology, product management and other cross functional organization in implementing company vision and direction.
Translate technology roadmap and product requirement documents into actionable plans
Lead change and drive organizational capability improvement through improvements in tools, process, and technical development of the teams
Leverage past experiences in designing and building highly reliable, highly scalable, and high performance embedded and Windows based applications.
As a technical expert in embedded design domain, provide technical consulting to address technical issues, provide guidance and drive development and verification activities, perform code reviews and analysis
Analyze highly complex designs and independently formulate solutions through applying engineering or mathematical methods.
Ensure software engineering best practice methodologies are applied throughout the software development lifecycle
Evaluate design alternatives, perform cost benefit analysis, and guide staff in implementing improvements
Work in concert with 3rd party offshore software development organization integrating seamlessly with the on-site team
Manage and lead project development teams using Agile Scrum methodology across several large software projects simultaneously with both on site and offshore teams
Use project management and bug tracking tools like JIRA and Redmine or equivalent.
Track project progress, mitigate risks and resolve dependencies for multiple projects
Provide mentoring and guidance creating environment for open collaboration and career growth for team members through strong leadership.
Develop relationships with all engineering leads and individual contributors, both with the electronics technology and digitals organizations building a cohesive development environment built on open collaboration and trust.
You have:
BS or equivalent degree in Computer Science or Electronics with emphasis on software and firmware development
MS or PhD degree desirable
Ideally 7 years of relevant firmware and software engineering management experience
Experience with embedded and Windows applications development
Working knowledge and experience working with both Real Time Operating Systems (RTOS) and Linux
Development experience and managing teams using C, C++ or other higher languages
Development experience and managing teams using JSON, XML and other data exchange formats.
Development experience and managing teams using Python, Perl, BASH, PowerShell or JavaScript scripting languages
Development experience and managing teams using MySQL, MongoDB or other database technologies
Development experience and managing teams using MQTT standard messaging protocol for IoT.
Development on experience and working knowledge with TCP/IP, Ethernet and TLS protocols
Experience working with industrial and commercial Modbus and TCP/IP, and CANBUS and BACNET is desirable.
Exposure to Bluetooth and other Wireless Technologies
Strong verbal and written communication skills
Excellent project management skills to efficiently organize, plan, and track project activities
We have:
A dynamic global reach with diverse operations around the world that that will stretch your abilities, provide plentiful career opportunities, and allow you to make an impact every day
We are a $2.1 billion, high-performance electrical company with a dedicated team of 9,000 people, across more than 80 global locations
We have a robust portfolio of product brands dating back more than 100 years and including: nVent CADDY, ERICO, HOFFMAN, RAYCHEM, SCHROFF and TRACER
Commitment to strengthen communities where our employees live and work
We encourage and support the philanthropic activities of our employees worldwide
Through our nVent in Action matching program, we provide funds to nonprofit and educational organizations where our employees volunteer or donate money
Core values that shape our culture and drive us to deliver the best for our employees and our customers. We’re known for being:
Innovative & adaptable
Dedicated to absolute integrity
Focused on the customer first
Respectful and team oriented
Optimistic and energizing
Accountable for performance
Benefits to support the lives of our employees
At nVent, we connect and protect our customers with inventive electrical solutions. People are our most valuable asset. Inclusion and diversity means that we celebrate and encourage each other’s authenticity because we understand that uniqueness sparks growth."
"Manager, IT Platforms - Ottawa, ON - Indeed.com","Position
We are looking for a Manager, IT Platforms who will lead a team responsible for creating and managing a robust, secure, and effective network that spans on-premises and cloud infrastructure. The network includes physical on-premise equipment, plus a cloud platform that supports our cloud services business. The success of the network solution and the leader's performance is measured based on our required business outcomes.
The successful candidate will join us as a member of our Information Technology and Cloud Solutions (ITCS) team. The ITCS team provides network and cloud platform solutions that provide the infrastructure for delivering business applications.
Job Duties
Manage an IT and Cloud Solutions team to achieve our strategic goals
IT staff management including recruiting, training, and coaching employees, communicating job expectations, and appraising performance
Define and track Key Performance Indicators (KPIs) to measure progress and success
Create and communicate IT policy and track compliance
Manage communications and working relationships between IT and other departments within the organization as well as external service providers
Align team with strategic goals planning and execution
Manage IT budget across the cloud and on-premise networks to ensure cost-effectiveness
Manage information technology, computer systems, and network infrastructure
Work with DevOps engineers to provide the network infrastructure for cloud-based services including security and monitoring
Advance our ""cloud-first"" vision by moving existing infrastructure and processes to cloud-based solutions
Stay up to date with cybersecurity tools and technologies, and use your knowledge to create effective security policies and solutions that achieve corporate outcomes
Ensure security and integrity of data, network access, and backup systems
Respond to security incidents and track incidents for continuous improvement
Create solutions for remote work and hybrid working environments that include a blend of remote and in-office work
Create robust and secure document sharing, storing, and archiving solutions that support business needs
Select and purchase new and replacement hardware and software, while managing inventory and budget
Key Competencies
A team-oriented focus: working in high transparency, high accountability, fun environment where we help and learn from others
A focus on ensuring the best possible customer outcomes
Requirements
BS in Computer Science or a related field
Minimum 5 years of experience in IT with at least 2 years of management experience
Advanced IT skills that include both cloud and on-premises networks and a variety of platforms including Linux, Windows, and macOS
Leadership experience
Strong interpersonal and communication skills
Experience managing public cloud provider accounts and tools including networking and security, and billing
Experience with Kubernetes and Docker, preferably with EKS
Assets
Experience migrating on-premise networks to the cloud
A preference for cloud-first thinking
A focus on data-driven continuous improvement
Software development experience such as Python scripting and/or SQL databases would be helpful
Please Note: This role is primarily remote as a form of accommodation due to COVID, however, the successful candidate will be required to have access to transportation for travel to the office as required."
"Project Manager - North York, ON - Indeed.com","Company Summary
At NeuronicWorks we provide hardware, software, mechanical and product design services to clients looking to achieve short time to market with a winning product in the most cost-effective way. We offer complete product design and prototyping services, from concept to detail design, to building state of the art electronic systems that meet the increasing demands of today’s technology. Our mission is to deliver quality design with visionary, innovative and practical solutions to our customers.
Job Responsibilities
We are looking for experienced Project Managers to manage and successfully deliver key client projects. The successful candidate will be responsible for:
Delivery of projects on-time, within scope, within budget and to the required level of quality.
Drive positive business relationship with clients by keeping the client informed and involved in the development process and by adding value to the client’s business.
Lead cross functional teams through the development process, in the following disciplines: HW &FW engineering, Mechanical and Industrial design, Desktop, Web and Mobile Applications.
Coordination of internal resources and third parties/vendors for a flawless execution of projects
Successfully apply Waterfall and Agile development methodologies.
Develop and manage the project schedule and resource allocation, monitor the project cost, manage changes according to company procedures.
Clearly communicate to management the state of the project: client relationship, risk, issues, milestones and proposed solutions.
Establish and maintain relationships with third parties/vendors.
Preparation and review of the following documents: requirements document, SOW, design presentations and test plans and reports.
Support Business development in preparation of quotes and proposals and in active retention of existing clients.
Interface with procurement and ensure the timely supply of components and materials to the engineers.
Requirements:
5+ years of experience in project management with a proven track record of delivering projects to client’s satisfaction.
Experience in one of the following industries: Medical Devices, Consumer Electronics, Automotive, Mobile App market.
Proven ability to lead cross functional teams through the development process, in the following disciplines: HW &FW engineering, Mechanical and Industrial design, Desktop, Web and Mobile Applications.
Solid technical background and hands-on experience in one of the disciplines above.
Strong experience in management client facing projects.
Excellent verbal and written communication skills.
Strong organizational skills including the ability to define and prioritize work for the development team, attention to detail.
Strong time management skills including prioritization, management of multiple projects concurrently, and ability to respond quickly and efficiently to changes.
Knowledge of Microsoft Office, Jira and project management tools.
PMP or Scrum certification is an advantage.
Permanent resident or Canadian citizen.
Personal Attributes:
Commitment to complete work on time and at a high level of quality.
Courage to think critically, to ask for help, to innovate and improve.
Focused on finding solutions and deliver value to clients.
Openness to talk about challenges and receive guidance and advice.
Readiness to help and support the team with any task.
Ability to handle multiple diverse assignments successfully in a consulting firm environment.
Good level of organization and time management skills and ability to co-ordinate multiple tasks.
Uncompromised commitment to confidentiality.
Education
B.Sc. in Electrical Engineering, Computer Science or Equivalent.
All necessary precautions: mask, hand sanitizer, distancing, COVID-19 questionnaire at the door, cleanliness and disinfection few times a day.
Job Types: Full-time, Permanent
Schedule:
Monday to Friday
Experience:
project management: 5 years (preferred)"
"Embedded Control Firmware Engineer- Consultant - Ottawa, ON - Indeed.com","Title: Embedded Control Firmware Engineer
Job Description:
Infinera Line System team is searching for an experienced embedded and real-time software/firmware developer for our leading-edge optical line system product line. Our team is responsible for developing carrier grade software and firmware which follow modular and reusable design principles. Our software and firmware consist many layers and components from low level device drivers to optical control application and interface to shelf controller. The candidate is required to fully understand line system firmware/software architecture and its real time operating system, and be able to work independently developing optical control and shelf controller interface software for new products as well as sustaining for legacy products. To achieve this goal, the candidate is required to work closely in a multi-disciplinary environment and be able to interact with optical, hardware and software engineers to drive closure of any design and development requirements and issues.
Key Responsibilities Would Include:
Work closely with hardware engineers to understand HW control architecture including CPU architecture, memory access and control of various peripherals. Be able to independently develop firmware that supports the designed hardware, e.g. driving DACs, reading ADCs and control flash devices through low level device interfaces or FPGA interface.
Work closely with optical engineers to define optical control requirements and develop control algorithms. Implement the control algorithms on top of Linux and FreeRTOS operating systems.
Be able to work on software interface layer that communicates with system controller on a different card through gRPC interface over Ethernet.
Be able to provide to management team accurate design estimates for planning purposes.
Be able to follow development processes to ensure delivery of quality products on time.
Flexible and be able to adapt to changing tasks when needed.
Education & Experiences Required:
Bachelor or higher degree in Electrical Engineering/Computer engineering, or equivalent education.
Solid understanding of digital signal processing principles and PID control algorithm
Minimum 5 years industry working experiences in real time programming in C++/C/Python in Linux and FreeRTOS environment.
Solid industry experiences with low level device interfaces including but not limited to SPI, I2C and PCIe interfaces.
Proficient in using lab equipment including but not limited to oscilloscopes and power meters.
Good understanding of SOC controller/processor architecture, Linux kernel, and real-time OS operations.
Experiences with optical networking communication systems – especially optical transceivers or/and fiber optics modules - is a plus.
Knowledge of Petalinux and its build environment is a plus.
Proven ability to grasp new technical concepts quickly.
#LI-JP1
Infinera is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, age, status as a protected veteran, or status as a qualified individual with disability. EEO
Employer/Vet/Disabled."
Software Engineer - Remote - Indeed.com,"Intermediate - Remote
Do you want to build new ways to understand and solve complex problems using a combination of Computational Science and Artificial Intelligence? Want to learn about and work in fields like robotics, aerospace, 3D printing, construction and advanced manufacturing?
Augmenta is seeking passionate, kind, and collaborative talent to help us perform research and development on complex multi-industry workflow and design automation challenges.
Who we are
Augmenta is a Toronto based technology development firm, founded by the team that invented Generative Design at Autodesk. We have expertise in fields like computational geometry, aerospace engineering, applied mathematics, artificial intelligence, product design and design research.
We both conceptualize and develop our own products, and offer custom development of Generative AI software and hardware for organizations across industries.
Generative AI 101
Generative AI tools represent a new paradigm of human-computer partnership. Users describe the problem they want to solve - inputting goals, preferences and requirements. Using artificial intelligence and computational techniques, our software generates countless possible solutions that meet those requirements while far outperforming what anyone could design themselves. These tools
augment
human beings - making them smarter, bolder, and more creative.
What you get
Get in at the earliest stage to help design and develop the fundamental architecture for the world’s first Generative AI tools
Develop deep domain expertise in a variety of complex fields from logistics to construction, life sciences to intelligent robotics
Work side by side with passionate and bright designers and engineers, while being exposed to cutting edge research
See the technologies you implement used in the real world to create amazing systems, plans, buildings, processes, and products
What you will do
Research, design and implement robust, scalable, high-performance computer algorithms
Investigate state-of-the-art computational methods by reading relevant academic papers and attending appropriate workshops/conferences
Collaborate with a multidisciplinary team including designers, hardware and software engineers in multiple locations
Mentor junior staff and interns to reach their best potential
Required qualifications
B.Sc./M.Sc.in Computer Science, Computer Engineering, Mathematics, Physics or related disciplines
Experienced in C++ and Python software development
Knowledge of API design, component architectures, principles of service-oriented software
Knowledge of data structures
Linear algebra and calculus
Principles of automated testing and continuous integration frameworks
Research, design and performance optimization of complex algorithms
Preferred qualifications
Parallel computing methods and frameworks
Familiarity with fundamental Modeling & Simulation principles and methods
Mathematical optimization methods, gradient estimation, Bayesian Optimization
Mathematical modeling methods for complex regression tasks, Deep Learning
Go software development
Computational geometry algorithms and methods
Interactive 3D graphics and data visualization
Numerical methods for solving partial differential equations problems
Distributed computing
GPU acceleration of numerical algorithms using CUDA/OpenCL
Amazon Web Services APIs
Lightweight virtualization technologies (Docker, etc.)
Benefits
We are fully employee owned and provide stock option grants for full time employees
Very competitive extended health benefits package including supplementary Health Spending Account (HSA)
4 weeks vacation
Home office and self-directed learning budgets
Open, collaborative, and supportive culture including skill shares, design critiques, and a reading group
Quarterly team offsites
We hire for curiosity!
Equal employment opportunities are important to us in how we recruit, hire, and develop talent. We encourage applications from all candidates especially those who identify as People of Colour, LGBTQ+, Women, Indigenous, Caregivers, Immigrants and those living with disabilities. If you require any special accommodations in the application process please reach us at careers@augmenta.ai with details about how we can best accommodate you.
If you don’t have experience in the STEM fields mentioned, not to worry! We’re a diverse team with a blend of experience across different disciplines and industries. We’re looking for someone who’s passionate, curious and willing to learn.
Interested?
Send a Resume and Cover letter to:
careers@augmenta.ai"
"Software Engineer - System - Ottawa, ON - Indeed.com","Since 1992, Ciena has been driven by a relentless pursuit of network innovation. We believe in a network that grows smarter, more agile, and more responsive every day. This means that when you digitally interact in your world - picking up the phone, streaming video, texting a friend or loved one – your interactions are being enabled by Ciena technologies. Ciena makes your social / entertainment / business existence REAL.
This role is ideally
Ottawa
based, however
remote in Canada (Eastern Time Zone)
is also available.
*********************************************************************************
What will you do at Ciena as a
System Software Engineer
?
Within Ciena’s Converged Packet Optical family of products we are looking for candidates experienced in designing and developing Telecommunications software, to join our team. Focus would be on developing real time embedded software in C/C++ on the Linux Operating System. The desired candidate should have strong software engineering skills and some experience with Telecommunication technologies.
Responsibilities and Activities:
Develop embedded C/C++ software, including enhancements to existing software, development of new features, and support of new hardware
Participate in all stages of software development, including requirements analysis, design, prototyping, implementation, test, and maintenance
Solve software issues as well as performance issues, and work with Architects, Software and System Engineers to identify root cause
Identify software performance improvements, including but not limited to CPU usage and memory management
Employ test driven development methodologies, automated unit testing, and comprehensive integration testing.
Engage with Product Owners and System Architects to evolve and invigorate the platform, such that it can continue to embrace and support new features and technologies
Influence the software architecture, to improve resiliency, debuggability and maintainability.
What technical experience and/or professional and personal skills are required for this role?
Bachelor’s or Master’s degree in Computer Science or Engineering coupled with 5+ years of confirmed experience in an embedded software design role
Strong fundamental embedded operating system concepts - good knowledge of mutual exclusion, synchronization, interrupt handling, inter-process communication, memory management, multi-threading, Linux OS utilities and system calls
Experience with developing high performance, fault tolerant, highly available C/C++ application software on multi-processor, highly concurrent systems, preferably in data networking domain
Comfortable debugging complex system/platform issues such as crashes and traps, memory leaks, issues with inter-process communications, CPU hogs etc.
Knowledge of industry standard open-source components like, Docker, Redis etc.
Familiarity with software upgrades and high availability of embedded Telecom systems
Excellent written and verbal communications skills to present ideas and coordinate troubleshooting
Excellent organization skills to handle time, resources, and priorities
Independent self-starter and committed to delivering on bold deadlines
Comfortable in a team environment while still taking accountability and working independently as needed.
#LI-SM
About Ciena
Ciena is a network strategy and technology company with a passion to provide an experience, to you and our customers that is as rewarding as the
outcome. We
attract the best and brightest– those with outstanding talent, motivation, and the right attitude to contribute to our success. Our culture balances our openness and informality with professionalism and trust and is built on the foundation of our core values: Customer First, Integrity, Velocity, Innovation, and Outstanding People.
Ciena enables everyone to have a voice and a network that supports them while on the journey to discovering their passion and purpose. We trust each individual to do what they can to reach their full potential and make an impact on the business, whenever, wherever they are in the
world. With
Ciena’s highly innovative, forward-thinking
business practices,
we reward people for pushing the
boundaries. Unlock
your potential at Ciena!
Being You @ Ciena
As part of our commitment to diversity and inclusion, we want to foster an environment that values and respects all individual’s strengths, perspectives, ideas, and ability to meet the needs of our customers globally. Ciena values the diversity of its workforce and respects its employees as individuals, regardless of race, ethnicity, religion, gender, age, national origin, disability, sexual orientation, veteran or marital status or any other category protected by applicable law. We do not tolerate any form of discrimination.
Ciena is also committed to compliance with all fair employment practices regarding citizenship and immigration
status.
If contacted in relation to a job opportunity, you should advise Ciena in a timely fashion of the specific accommodation
measures required for you
to be assessed in a fair and equitable manner.
We do not charge any fee for employment and the same applies to the Recruitment Partners we work with. Additionally, we do not ask for any refundable security deposit to be paid in bank accounts for employment purposes. We request candidates to be cautious of misleading communications and not pay any fee/ deposit to individuals/ agencies/ employment portals on the pretext of attending Ciena’s interview process or seeking employment with us."
"Software Engineer - Chassis Management - Ottawa, ON - Indeed.com","Since 1992, Ciena has been driven by a relentless pursuit of network innovation. We believe in a network that grows smarter, more agile, and more responsive every day. This means that when you digitally interact in your world - picking up the phone, streaming video, texting a friend or loved one – your interactions are being enabled by Ciena technologies. Ciena makes your social / entertainment / business existence REAL.
This role is ideally
Ottawa
based however
remote in Canada (Eastern Time Zone)
is also available.
*********************************************************************************
What will you do at Ciena as a
Chassis Management Software Engineer
?
Within Ciena’s Converged Packet Optical family of products we are looking for candidates experienced in designing and developing Telecommunications software, to join our team of embedded software development professionals. Focus would be on developing real time embedded software in C/C++ on the Linux Operating System. The desired candidate should have strong software engineering skills and some experience with Telecommunication technologies.
The Responsibilities:
Develop embedded C/C++ software, including enhancements to existing software, development of new features, and support of new hardware
Participate in all stages of software development, including requirements analysis, design, prototyping, implementation, test, and maintenance
Help investigate and collect information to resolve process or design issues found on a current design or in previous designs
Troubleshoot software issues and work with Architects, Software and System Engineers to identify root cause
Employ test driven development methodologies, automated unit testing, and comprehensive integration testing
Engage with Product Owners and System Architects to evolve and invigorate the platform, such that it can continue to adopt and support new features and technologies
Influence the software architecture, to improve resiliency, debuggability and maintainability.
What technical experience and/or professional and personal skills are required for this role?
Bachelor’s or Master’s degree in Computer Science or Engineering coupled with 5+ years of experience in an embedded software design role
Strong fundamental embedded operating system concepts
Comfortable debugging complex system/platform issues such as crashes and traps, memory leaks, issues with inter-process communications, CPU hogs etc.
Experience with enhancements required to improve system-level robustness in order to support large scale networks
Familiarity with software upgrades and high availability of embedded Telecom systems
Knowledge of industry standard open-source components like, Docker, Redis etc.
Excellent written and verbal communications skills to present ideas and coordinate troubleshooting
Excellent organization skills to manage time, resources, and priorities
Independent self-starter and committed to delivering on aggressive deadlines
Comfortable in a team environment while still taking accountability and working independently as needed.
#LI-SM
About Ciena
Ciena is a network strategy and technology company with a passion to provide an experience, to you and our customers that is as rewarding as the
outcome. We
attract the best and brightest– those with outstanding talent, motivation, and the right attitude to contribute to our success. Our culture balances our openness and informality with professionalism and trust and is built on the foundation of our core values: Customer First, Integrity, Velocity, Innovation, and Outstanding People.
Ciena enables everyone to have a voice and a network that supports them while on the journey to discovering their passion and purpose. We trust each individual to do what they can to reach their full potential and make an impact on the business, whenever, wherever they are in the
world. With
Ciena’s highly innovative, forward-thinking
business practices,
we reward people for pushing the
boundaries. Unlock
your potential at Ciena!
Being You @ Ciena
As part of our commitment to diversity and inclusion, we want to foster an environment that values and respects all individual’s strengths, perspectives, ideas, and ability to meet the needs of our customers globally. Ciena values the diversity of its workforce and respects its employees as individuals, regardless of race, ethnicity, religion, gender, age, national origin, disability, sexual orientation, veteran or marital status or any other category protected by applicable law. We do not tolerate any form of discrimination.
Ciena is also committed to compliance with all fair employment practices regarding citizenship and immigration
status.
If contacted in relation to a job opportunity, you should advise Ciena in a timely fashion of the specific accommodation
measures required for you
to be assessed in a fair and equitable manner.
We do not charge any fee for employment and the same applies to the Recruitment Partners we work with. Additionally, we do not ask for any refundable security deposit to be paid in bank accounts for employment purposes. We request candidates to be cautious of misleading communications and not pay any fee/ deposit to individuals/ agencies/ employment portals on the pretext of attending Ciena’s interview process or seeking employment with us."
"Senior Software Engineer, Machine Learning Platform, Risk - Vancouver, BC - Indeed.com","Company Description
Square builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started, it was difficult and expensive (or just plain impossible) for some businesses to take credit cards. Square made credit card payments possible for all by turning a mobile phone into a credit card reader. Since then Square has been building an entire business toolkit of both hardware and software products including Square Capital, Square Terminal, Square Payroll, and more. We’re working to find new and better ways to help businesses succeed on their own terms—and we’re looking for people like you to help shape tomorrow at Square.
Job Description
As a Machine Learning Platform Engineer within the Risk Machine Learning team, you work on projects that enable a software driven, machine learning centric view on all money movement and every transaction within the rapidly growing Square seller ecosystem. You partner closely with machine learning modelers, product managers, and other stakeholders both within and outside the team to build and maintain robust large scale and real-time systems and algorithms that power Square’s artificial intelligence and machine learning driven risk decision making.
Our systems and algorithms derive value from our unique and rich data from our entire product portfolio within our rapidly growing seller ecosystem. We partner with business, product, operations and engineering teams to drive optimal decision making systems using sophisticated modeling and machine learning, powered by the robust, scalable and low latency system you help to build. We’re a passionate team of entrepreneurs, scientists, and engineers who are shipping machine learning models and systems that actively manages Square’s view on each transaction as it pertains to our revenue growth and risk.
You will:
Architecture the design and drive the development of highly robust, scalable and real-time machine learning platforms
Build new features and tools for machine learning models and data scientists that help to amplify their effectiveness
Drive efficiencies through automation and optimization
Drive and uphold high engineering standards and best practices
Collaborate with business leaders, subject matter experts, product managers, machine learning modelers etc. to solve interesting and highly impactful business problems
Qualifications
You have:
2+ years of software development experience
Experiences in architecting scalable and low latency services
A bachelor’s degree (or above) in computer science or related field is very helpful but we are open to be convinced that you are an exception
Strong grasp of Computer Science fundamentals
Strong ownership coupled with strong teamwork and collaboration
A background in Machine Learning is preferred but not required
The ability to clearly communicate complex results to technical and non-technical audiences and stakeholders (PMs, Operations, Engineers).
Additional Information
At Square, our purpose is to empower – within and outside of our walls. In order to build the best tools for the businesses and customers we support all over the world, we have to start at home with a workforce as diverse and empowered as our sellers. To this end, we take great care to evaluate all employees and job applicants equally, based on merit, competence, and qualifications. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other characteristic protected by law. We encourage candidates from all backgrounds to apply. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us by sending an email to assistance(at)squareup.com. We will treat your request as confidentially as possible. In your email, please include your name and preferred method of contact, and we will respond as soon as possible.
Perks
At Square, we want you to be well and thrive. Our global benefits package includes:
Healthcare coverage
Retirement Plans
Employee Stock Purchase Program
Wellness perks
Paid parental leave
Paid time off
Learning and Development resources
We’re working to build a more inclusive economy where our customers have equal access to opportunity, and we strive to live by these same values in building our workplace. Square is a proud equal opportunity employer. We work hard to evaluate all employees and job applicants consistently, without regard to race, color, religion, gender, national origin, age, disability, pregnancy, gender expression or identity, sexual orientation, citizenship, or any other legally protected class.
We believe in being fair, and are committed to an inclusive interview experience, including providing reasonable accommodations to disabled applicants throughout the recruitment process. We encourage applicants to share any needed accommodations with their recruiter, who will treat these requests as confidentially as possible.
Want to learn more about what we’re doing to build a workplace that is fair and square? Check out our
I+D page
.
Additionally, we consider qualified applicants with criminal histories for employment on our team, and always assess candidates on an individualized basis.
Perks
We want you to be well and thrive. Our global benefits package includes:
Healthcare coverage
Retirement Plans
Employee Stock Purchase Program
Wellness perks
Paid parental leave
Paid time off
Learning and Development resources
Square, Inc. (NYSE: SQ) builds tools to empower businesses and individuals to participate in the economy. Sellers use Square to reach buyers online and in person, manage their business, and access financing. Individuals use Cash App to spend, send, store, and invest money. And TIDAL is a global music and entertainment platform that expands Square's purpose of economic empowerment to artists. Square, Inc. has offices in the United States, Canada, Japan, Australia, Ireland, Spain, Norway, and the UK."
