Title,Description
"Sys/Test Validation Engineer 2 - Markham, ON - Indeed.com","What you do at AMD changes everything
At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving innovation in high-performance computing, graphics, and visualization technologies – building blocks for gaming, immersive platforms, and the data center.
Developing great technology takes more than talent: it takes amazing people who understand collaboration, respect, and who will go the “extra mile” to achieve unthinkable results. It takes people who have the passion and desire to disrupt the status quo, push boundaries, deliver innovation, and change the world. If you have this type of passion, we invite you to take a look at the opportunities available to come join our team.
The AMD Semi-Custom Business Unit IP Systems Engineering Team is seeking an energetic, experienced IP Systems Engineer to join our growing team where past products include game consoles. As a Power Management FW QA Systems Engineer, you will drive the planning, development, and first level debug of System Management and Power Management FW QA infrastructure for forthcoming AMD Semi-Custom SOC programs.
As a key contributor to the success of AMD’s products, you will be part of a leading team to drive and enhance AMD’s abilities to deliver the highest quality, industry leading technologies to market. The Systems Engineering team fosters and encourages continuous technical innovation to showcase successes as well as facilitate continuous career development.
Key Responsibilities
:
Develop and execute FW quality test plans for System Management and Power Management Firmware
Driving the QA infrastructure development for automation and test suites including setup and maintenance of hardware and test boards
Driving first level analysis of results and isolation of failures
Driving technical innovation to enhance AMD’s capabilities in FW validation, including tool and script development, technical and procedural methodology enhancement, and various internal and cross-functional technical initiatives
Requirements:
Minimum 2+ years of experience with low level software/firmware and embedded systems
Demonstrated ability in C, Python, and shell scripting languages
Working understanding
Windows and Linux-based operating systems and technologies
Git and Source code management infrastructures [i.e. GitLab, GitHub, etc.]
Networking infrastructure configuration and debug
Demonstrated ability to grasp new technical concepts quickly
Strong analytical/problem solving skills and pronounced attention to details
Excellent organizational, written and verbal communication skills
Excel in a dynamic team working environment
Self-starter, strong collaborator, and able to independently drive tasks to completion
Assets:
Knowledge of system architectures
Technical understanding of System Management and Power Management architecture & design
Experience in Doxygen or other SW Documentation generator tools
Experience using Perl and Ruby
Experience with first level system or board level debug
Education:
Bachelor degree in Electrical, Computer, or Software Engineering, or related degrees
Requisition Number:
128301
Country:
Canada
Province:
Ontario
City:
Markham
Job Function:Design
AMD is an inclusive employer dedicated to building a diverse workforce. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective provincial human rights codes throughout all stages of the recruitment and selection process.
Any applicant who requires accommodation should contact
AskHR@amd.com
.
AMD does not accept unsolicited resumes from headhunters, recruitment agencies or fee based recruitment services."
"General Labour- Light Assembly - Permanent - Richmond Hill, ON - Indeed.com","Company Overview:
About us
Gorrie Marketing Services is a small business in Toronto, ON. We are fast-paced, agile, and collaborative, and our goal is to Transform the retail industry by creating retail experiences that surprise and delight shoppers..
Our work environment includes:
Growth opportunities
Safe work environment
Company description
Gorrie Marketing is a retail marketing agency that combines an in-depth understanding of the latest shopper and consumer trends and our strong execution experience to deliver retail initiatives that convert. Our team is made up of strategists, designers, engineers, and project managers that constantly deliver high-impact executions.
Our North American client roster is as diverse as it is exciting and ranges from smaller independent dealers all the way to Fortune 500 companies such as LG Electronics, Shell, Google, and Pepsi / Sodastream.
We are on a mission to reinvent our business model and are looking for entrepreneurial and energetic candidates to complete our team.
Position Overview
Job duties vary based on necessity; May include, but not limited to:
General/Physical Labour
Able to work independently and be self-directed, while functioning as a team member and contributing to company goals.
Unboxing/Prepping/Packaging
Good working knowledge of basic shop equipment and hardware; Using a variety of tools and machines such as; hand and power tools, power drills, saws, levels etc.
General Maintenance & Warehouse Duties
Assist in various areas of product production
Listen to directions from supervisors
Determine if all parts are present
Read and interpret product drawing and sketches
Read parts list
Assemble tools and materials
Verify specifications and measurements
Assemble components
Ensure all parts are fitted and screwed in properly
Alter dimensions to fit specifications
Resolve assembly and production issues
Troubleshoot malfunctions and perform repairs as needed
Ensure working environment is clean and safe
Report errors in product line
Check stock to ensure inventory is replenished
Requirements
Previous assembly experience, and good working knowledge of basic shop equipment and hardware.
Ability to Read and Understand Work Orders
Basic electrical knowledge, an asset.
Strong attention to detail - measure and mark dimensions accurately, quality control for assembly and finishing as we are dealing with high end/high exposed products.
Takes direction well
Ability to govern quality of outgoing product, and manage corrections.
Ability to organize and plan work from instructions, drawings and samples.
Basic computer knowledge.
Strong attention to detail
Ability to perform repetitive lifting; occasional heavy lifting is required.
Able to communicate both verbally and in writing.
Good mathematical skills.
Ability to weigh and measure items.
Working knowledge of safe lifting methods.
Good organizational, time management and prioritizing skills.
Strong work ethic and positive team attitude.
Criminal background check is required
We believe a diverse workforce makes a difference. We are an Equal Opportunity Employer. We appreciate the interest of all applicants, however, only those selected for an interview will be contacted
Job Types: Full-time, Permanent
Salary: Up to $19.00 per hour
Benefits:
Casual dress
On-site parking
Schedule:
8 hour shift
Work remotely:
No"
"Firmware Engineer - Siemens Comfy I Enlighted - Kitchener, ON - Indeed.com","Real trendsetters in every language.
Before our software developers write even a single line of code, they must understand what drives our customers. What is the environment? What is the user story based on? Implementation requires trying, testing, and improving outcomes until a final solution emerges. Knowledge promotes the sharing of expertise through discussions with colleagues from all over the world. Join our team and embrace our cutting-edge technology and innovation.
Why you’ll love working for Siemens!
Freedom and a healthy work- life balance– Embrace our flexible work environment with flex hours, telecommuting and digital workspaces.
Solve the world’s most significant problems – Be part of exciting and innovative projects.
Engaging, challenging, and fast evolving, cutting edge technological environment.
Opportunities to advance your career and mentorship programs on a local and global scale.
Competitive total rewards package.
Profit sharing available.
Rewarding vacation entitlement with the opportunity to buy and sell your vacation depending on your lifestyle.
Contribute to our social responsibility initiatives focused on access to education, access to technology and sustaining communities and make a positive impact on the community.
Participate in our celebrations, social events and offsite business events.
Opportunities to contribute your innovative ideas and get paid for them!
Employee perks and discounts.
Diversity and inclusivity focused.
Siemens is proud to be an eight-time award winner of Canada’s Top 100 Employers, Canada’s Greenest Employers 2018, Canada’s Top Employers for Young People 2020 and Greater Toronto's Top Employers 2021.
Founded in 2012,
Comfy | Enlighted
is a Siemens-owned business on a mission to connect employees to the people, places, and things they need to do their best work. Our SaaS platform and sensor hardware combines building intelligence, space analytics, and a consumer-grade mobile app technology to improve the workplace experience for Fortune 500 companies around the globe. Headquartered in the San Francisco Bay Area, our fast-growing team balances the dynamic energy of a small company with the backing of a global powerhouse.
Enlighted is looking for a
Firmware Engineer
to join our team in the Kitchener, ON office. The firmware team develops cutting edge sensing and processing units combined with our smart building platform helps reduce energy usage and increase operational efficiency. Our platform is installed in over 410 million square feet of commercial real estate across 31 countries. This role entails significant ownership of our world class firmware design, ranging from architecture, implementation, validation, and full life cycle ownership.
What will you do?
Deliver high-quality C code to run in a real-time embedded environment.
Integrate new sensors, improve control systems, implement and debug features.
Architect, design, test and integrate firmware features targeted for IoT devices built for high volume manufacturing.
Hands-on hardware bring-up, system debugging and code optimization.
Develop, enhance and debug new and existing real-time firmware components and features in C.
Make performance and optimization trade-offs to meet product requirements.
Provide hardware/firmware support and design input as required to Cloud/UI Designers and others.
Build edge computing modules and integrate them effectively to achieve real-time requirements.
Support continuous integration and code quality improvement initiatives.
Provide support for Data Science team in the effective and accurate collection of data from Enlighted's systems
Identify opportunities for system improvements that can enhance the operation of the entire end-to-end system
Work as a part of a multi-disciplinary team spanning hardware, software, cloud development and product management.
Improve customer experience, continually raising the bar on functionality, usability, and simplicity.
What will you need to succeed?
BS in Computer Science, Computer Engineering, Electrical Engineering, or proof of exceptional skills in related fields with practical software engineering experience
Proficiency with C, Python programming
Working knowledge of agile process in a firmware setup.
Experience with driver level programming, strong knowledge of microcontroller to hardware interfacing requirements and implementation in firmware, such as: BLE (Bluetooth Low Energy), Wi-fi, Serial Peripheral Interface (SPI), A/D (Analog-to-Digital) inputs, and Wireless
Ability to demonstrate experience in development of embedded products in high volumes involving microcontrollers running FreeRTOS™ or any other real-time operating system.
Test driven development and familiarity with developer driven automated testing.
Remain engaged, proactive, and positive while solving very challenging problems.
Familiarity with embedded development tools
Experience with Linux, embedded Linux
#SI_RSS_BRI
About us.
We share our ideas and champion the people behind them.
For over 110 years, Siemens Canada has stood for engineering excellence, innovation, quality and reliability. Active across Canada, the company focuses on intelligent infrastructure for buildings and distributed energy systems and on automation and digitalization in the process and manufacturing industries. Siemens brings together the digital and physical worlds to benefit customers and society. Through Mobility, a leading supplier of intelligent mobility solutions for rail and road transport, Siemens is helping to shape Canada’s passenger rail services. Via its majority stake in the publicly listed company Siemens Healthineers, Siemens is also a leading supplier of medical technology and digital health services. In addition, Siemens holds a minority stake in Siemens Energy, a global leader in the transmission and generation of electrical power.
Making a difference together we raised $757,000 towards charitable contributions, support over 23 non-profit organizations and planted 1,100 trees in our local communities. Siemens Canada has 2,500 employees from coast-to-coast and 24 office and production facilities across Canada. Join our team of approximately 293,000 talented professionals in more than 190 countries/regions and help us tackle the most exciting challenges to build a successful future together. So, what are you waiting for? Take your next career step with us.
To learn more about Siemens Canada, visit our website at www.siemens.ca
While we appreciate all applications we receive, we advise that only candidates under consideration will be contacted.
Organization:
Smart Infrastructure
Company:
Siemens Canada Limited
Experience Level:
Experienced Professional
Job Type:
Full-time
Siemens is committed to creating a diverse environment and is proud to be an equal opportunity employer. Upon request, Siemens Canada will provide reasonable accommodation for disabilities to support participation of candidates in all aspects of the recruitment process. All qualified applicants will receive consideration for employment.
By submitting personal information to Siemens Canada Limited or its affiliates, service providers and agents, you consent to our collection, use and disclosure of such information for the purposes described in our Privacy Code available at
www.siemens.ca
.
Siemens s’engage à créer un environnement diversifié et est fière d’être un employeur souscrivant au principe de l’égalité d’accès à l’emploi. Tous les candidats qualifiés seront pris en considération pour ce poste.
En transmettant des renseignements personnels à Siemens Canada limitée ou à ses sociétés affiliées, à ses fournisseurs de services ou à ses agents, vous nous autorisez à recueillir, à utiliser et à divulguer ces renseignements aux fins prévues dans notre Code de protection de la confidentialité, que vous pouvez consulter au
www.siemens.ca
."
"Elastic Engineer - Toronto, ON - Indeed.com","As an Elastic Engineer, you will be responsible for supporting and evolving the Elastic Environment, part of Bell Infrastructure.
You will be working with a team of data engineers to provide an advanced security monitoring solution for Bell. You will be asked to assess the current environment, and provide help to deliver project goals which aims at integrating new data flows and expand the current infrastructure.
Your responsibilities will be to support the architecture team to realize this ambitious new program of work. You will need to be comfortable building both new systems and implementing and integrating with existing open-source and commercial products. Part of your daily work will be to challenge certain concepts and ideas. The goal is to help your peers’ knowledge to evolve and to open their minds to new approaches.
Responsibilities include:
Daily support and evolution of services such as on-prem Elastic Cloud Enterprise and Kafka.
Working with architects / team leads to integrate new data streams and expand the cluster
Liaise with the DevOps team maintaining the underlying hardware and supporting technologies.
Implement automation and monitoring tools with a DevSecOps mindset
Work with the Architecture Team to test new technology and plan the evolution of the Big Data System
Help in the development a log enrichment pipeline capable of functioning at a massive scale.
Write code for data enrichment and normalization and deploying it to Openshift
Configure Kafka and other components for handling data pipeline
Maintain up-to-date documentation on the systems and procedures
Working with architects / team leads to leverage the Elastic Security to enable analysis to prevent, detect, and respond to threats.
Required skills include:
University degree in Computer Science or five years’ equivalent experience in Information Technology
The ideal candidate/s will have recently been involved in the daily support of services such as on-prem Elastic Cloud Enterprise (or Elastic Search on bare-metals) and Kafka.
2 years’ work experience supporting an on-prem Elastic Cloud Enterprise service and the following components: ECE-management layer, Elasticsearch, Kibana
Experience in the elastic security solution of the elastic stack, and knowledge of content building in the same
Experience building large-scale distributed systems
Fluency in Java, Python or a similar language—familiarity with more than one is a plus
Strong knowledge of systems and application design with an understanding of operational and reliability trade-offs
Experience with deployment in Public Cloud
Experience with CI/CD
Skilled thinker, proactive, team-player, highly resourceful and detail-oriented.
Able to track the work by following agile methodologies
Security certification: CISSP, CEH, GSEC, OSCP highly desirable
Location:
Canada. Remote is accepted as long as the candidate is available between 9 AM ECT and 5 PM ECT
Build your career with us.
It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients’ digital journeys and offering our professionals exciting career opportunities.
At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.
Be part of building one of the largest independent technology and business services firms in the world.
Learn more about CGI at www.cgi.com.
No unsolicited agency referrals please.
CGI is an equal opportunity employer. In addition, CGI is committed to providing accommodations for people with disabilities in accordance with provincial legislation. Please let us know if you require a reasonable accommodation due to a disability during any aspect of the recruitment process and we will work with you to address your needs.
Your future duties and responsibilities
Required qualifications to be successful in this role"
"Software Developer - Cambridge, ON - Indeed.com","Job Description
This role can be a fully remote opportunity with hybrid option as well.
As a Software Developer, you will develop world-class software data collection, analysis and reporting solutions for sophisticated automation equipment. You will contribute to new, next generation Machine Intelligence software. This is an exciting new venture; a start-up within a large organization:
Additional Information
SPECIFIC RESPONSIBILITIES:
What will you do?
Interface with users to develop and document software requirements
Develop design concepts, software design and integration of software with electrical, mechanical and control systems
Support other software engineers who deploy the software in specific applications
Program and integrate assignments involve leading-edge software and hardware technologies including interfacing with PLC’s, PC’s, robotics, motion controllers, vision systems, laser, and other automation controllers
Lead and/or contribute to weekly agile meetings reviewing last week’s progress and plan upcoming work.
Provide mentorship to other developers
Perform reviews of concepts, code and team designs and provide constructive feedback
Contribute to software design standards and overall software quality
Maintain the technology stack for assigned software products
Acquired broad product knowledge to be able to collaborate directly with internal and external stakeholders to solve problems and use the products effectively
QUALIFICATIONS:
Education:
A post-secondary engineering or computer science degree, diploma or equivalent with emphasis on software design and development.
Experience:
Strong programming/software development and problem-solving skills
Experience with relational and non-relational databases
Proven expertise in database design and architecture
DBA proficiency for backend development
Well versed in Microsoft SQL Server, ASP.Net, C#, JavaScript
Exposure to React, AngularJS, D3.js, and/or other JavaScript libraries
Familiarity with Agile development practices
Experience with software development in a team environment
Strong data analytics skills
Strong statistical analysis skills
Ability to communicate effectively, both orally and in writing
A self-starter with the ability to work as part of a team in a fast-paced environment with minimal supervision
In addition, the following experiences would be an asset:
Understanding of automation mechanical, electrical and control systems
Knowledge of machine operation, maintenance, service, and troubleshooting.
Experience with PLCs and PLC communication
Understanding and experience with OPC and industrial networks
Exposure and understanding of business intelligence
Travel Required: Up to 10% internationally.
Must be fully vaccinated against COVID-19 with Health Canada-approved vaccines as a condition of employment prior to start date.
Join the Winning Team at ATS Automation
, a great place to automate your future! Take your place among the best in the business, and grow your career with the Global Service division at ATS Automation. Join an environment where a passion for innovation is combined with an uncompromised commitment to quality.
We attract some of the most talented and motivated individuals from a range of fields, with our global offering and growth opportunities as we expand on a global scale.
Why Join ATS?
Be a part of a global organization that is a leader in its industry
Subsidized breakfast and lunch daily; free gourmet beverages - coffee, tea and hot chocolate. Plus, Treat Day is every other week!
Monthly “In-Chair Massage” clinic on-site with a Registered Massage Therapist
Ability to participate in a variety of charitable events
Social Club that offers BBQs and other social events throughout the year
Work with other bright, talented people and discover opportunities for professional growth
And much more!
ATS is in compliance with the Accessibility for Ontarians with Disability Act (AODA), 2005 and will, upon request, assist those who may require specific accommodations due to a personal disability. We would ask that those who require assistance to notify our offices as soon as possible if accommodation is necessary."
"Network Engineer - Engineer, BC - Indeed.com","Location:
Albuquerque, NM
Department:
Information Technologies Systems
Job Summary:
This position reports to the Cisco Network Engineer III and is responsible for the installation, maintenance, and repair Layer 2 and Layer 3 network. This position works with and supports NOC technicians with the maintenance and troubleshooting of the Adtran Network in addition to Juniper, Ciena and Cisco equipment. The Network Engineer also provides systems support to ensure integrity of company operating systems and software. Facilitates operating and software system installations, updates, and upgrades. Troubleshoots system-related problems and issues and works with vendors to resolve technical issues within the network. Installs, configures, and utilizes Software support tools to generate various reports for inner departmental use as well as upper management.
Essential Job Duties and Responsibilities:
Troubleshoot software and hardware problems related to the Sacred Wind Network.
Install, maintain, troubleshoot, and repair all L2/L3 Network Equipment.
Configuration, maintenance, and monitoring of access servers, routers, and Internet servers including DNS, radius, web, LDAP, e-mail, network monitoring, and print servers.
Support Company’s field and NOC technicians with installation and maintenance of Sacred Wind equipment.
Work with the IT and Outside Plant Departments to resolve outages.
Read, interpret, and modify wiring and schematic drawings, analogue and digital circuitry.
Keep detailed plant records for each installed or removed circuit in our Network.
Complete ASR’s, trunk orders, and system diagnostics, as necessary in resolution of customer and Business Office complaints.
Read, analyze, and interpret technical documents, and reports
Perform other duties and responsibilities as required to fulfill job function, or as assigned.
Installs, configures and utilizes Software support tools to generate various reports for inner departmental use as well as upper management.
Provides systems support to ensure integrity of company operating systems and software.
Facilitates operating and software system installations, updates and upgrades.
Troubleshoots system-related problems and issues and works with vendors to resolve technical issues within the network.
Qualifications
High School diploma, or GED required. Some college - an Associate’s Degree preferred.
CCNA preferred or working toward certification or the Juniper Equivalent.
At least 10 years’ experience with advanced software-based digital switch equipment.
At least 10 years’ experience in associated transmission peripheral equipment.
At least 10 years’ experience with telecommunications’ OSP and Radio Systems
Working knowledge and ability to install, maintain, troubleshoot and repair T1, T3, OC-x, Ethernet, radio, DACS, DSL, MUX, and IP networking elements.
Working knowledge of and an ability to operate Juniper, Cisco, Ciena, and Adtran systems installed in production at the Company.
Working knowledge of Linux/Unix/OSL systems.
Competency with creating and editing spread sheets and computer drawings.
Competency with and understanding of 48 volt power plant.
Working knowledge of current IT/telecommunications’ technologies including, but not limited, to WAN, LAN, Soft Switch, Ethernet, TCP/IP, routers, and switches.
Ability to utilize appropriate test equipment, T-Berd, Acterna, Firebird, volt meter, tone generator, etc.
Ability to read, interpret, and modify wiring and schematic drawings, analog and digital circu
Ability to keep detailed technical records of all circuitry in the Central Office.
Knowledge of Method of Procedure (MOP) and plant records system.
Ability to work with best practices and appropriate safety measures, as defined by Company’s Health and Safety Manual and by OSHA.
Knowledge of Telecommunications Standard color code, cable management, grounding, power practices, ESD safety, and battery plant safety.
Ability to work well with other employees and be a team player.
Excellent communication skills, both in the written and spoken word.
Ability to communicate courteously and professionally with customers and employees.
Excellent time management and organizational skills.
Ability to work independently, to think analytically and be a problem solver.
Ability to work accurately under the stress of time constraints and deadlines.
Obtain and maintain a valid driver’s license, have a good driving record, and be insurable under the Company insurance policy.
Ability and a willingness to train and share information and skills with other members of the IT/CO team.
Ability to stoop, bend down, walk on uneven terrain, lift or carry 35 lbs., and periodically move equipment up to 100 lbs. Ability to work, occasionally, in extreme temperatures up to +100 degrees F, and be required to work at heights up to 75 feet.
Must be willing to work off-shift on occasion as demanded by the needs of the Company.
Physical and Other Requirements:
This position may require 8-to-10-hour days, flexible hours, and some weekends.
Physical Requirements
0-24%
25-49%
50-74%
75-100%
Vision: Must be able to read reports and use computer; must be able to read and interpret technical equipment.
X
Hearing: Must be able to hear well enough to
X
communicate w/employees and business contacts.
Standing/Walking
X
Climbing/Stooping/Kneeling
X
Lifting/Pushing/Pulling (40 – 100 lbs.)
X
Operation of Company Vehicle (Travel):
X
Sacred Wind reserves the right to revise and/or change job duties and responsibilities as the need arises. This job description does not constitute a written or implied contract of employment.
This job specification lists the major duties and requirements of the job and is not all-inclusive. Incumbent(s) may be expected to perform job-related duties other than those contained in this document and may be required to have specific job-related knowledge and skills. Job duties and responsibilities are subject to change based on business needs and conditions. Any offer of employment is contingent upon the results of a pre-employment drug test and background check. Sacred Wind complies with the EEO. Sacred Wind Enterprises, Inc. is an Equal Opportunity Employer.
Position will remain open until filled."
"Software Engineer - Markham, ON - Indeed.com","Job Description:
Amfeltec is looking for experienced Software Developers/Engineers.
You will work together with hardware team, developing drivers and application for our hardware products.
Qualifications:
A degree in computer engineering or equivalent
Experience with C/C++ and UNIX and Windows operating system.
Please forward all resumes to hr@amfeltec.com"
"Senior FPGA/ASIC Designers - Saint-Laurent, QC - Indeed.com","Developers of
the Seemingly
Impossible
Main responsibilities
Establish FPGA/ASIC modules' technical specifications in accordance with the system specifications
Work in tandem with verification, software, and hardware team member(s) to deliver new subsystems and features
Digital design and RTL coding (Verilog / SystemVerilog / VHDL)
Establish test plans, simulations environment, and test coverage
Synthesize and elaborate routing and placement constraints
Perform formal verification, lab integration and support
Orthogone Technologies
solves tough engineering challenges by providing turnkey electronics product development and design services including software development, FPGA / ASIC design and verification, and hardware design.
The company also licenses intellectual property for FPGA, ASIC, or ASSP designs in latency-critical networking applications. We help organizations across a variety of verticals, like automotive & transportation, telecom & datacenter, security & surveillance, connected healthcare and aerospace & defense, deliver breakthrough products and innovation.
Our team of A-players engineers integrates seamlessly on projects around the world to deliver innovative products in collaboration with Fortune 500 and fast-moving startups alike. Because we are not afraid to go beyond what is already known, we help create & maintain market leading positions. Join one of the most recognized electronic product development teams of the industry. Orthogone offers competitive remuneration packages.
Requirements
Bachelor degree in Electrical, Computer Engineering or equivalent
Minimum of five (5) years of experience in FPGA / ASIC design
Solid experience in RTL coding (Verilog / VHDL)
Experience in SystemVerilog
Experience with:
FPGA design and simulation tools (ModelSim, Questa, Xilinx Vivado/Vitis, Intel Quartus, etc.)
Laboratory test equipment tools (oscilloscope, logic analyser, etc.)
Scripting for tools and framework automation
Source code management tools (GIT, SVN, etc.)
Excellent ability to adapt in a variety of environments and to use different methodologies
Capacity to communicate ideas and efficient solutions to customer
Supportive attitude towards others and ability to influence them positively
Ability to establish priorities and estimate deadline
Ability to solve problems
Committed, creative, and curious
Good communication skills (oral and written)
Bilingual (French and English)
ASSETS
Master degree in Electrical Engineering or Computer Science
Experience with Matlab and digital signal processing algorithms
Experience with communication protocols (e.g. Ethernet, TCP/IP, PCIe, etc.)
To apply, send your resume to cv@orthogone.com"
"Co-op/Student - Electrical/Computer Systems Engineer - Altona, MB - Indeed.com","Availability: Co-op/Student
At Elmer’s we’ve been equipping farmers with innovative solutions for 40 years. Owning and operating our own farm we understand what farmers need and want out of our products and our company. We strive to provide our customers with products that will effectively handle even the toughest environments. Harvest after harvest, our mission is to produce world-class farm equipment for the needs of the progressive farmer.
We’re excited about the innovation required to aid in the production of the crops farmers grow to feed the world, and we currently have an open opportunity for you as an
Electrical/Computer Systems Engineer
.
We’re Looking For
A Bachelor’s degree (completed or in progress) in Computer Engineering or Computer Science (other educational qualifications with embedded systems software development experience may also be considered)
Proven ability to learn quickly and research independently – the successful candidate will confidently drive projects forward without prompting
Strong interpersonal skills, the ability to communicate clearly, and a collaborative mindset
Experience in software development for microprocessor based embedded systems
Good working knowledge of CAN-based systems and protocols such as J1939 and ISOBUS
The ability to read electronics schematics
Passion for achieving high-level objectives through exceptional project planning and execution
The ability to create mobile applications that communicate with embedded control systems
Experience with prototype design and storyboard development for solutions
Experience developing mobile applications with Android, iOS, Windows Phone
Programming Language Proficiency: C#, Java, Java Script, ObjectiveC, HTML5, PHP, CSS
Strong code analysis and troubleshooting skills
In This Cutting Edge Role You Will
Create and implement system designs relating to hardware and software
Design, code and debug applications in various software languages
Code analysis, Software analysis, software review, requirement analysis, code metrics identification, analysis of system risk, analysis of software reliability
Support, sustain and document software functionality
Work with software modeling & simulation
Create opportunities for new intellectual property
Support field installation of first run product
Apply various technologies centered around the Internet of Things technologies
Develop mobile applications for Android and iOS.
Develop and document coding practices, coding standards, and procedures
Create user guides, design documentation, and proposals
We offer a competitive wage, clean & safe workplace, and an excellent benefits package & pension plan.
Our facility is conveniently situated near Altona, MB – 36km east of Winkler, and only 100km south of Winnipeg. Altona is an attractive, caring and progressive community with abundant cultural, recreational and educational opportunities for all ages. With amenities and opportunities that rival much larger municipalities, there’s no better place to be.
For more information and to apply, please visit the careers section of our website, or submit your resume in confidence to
hr@elmersmfg.com"
"R&D Engineer - London, ON - Indeed.com","Job Summary
LTS is seeking a motivated R&D engineer to join our company and play a key role on our growing team. You will be actively involved in design, development and integration of industrial digitalization solutions/software, advancing our core technology and working with customers for service projects. We are looking for highly motivated individuals who are ambitious, enthusiastic, creative and enjoy solving challenging engineering problems.
To be a successfully applicant, you should be able to drive the solution development and release management processes, assisting with the overall maturity of the product (software & system) development lifecycle and ensure that deliverables comply with quality standards and are completed on time.
Major Responsibilities
Digitalization Solution (software & system)
Act as Technical Product Expert: continuously learn digital twinning platform capabilities in-depth and use that knowledge to provide real-time expert guidance on its applicability to customer use cases.
Support Sales Efforts: perform technical qualification and solutions consulting for prospects by developing a thorough understanding of their business and technical requirements.
Solution Development & Presentation: combine your technical breadth, utilize available tools and your creative mind to create and present solution to the industry and/or individual customers.
Integration and Support for Low-Code Platform
Deliver efficient solutions using the low-code platform: analyze business, systems, and workflow processes and implement using low-code development tools (or equivalent).
Providing internal and customer-facing support for related products and solutions.
Provide ongoing maintenance of delivered functionality as needed.
Data Visualization
Design and develop visual interface and content that fit in the application of and/or customer requirement.
Transforming data sets, quantitative and qualitative analysis into compelling visuals.
Provide visual, technical and editorial guidance.
Requirements
Ph.D. degree in Electrical and Computer Engineering, Mechanical and Materials Engineering, Computer Science or any related field (multidisciplinary background is highly preferred).
Being self motivated.
Creative vision, a passion for learning and willingness to adopt and share new ideas.
Proficiency in one or more programming languages (C/C++, Java, JavaScript, Python, etc.).
Hands-on programming experience using relevant languages.
A comprehensive understanding of digital twinning, discrete event simulations, digitalization and data visualization.
Experience of using programming tools and hardware (sensors, microcontroller, etc.) to solve real-world problems.
Strong written and verbal communication and interpersonal skills.
The ability to prioritize activities and deliver projects on time.
Job Type: Full-time
Benefits:
Casual dress
Dental care
Extended health care
On-site parking
Paid time off
Vision care
Schedule:
Monday to Friday
COVID-19 considerations:
All customers/visitors are required to wear a mask.
Education:
Doctoral Degree (required)"
