Title,Description
"Nurse-THPS - Ottawa, ON - Indeed.com","Location:
Ottawa, ON, CA
Req ID: 13842
Jobs by Category: Health
Job Function: Health Solutions
Status: Casual
Schedule: Regular
Description
Status: Casual
Schedule:
Description
Location: Ottawa, Ontario
Schedule: Monday to Friday, day shifts
Create awesome experiences for our customers.
Who is TELUS Health?
TELUS Health is empowering every person to live their healthiest life. Guided by our vision, we are leveraging the power of our leading edge technology and focusing on the uniqueness of each individual to create the future of health.
Simply put, our team members across the country are united by their commitment to continuously innovating to make healthcare more accessible and deliver improved health experiences for everyone.
Do you share our passion?
Let’s create a healthier future, together
Join our team:
TELUS Health, Care Centers is looking for a Nurse to join our dynamic Ottawa team. Nurses are responsible for the provision of high quality care services for the TELUS Executive Health and Occupational programs. Within our Executive and Occupational Health programs, you will be meeting with clients one-on-one to provide a variety of general health advice with an emphasis of prevention and vaccination recommendations. With regard to immunizations, you will be responsible to review each client’s medical history and make recommendations for routine immunizations.
Here’s the impact you’ll make and what we’ll accomplish together:
The successful candidate will work throughout our Executive and Occupational programs, providing direct nursing support and services to clients and the interdisciplinary team. Teamwork, flexibility and a can-do attitude will be key to the success of the operation.
Here’s how:
Working as a part of the Health team the team member will be providing services for the clients within the clinic and the management of the day-to-day medical activities for ongoing wellness and health programs.
Responsibilities include:
Provide quality, safe, compassionate care to all clients
Communicate and work effectively with all other members of the interdisciplinary team.
Exceptional organizational and interpersonal skills
Positive and results focused attitude
Ability to take initiative and demonstrate proactive/ preventative approaches to care
Fit-for-work examinations
Management of the medical surveillance program
Collection and analysis of samples (blood and urine)
Perform vision, lung function and audiograms
Support the development & implementation of the health and wellbeing program elements
Routine Immunizations
Qualifications
You’re the missing piece of the puzzle with:
Licensed in Ontario (Registered or Practical Nurse)
CPR certification up to date
Minimum of 2 years nursing experience (private or public sector)
Great-to-haves:
Certified Audiometric Technician
Certified Spirometry Technician
Travel Health experience
Drug and Alcohol testing"
"Auxiliary nurse RPA Jazz Drummondville - Drummondville, QC - Indeed.com","Several positions available: day / evening / night. Countless advantages, it's worth a look!
POSITION DESCRIPTION:
Provide care to independent and semi-autonomous residents in collaboration with the nurse and the person in charge of health services.
ROLE AND GENERAL RESPONSIBILITIES:
Adhere to standards and legislation in accordance with private seniors' home certification and the code of ethics
Administer medication in accordance with safety principles and the codes of ethics
Assist in evaluating and adjusting therapeutic nursing plans (TNPs) for residents requiring special clinical care
Contribute to the development of a residentsè action plan based on their observations
Create and maintain metuculous notes in related Dossiers in accordance with the requirements of the Ordre des Infirmiers et Infirmières du Québec (OIIQ)
Create and maintain metuculous notes in the residents Dossier in accordance with the requirements of the Ordre des Infirmiers et Infirmières auxiliaires du Québec (OIIAQ)
Ensure good communication as well as medical follow-ups with the vested parties
Help maintain the relationship of trust with residents' family and friends as well as with various stakeholders (CLSC, CSSS, etc.)
Identify and transmit the needs of the service department
Provide a range of nursing care and treatments in order to maintain and restore residents health and to help prevent illness
Provide healthcare and wellness services to maintain and restore residents health and to help prevent illness
Respond to all emergency situations
While interacting with them, report any noticeable changes in a residents mental or physical health to the on-call nurse.
EXPERIENCE AND QUALIFICATIONS:
A proffesional studies dimploma (DEP) in health care assistance, nursing
Member of the OIIAQ
BENEFITS:
Hiring bonus
Possibility of advancement
Applicable government premium in effect
'Sharing Success' Bonus Program
Referral Program
Corporate discounts
Free meals
Competitive base salary
Free parking
Uniform provided
Access to internal professional services
massage therapy
physiotherapy
aesthetic care
Group insurance
Sick days and time off for family obligations
Floating days off
Social leave
Employee Assistance Program
On-site blood test service
Vacation
Access to common areas
bistro
billiard
game console
gym
swimming pool
bowling alley
Social Club activities, gifts and substantial discounts
Human management approach
Ongoing training
Consistent schedule
Career Opportunity
Existing work tools
Car wash service
On-site parking
Terrace and picnic area for employees
A welcoming and tight-knit team!
JOB STATUS:
Several choices available
JOB SCHEDULE:
Multiple schedules available"
"Registered Nurse-TELUS Health - Full-time (Edmonton) - Edmonton, AB - Indeed.com","Location:
Edmonton, AB, CA
Req ID: 5125
Jobs by Category: Health
Job Function: Health Solutions
Status: Full Time
Schedule: Regular
Description
Status: Regular Full-time
Who is TELUS Health?
TELUS Health is empowering every person to live their healthiest life. Guided by our vision, we are leveraging the power of our leading edge technology and focusing on the uniqueness of each individual to create the future of health.
Simply put, our team members across the country are united by their commitment to continuously innovating to make healthcare more accessible and deliver improved health experiences for everyone.
Do you share our passion?
Let’s create a healthier future, together
Join our team:
TELUS Health, Care Centers is looking for a Registered Nurse (RN) to join our dynamic Calgary team. Registered Nurses are responsible for the provision of high quality care services for the TELUS Health Family Health, Executive, Occupational and Travel Health Programs. Within our Executive, Occupation and Travel Health programs, you will be meeting with clients one-on-one to provide a variety of counselling, vaccinations, medications and general health advice to travelers going abroad. With regard to immunizations, you will be responsible to review each client’s medical history and make recommendations for safe travel.
Within our Family Health program, you will be responsible for the assessment or care needs upon intake, triaging acute concerns, navigating appropriate services, disease prevention and health promotion as well as chronic and complex disease care and management.
Here’s the impact you’ll make and what we’ll accomplish together:
The successful candidate will work throughout all our programs, providing direct nursing support and services to clients and the interdisciplinary team as well as help coordinate and manage their care. At TELUS Health, RN’s provide safe, competent and compassionate care across the lifespan and work very closely with the interdisciplinary team to ensure the highest quality of care.
Here’s how:
As part of the team you’ll be responsible for the provision of family health nursing care to the population of clients seen in the family practice service and requires a thorough knowledge of primary care nursing within the scope of CARNA. Areas of focus include: assessing care needs on intake, triage and navigation to appropriate services, disease prevention and health promotion, travel medicine, chronic and complex disease care management, collaboration with the physician and the interdisciplinary team. Responsibilities include:
Individual patient assessment and treatment- health assessment, immunizations, procedures, regular patient follow up to promote health and counsel on disease prevention
Triaging acute concerns and providing anticipatory guidance as needed
Develop, assess, implement and evaluate care plans for all consultations
In depth knowledge of current guidelines, practice standards and medical directives
Provide quality, safe, compassionate care to all clients
Communicate and work effectively with all other members of the interdisciplinary team.
Exceptional organizational and interpersonal skills
Positive and results focused attitude
Ability to take initiative and demonstrate proactive/ preventative approaches to care
Qualifications
You’re the missing piece of the puzzle with:
BN or BScN - Required
Current CARNA license in good standing
CPR certification up to date
Minimum of 3 years nursing experience (private or public sector)
Great-to-haves:
ACLS certification
Previous experience in primary care or acute care is an asset
Computer skills are an asset (EMR, Power Point, Excel, Word)"
"Registered Nurse - Hamilton, ON - Indeed.com","Wanted! 5 star Nurses interested in working in a five star clinic. Strato Labs is expanding to the Hamilton area! Full and part time positions available. Must be fully vaccinated against COVID-19 and have a G license for access to the company vehicle. Come grow with us!
Reference ID: Strato Hamilton Nurse
Contract length: 12 months
Part-time hours: 20-60 per week
Expected start date: 2021-11-22
Job Types: Full-time, Part-time, Contract
Salary: $1,120.00 per week
Benefits:
Company car
Company events
Discounted or free food
Wellness program
Schedule:
10 hour shift
8 hour shift
Day shift
Holidays
Monday to Friday
Night shift
On call
Weekend availability
COVID-19 considerations:
Yes
Education:
Bachelor's Degree (preferred)
Licence/Certification:
Registered Nurse (RN) License (preferred)
Work remotely:
No"
"Registered Nurse - Sarnia, ON - Indeed.com","Bargaining Unit:
ONA
Competition #:
ONA21-099
Job Type:
Regular Part Time
Department:
Intensive Care Unit
Hours of Work:
Variable
Date Posted:
November 18, 2021
Job Number:
J1121-0706
Number of Positions:
1
Length of Position:
Permanent
Closing Date:
November 25, 2021
Bluewater Health, with locations in Sarnia and Petrolia, cares for the residents of Sarnia-Lambton. With close to 2,500 staff, Professional Staff and volunteers, Bluewater Health provides an array of specialized acute, complex continuing care, allied health and ambulatory care services. State-of-the-art facilities, which opened in 2010, contribute to Bluewater Health’s Mission:
We create exemplary healthcare experiences with patients and families every time.
For more information about Bluewater Health, visit www.bluewaterhealth.ca or follow us on Facebook and YouTube.
The successful applicant will work in compliance with all relevant and applicable legislation and Hospital Policies and Procedures, will practice the Bluewater Health Standards of Performance Excellence and will fulfill their role within the Attendance Support Program parameters. The successful applicant will also possess effective communication and interpersonal skills, will have the ability to work independently and as part of a team, and will have strong attention to detail and accuracy.
Each member of Bluewater Health is called to embrace patient and family-centred care in its fullest form. This includes using techniques and strategies to communicate “I care and I respect you,” providing information in a way patients and families can understand, listening to patients and families to learn what an exemplary healthcare experience means to them, and seeking their perspective throughout their stay and during improvement initiatives.
Nursing is a self-regulated profession governed through the College. A nurse is responsible for practicing in accordance with the standards of the profession, and for keeping current and competent throughout his/her nursing career (College of Nurses of Ontario, 2009).
Qualifications:
Current Certificate of Competence from the College of Nurses of Ontario required
Current certification in Basic Cardiac Care or equivalent required
Current IV Therapy Certification required
Current ACLS certification required
Current Ventilator Care certification preferred (required within six (6) months)
Current Hemodynamic Monitoring certification preferred (required within six (6) months)
Current Epidural Care certification preferred (required within six (6) months)
Current Continuous Renal Replacement Therapy certification preferred (required after two (2) years)
Post graduate education in Critical Care preferred
BScN preferred
Canadian Nurses Association (CNA) Certification in Critical Care Nursing preferred
Skill, Ability and Experience:
Ability to apply critical thinking, problem solving, decision making, conflict resolution and prioritization skills to nursing duties required
Basic proficiency in the use of computers required
6 months recent experience in Critical Care Nursing and/or 3 to 5 years recent experience in Acute Adult nursing required
Experience with electronic nursing documentation preferred
Principle Duties:
Provides appropriate nursing care to Intensive Care patients within critical high stress situations and varying environments
Participates in unit/department and Hospital Quality Improvement initiatives
Completes continuing education requirements as necessary
Acts as a coach, mentor, resource and positive role model for new staff and students
Other related duties as assigned
Selection will be made on the basis of skill, ability, experience and qualifications as per Article 10.07 of the ONA Collective Agreement
Bluewater Health is an equal opportunity employer and we will accommodate your needs under the Ontario Human Rights Code. Upon individual request, hiring processes will be modified to remove barriers to accommodate those with disabilities. If you require any accommodations to fully and fairly participate in the application, interview or selection processes, please contact the Human Resources Department at
(519) 464-4400 extension 8391
or humanresources@bluewaterhealth.ca and we will endeavor to provide a suitable accommodation in a manner that takes into account your accessibility needs.
We thank you in advance for your interest in Bluewater Health, however, only those applicants selected for an interview will be contacted. In accordance with Bluewater Health policy, offers of employment to prospective employees are conditional upon the successful completion and disclosure of a Police Records/Vulnerable Sector Check.
The material contained herein is provided for informational purposes only. All open jobs offered by Bluewater Health on this recruitment system are subject to specific job skill requirements. The job skill requirements, qualifications, and preferred experience are determined by a subsidiary, office or department within Bluewater Health which is offering the position, and all positions are subject to local prevailing employment laws and restrictions. This would include immigration laws pertaining to work authorization requirements and any other applicable government permissions or compliance. The materials on this site are provided without warranties of any kind, either expressed or implied, including but not limited to warranties regarding the accuracy or completeness of the information contained on this site or in any referenced links. While Bluewater Health attempts to update this site on a timely basis, the information is effective only as of the time and date of posting. Strict confidentiality will be observed at all times. Bluewater Health is an equal opportunity employer. The information on this site is for information purposes only and is not intended to be relied upon with legal consequence.
By submitting my job application I acknowledge and agree that as a condition of employment I will be required to submit proof of COVID-19 vaccination to the Hospital’s Occupational Health and Safety department. In the event that I am unable to be vaccinated as a result of a ground protected under the Human Rights Code, I may submit a written explanation of the ground and any supporting documentation to determine if I am exempt from this requirement to Human Resources who may then follow up with me for further information if necessary."
"Fertility Nurse - Stoney Creek, ON - Indeed.com","This is a very unique and rewarding nursing position for an enthusiastic, dedicated and compassionate RN or RPN looking to begin a career in Fertility Nursing at an established and expanding fertility clinic centrally located in Stoney Creek.
No fertility nursing experience required, although welcomed. Complete and comprehensive training is provided.
We are looking for a nurse to join a dynamic, professional and fun group of HCP's in a dedicated effort to support our valued patients in their important journey, where our team is well known for their hands-on compassionate approach to patient care.
The position demands strength in patient education and psychosocial support along with the acquisition of unique technical skills particular to fertility nursing. Interpersonal and leadership attributes along with strong verbal and written communication skills are a must
Hours of commitment will be Monday – Friday 7 am – 3 pm with monthly scheduled weekend coverage (morning coverage).
Apply on indeed with
resume and cover letter.
Unfortunately we cannot take resumes in person at this time so please do not drop off in person.
Job Type / Category
Full Time RN/RPN
Required Education, Skills and Qualifications
An aptitude and passion for learning unique skills for hands-on patient care
Registration in good standing with the College of Nurses of Ontario
Yearly membership with RNAO or RPNAO
Current or willingness to obtain BCLS/ACLS
Recent experience in venipuncture (preferred)
Proven ability to work effectively within a multidisciplinary team environment
Computer / technological experience preferred in this state of the art clinic
About the Clinic
Niagara Fertility is a private clinic located at 35 Upper Centennial Pkwy, Unit #3D
Stoney Creek, ON. We are committed to helping patients become pregnant and create families while maintaining health and well-being. Niagara Fertility is a satellite monitoring clinic of Trio Fertility, located in downtown Toronto. Patients of Trio have access to monitoring in the Niagara region while pursuing IVF
Job Types: Full-time, Permanent
Schedule:
8 hour shift
Work remotely:
No"
"Registered Nurse Haemodialysis Church - Toronto, ON - Indeed.com","Position Profile:
Humber River Hospital is committed to revolutionizing patient care for our diverse community. At our new facility, North America’s first fully digital hospital, the future is very exciting for our people
and programs. And we’re looking for exceptional individuals to join our great team: people who share our passion to deliver excellent, patient-focused, expert care. The Hospital is formally affiliated with both the University of Toronto and Queen’s University.
As an integral team member of the Nephrology Program, there is an opportunity to participate within the Program by utilizing a chronic disease prevention and management (CDPM) and self-management approach and philosophy, as the Program continues to achieve the deliverables under the Ontario Renal Network, and strives to achieve the targets of the Ontario Renal Plan II:
Empower and support patients to be active in their care
Integrate patient care throughout the kidney care journey
Improve patient access to kidney care
Right now we are looking for a
Registered Nurses
to work with our
Haemodialysis Unit
.
Reporting Relationship:
Manager, Home Dialysis Program, Transition Care Unit, & Haemodialysis (Church Site)
Hiring Salary Range:
$33.23 - $47.57
Hours of work:
Site open 7 days per week, must be available to work Day/Evening 8 & 12 hour shifts
Location:
Church Site
Union:
ONA
Position Responsibilities:
All aspects of care for patients receiving hemodialysis with a primary nursing focus
Providing education and follow-up to all hemodialysis patients
Providing primary care to assigned patient that includes but not limited to ensuring plan of care is developed in collaboration with multidisciplinary team, updated and communicated with team in a timely manner
Qualifications:
Current RN registration with the College of Nurses of Ontario
BCLS certification upon hire to show proof of valid current certification (Registered Nurses currently employed by HRH are exempted).
BScN preferred
Minimum two year acute Medical / Surgical experience, required.
Minimum two years recent Hemodialysis experience is required.
Nephrology courses 1 to 4 completed or commitment to complete within an agreed period of time.
Certification in Nephrology an asset or commitment to complete within an agreed period of time
Patient assessment course and demonstrated good patient assessment skills
Experience in peritoneal dialysis an asset
Demonstrated good interpersonal and communication skills with an ability to work with a multidisciplinary team, including other health team members, patients, family members and visitors
Demonstrated good patient/family teaching skills
Ability to prioritize and complete assignments in a reasonable length of time:
Demonstrated sound judgement, good observation and patient assessment skills, tact and empathy;
Demonstrated ability to perform appropriately in emergency situations;
Proven ability to perform a leadership/preceptorship role;
Physically capable of performing the essential duties of the position;
Demonstrated understanding of and commitment to Humber's comprehensive safety programs and practices, including staff patient, and environmental safety, and participation in regular in-service education in this area; and
Ability to be flexible and effectively work in a busy environment with changing priorities and tight deadlines
Demonstrated initiative in improving work skills and processes
Demonstrate competency in a variety of skills including (but not limited to), intramuscular injections, intravenous therapy initiation and discontinuation, wound care dressing, medication administration, etc.
Demonstrated proficiency in initiating I.V therapy, I.V push meds and venipuncture
Basic computer skills and Meditech experience is an asset
Knowledge of a second language as asset
On call duties as assigned
Excellent attendance and discipline free record required.
Why Humber? Why Now?
Humber River Hospital is on an exciting transformation journey of redefining patient care as we leverage the most advanced technologies to enhance all aspects of delivering high-quality, safe care. We continue to build a people-centered workplace with excellent staff and physician engagement by hiring passionate, diverse and inclusive healthcare professionals. People who care and live our values of
Compassion
,
Professionalism
and
Respect
. People who are committed to making a positive difference.
We are a
Studer Group
hospital, focused on building our evidence-based leadership practice and hardwiring a culture that WOWs.
Why? Because at Humber River Hospital, we know it’s our people and our ability to innovate that allows us to consistently deliver a great patient experience and the best quality outcomes. After all, we are the hospital that believes
exceptional care...healthier community
.
This description has been designed to indicate the general nature and level of work performed by the employee within this position. However, the actual responsibilities, duties, qualifications and experience may vary. Employee may perform other related duties as required to meet the ongoing needs of the organization. Information contained in this job posting/description is subject to change.
Humber River Hospital is committed to inclusion and diversity. We believe that diversity drives our culture of innovation. By bringing together a variety of different perspectives, it fuels our creative thinking, generates new ideas and creates solutions designed to address tomorrow's healthcare challenges today. We take pride in providing professional development and career advancement opportunities for our employees including minorities, women, veterans and individuals with physical and developmental disabilities. We also provide accommodation to applicants and all of our employees - from hire to retire.
Let us know what we can do to help you be successful during your recruitment experience at Humber River Hospital."
"Licensed Practical Nurse - Rankin Inlet, NU - Indeed.com","Community:
Rankin Inlet
Reference number:
10-03-320-130AH
Type of employment:
Indeterminate
Union Status:
This position is included in the Nunavut Employees Union
Salary:
$78,761 - $89,408
Northern Allowance:
$18,517
Subsidized staff housing available
This is a Highly Sensitive Position and a satisfactory Criminal Record Check, along with a clear Vulnerable Sector Check is required.
This employment opportunity is open to all applicants.
The Licensed Practical Nurse (LPN) is a member of the multidisciplinary team working in partnership with registered nurses, physicians, allied health professionals and other members of the team to provide health care to clients with actual or potential health problems in a variety of practice settings.
The LPN plans and performs client interventions and evaluates client outcomes following the Standards of Practice adopted by the Government of Nunavut with the intention of regaining and maintaining client health. Additionally, the LPN observes, assesses, monitors and documents all findings and care provided as per the Government of Nunavut Documentation Standards and Guidelines.
The LPN is a member of a multi-disciplinary team providing direct nursing care, health promotion and prevention to clients. LPNs are responsible for providing quality nursing care within the scope of practice as outlined by the professional licensing body and the Government of Nunavut. Current BCLS and annual recertification is a requirement.
The knowledge, skills, and abilities required for this job are
usually
obtained through an LPN Diploma from a recognized institution for practical nursing education and eligibility for registration and licensing as an LPN in Nunavut. Current BCLS and annual recertification is also a requirement for this position. Possession of WHIMS training and current Immunization Certification or willingness to complete within one month of hire is also a requirement for this position.
Assets for this position are Non-Violent Crisis Intervention, Critical Incident Stress Debriefing, Cross Cultural training, and Back Injury Prevention Program.
The Official Languages of Nunavut are Inuktitut (Inuinnaqtun), English and French. Fluency in more than one of Nunavut’s official languages is an asset.
Equivalencies that consist of an acceptable combination of education, experience, knowledge, skills and abilities may be considered.
An Eligibility List may be created for all future vacancies.
If you are interested in applying for this job, please email your cover letter and resume to
nunavutnurses@gov.nu.ca
. Please include the REFERENCE # in the subject line of your email.
The Government of Nunavut is committed to creating a more representative workforce so it can better understand and serve the needs of Nunavummiut. Priority will be given to Nunavut Inuit. Candidates must clearly identify their eligibility in order to receive priority consideration under the Nunavut Priority Hiring Policy.
Employment in some positions requires an acceptable criminal record check. Possession of a criminal record will not necessarily disqualify candidates from further consideration.
Applicants may submit their resume in the Official Language of their choice.
Eligibility list may be created to fill future vacancies.
Job descriptions may be obtained by fax, email or on the website.
Only those candidates selected for an interview will be contacted.
Contact:
Department of Health (Iqaluit)
Government of Nunavut
P.O. Box 1000, Station 1000
Iqaluit, Nunavut X0A 0H0
Phone:
867-975-8600 ext.5004
Toll free: 1-800-663-5738
Fax: 867-975-8609
Email: NunavutNurses@gov.nu.ca
www.gov.nu.ca/human-resources"
"Registered Nurse - Victoria, BC - Indeed.com","Job Description:
In accordance with the Vision, Purpose, and Values, and strategic direction of Island Health (Vancouver Island Health Authority), patient and staff safety is a priority and a responsibility shared by everyone; as such, the requirement to continuously improve quality and safety is inherent in all aspects of this position.
Reports to the Nurse Manager, Department Head, or designate. Plans and provides direct nursing care to patients/residents in the hospital or in the community in accordance with the unit/program philosophy, competency guidelines, policies, and the BC College of Nurses and Midwives Standards for Nursing Practice in British Columbia.
QUALIFICATIONS:
Education, Training And Experience
Registration with BC College of Nurses and Midwives as a practicing RN registrant. Up to two (2) years recent, related experience depending on clinical setting.
Skills And Abilities
Ability to communicate effectively both verbally and in writing.
Demonstrated ability to organize assigned workload and set priorities.
Demonstrated ability to deal effectively with a variety of internal and external contacts, including co-workers, physicians, community agency representatives, patients, residents and families.
Physical ability to perform the duties of the position.
Job Requirements:
https://jd.viha.ca/JD1014.pdf"
"Licensed Practical Nurse- Part-Time Evenings & Full-Time Days and Nights Available! - Kelowna, BC - Indeed.com","Licensed Practical Nurse- Part Time or Full Time Positions Available!
Part Time
Evenings- 1800- 2300
Evenings- 1700-2200
Full Time
Days- 0630-1830, 4 on, 4 off
Nights- 1830-0630 4 on, 4 off
Staff Accommodation is available if required. Reach out for further details!
We are so excited to open up the newest Community for Memory Care and Assisted Living in the Okanagan, The Vineyards Residence! We have now reached the point that we get the opportunity to build our team, and open the residence!
We hope you will join us in making a difference in the Residents’ every day live! We strive for the best for our Residents, their families and our Team Members. We are so excited to share our vision, mission, and property with future residents and the community at large. But first, we need to start with our Team!!
If you enjoy working in a positive environment and commit to always making the residents’ days full of happiness, joy and laughter - then we want you to come and work with us! We want team members who will always go out of their way to ensure the residents have a sense of purpose and belonging on a day-to-day basis, and we especially value candidates who are always thinking outside of the box; we strive to provide the best care for all Residents, and we want you to be a part of as it!
We are currently looking to hire our start up team for The Vineyards Residence with Health Care Aides. Our starting wage range is from $32.00/hr with Years of Service Wage Leveling as well.
All offers of employment are subject to a Criminal Background Check. We thank all those who apply; however only candidates under consideration will be contacted.
Approximate start date:
As soon as possible
Job Type
: Full Time
Salary:
$32.00 - $34.00 per hour
Benefits:
Dental care
Extended health care
Paid time off
RRSP Match Program
Staff Meals Provided
Schedule:
12 hour shift,
4 on, 4 off Rotation
Experience:
Working with Residents with Dementia/ Alzheimer’s (preferred)
Equivalent combination of Grade 12 graduation, plus graduation from Practical Nurse Program that is recognized, and licensed with a current status with BCCNP , that has a dementia component included or other training and experience
Licensee/Certification:
Current Practicing Nursing License with BCCNP in Good Standings
Criminal Record Check, working with Vulnerable Adults
WHIMIS
First Aid Certificate (current)
Other related certificates also considered
Job Duties:
Medication administration
Supervision of Medication Assistance by designated HCA’s
Encouraging our residents to maintain as much as their independence as possible
Assistance with dinging service and meal delivery
Ensure adequate nutrition is met
Complete required electronic documentation for accuracy of residents needs were met
Provides companionship and always have engagement with residents throughout shift
Performing clerical duties at times, including staffing and delegating tasks
Demonstrating knowledge of safety for residents and team members
Performs other related duties as assigned
COVID-19 precaution(s)
:
Remote interview process
Personal protective equipment provided or required
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place"
