,Title,Description
0,"software developer - Abbotsford, BC - Indeed.com","or equivalent experience
Work Setting
Startup company
Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Assist in the collection and documentation of user's requirements
Assist in the development of logical and physical specifications
Research and evaluate a variety of software products
Program special effects software for film and video applications
Maintain existing computer programs by making modifications as required
Write, modify, integrate and test software code for e-commerce and other Internet applications
Program animation software to predefined specifications for interactive CDs, DVDs, video game cartridges and Internet-based applications
Security and Safety
Bondable
Criminal record check
Own Tools/Equipment
Internet access
Cellular phone
Transportation/Travel Information
Own transportation
Valid driver's licence
Public transportation is available
Work Conditions and Physical Capabilities
Fast-paced environment
Attention to detail
Sitting
Tight deadlines
Workplace information
Remote work available
Benefits
Medical Benefits
Dental Benefits
Group Insurance Benefits
Life Insurance Benefits
Vision Care Benefits
Other Benefits"
1,"Software Developer (Entry Level) - Toronto, ON - Indeed.com","Konrad
Konrad is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.
Software Developer (Entry Level)
As an entry level Software Developer you'll be tasked with working on both mobile and web applications. Working within the software development team, your duties will require you to assist in the development of consumer and enterprise applications. This role is ideal for entry level developers who feel confident in their technical ability and want to be a part of the highly-skilled development team at Konrad.
Responsibilities
Write maintainable, testable, and performant software in collaboration with our world class team
Participate in code review and performing extensive testing to ensure high quality software
Research new technology and tools and share those findings with the team
Communicate clearly and effectively with all members of our team
Successful candidates will have
Graduated from a Computer Science, Software Engineering, or similar program in a University or College
Strong command of important programming and computer science concepts
Ability to understand a web application and how it's built from end-to-end
Fundamental knowledge of core web principals (HTTP, the DOM, SSL, web servers)
Fluency with databases (schema design, querying, optimization etc.)
Great interpersonal skills - we work very closely together as a team and require a lot of communication
Proactive personality and a desire to deliver your best work.
Perks and Benefits
Mentorship Program
Socials, Outings & Retreats
Culture of Learning & Development
Annual tech & travel allowance
Comprehensive Health & Wellness Benefits Package
Retirement Planning
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs
Bonus Points:
Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!
Konrad is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted."
2,Software Developer Internship - May 2022 - Remote - Indeed.com,"Replicon is looking for Software Developer Interns who are passionate about coding and technology to work on our Time Intelligence platform. Our SaaS application is used globally by thousands of customers and millions of users. We want to build out our team with more engineers who are also passionate about building great applications and care about giving our customers a great user experience.
What you need to bring:
Aptitude in software development fundamentals
Previous experience with web development or a strong desire to ramp up quickly on it (React, Node JS),
A pragmatic viewpoint to deliver the simplest technical solution that meets the requirements, and not to use technology for the sake of it
An openness to write code that conforms to the best practices and policies of a large software organization, not just your personal preferences
A desire to take ownership and pride in everything you do and stand by what you deliver
Readiness to hit the ground running – you may not know how to solve everything right off the bat, but you will put in the time and effort to understand so that you can
Duration:
The internship will be for a period of 12 or 16 months.
Educational Requirements:
Co-op or internship program enrollment is mandatory
Currently enrolled in a bachelor’s degree in Computer Science, Software Engineering, or related field
What you will learn:
Coding across the entire stack – UI, Services and Data
Unit testing, test-driven development and test automation engineering in a real-world SaaS environment
Infrastructure as a Service (IaaS) using Amazon Web Services (AWS)
A technology toolbelt that includes leading edge languages and tools with knowledge on when and why to use them
How to work as an individual contributor on a large software team
How an SDLC (software development life cycle) works in industry and scales to large teams releasing multiple interrelated software component multiple times per day
How to get your code into production to be used by real customers
How to adopt industry best practices in all of your projects - TDD (test driven development), CI/CD (continuous integration and continuous delivery), IaC (Infrastructure as Code), linting, static code analysis
Software and system architecture best practices, such as a microservice architecture and serverless computing, that allows a complex business application to scale to millions of users in a cost-effective manner
How we work:
An agile development environment delivering software features to production every day
Team lunches, team events, flexible work environment
A relentless desire to continuously improve
About Replicon:
Replicon, the Time Intelligence company, is a pioneer in the industry offering award-winning cloud-based solutions for enterprise time, project and resource management.
Replicon’s innovative Polaris product line introduces the world’s first self-driving solutions for Professional Services Automation and Project Portfolio Management, helping project-driven enterprises deliver increased revenue and profitability. A team of over 500 employees supports thousands of customers around the globe including PwC, Siemens, FedEx, NTT, Expedia, Moody’s, SAS, Facebook, and Hyatt.
Job Type: Full-time"
3,Software Developer - Canada - Indeed.com,"Descartes Unites the People and Technology that Move the World
The need for efficient, secure, and agile supply chains and logistics operations has become ever more critical and complex. By combining innovative technology, powerful trade intelligence and the reach of our network, Descartes helps get goods, information, transportation assets, and people where they’re needed, when they’re needed.
We’re one of the most broadly deployed logistics and supply chain technology companies in the world. More than 22,000 customers around the globe use our cloud-based solutions to transform the way they move inventory and information to enhance productivity, better serve customers, thrive competitively, keep pace with evolving regulations, and respond to rapidly changing market conditions. Descartes is publicly traded (Nasdaq:DSGX, TSX:DSG) with headquarters in Waterloo, Ontario, Canada, and offices and partners around the world. With record financial performance for more than 16 years, we lead the industry in innovation investment. Every day, logistics service providers, manufacturers, retailers, distributors, and other logistics-intensive businesses of all sizes rely on our scale, stability, and comprehensive solution footprint to move what’s most important to them. Learn more at www.descartes.com.
We’re growing fast and invite you to join our amazing team.
As a Full Stack developer, under the supervision of a Team Lead, you will actively participate in our research and development initiatives as well as the design and development of our current platform.
Responsibilities
Follow and contribute to implement the technical vision of the ShipTrack web systems.
Participate to the design and the development of the ShipTrack platform.
Participate to software releases.
Perform and develop unit testing and peer code review.
Document requirements and issues.
Anticipate and assess complex issues and propose adapted solutions.
Apply software development processes and policies defined by the development management team.
Requirements
University degree or college diploma in software development or equivalent experience.
Proficiency in agile methodology.
Understanding the microservice architecture.
Good Knowledge of C# and SQL languages.
Good knowledge of Javascript, CSS, HTML
Good knowledge of Visual Studio or VS Code.
Good knowledge of MSSQL, Redis and PostgreSQL.
Knowledge of Typescript, VueJS, Vuex, Vuex-ORM, Unit Testing (Jest), Tailwind and SCSS an asset.
Knowledge of .Net Core, Docker, MongoDB, Elasticsearch, MQTT, Kafka, RabbitMQ, Kong, an asset.
Knowledge of AWS and Azure cloud environments is an asset.
Sense of ownership and pride in your performance and its impact on company’s success
Critical thinker and problem-solving skills.
Great interpersonal and communication skills.
Team player.
Location:
This is a remote opportunity open to applicants authorized to work in Canada.
Join Us
As we scale, we’re looking for new doers, collaborators and innovators to join Descartes in uniting the people and technology that move the world as the Global Leader in Logistics and Supply Chain Technology. We’re entrepreneurial, hardworking, geeky-in-a-good way problem solvers. Guided by our values, we nurture a TEAM focused culture that invests in people and creates opportunities for advancement across a broad spectrum of career paths. We prioritize work-life balance and foster an environment with the space to take ownership, to be heard, and to carve a path for your individual accomplishments to help drive our success. At Descartes, everyone has a voice and the best argument wins, regardless of who makes it. We offer competitive compensation, great benefits, remote and flexible work hours, and the opportunity to join a company on an awesome mission with a great existing team and trajectory.
Descartes also has a deep sense of environmental responsibility. Learn more about how we helped our customers save over 552,000 metric tons of CO2 in 2020 by reducing fuel and paper consumption: https://www.descartes.com/who-we-are/social-responsibility-sustainability/environmental-impact. Join a team that’s committed to working with customers to conserve resources and enhance sustainability.
At Descartes, everyone has a voice and the best argument wins, regardless of who makes it. We offer competitive compensation, great benefits, remote and flexible work hours, and the opportunity to join a company on an awesome mission with a great existing team and trajectory. If you feel you have 70% of the qualifications we are looking for, and Descartes sounds like the team and the mission you want to be part of, apply now. We can't promise it will be a fit, but we do promise to consider your experience.
Due to COVID-19, we've implemented a virtual hiring process and continue to interview candidates by phone or video (Microsoft TEAMS) and are on-boarding new hires remotely. We value the safety of each member of our community because we know we're all in this together.
We are an Equal Employment employer. We do not discriminate in hiring on the basis of sex, gender identity, sexual orientation, race, color, religious creed, national origin, physical or mental disability, protected status, or any other characteristic protected by federal, provincial, or local law. For more information about our commitment to equal employment opportunity, please review our Code of Business Conduct and Ethics at Descartes.com. Descartes is committed to working with and providing reasonable accommodations to job applicants with disabilities. Applicants in North America with a disability who require a reasonable accommodation for any part of the application or hiring process can email us at hrna@descartes.com. Provide your name and contact information along with the accommodation needed to assist you with the application process. Your request will be responded to as soon as possible. Reasonable accommodations will be determined on a case-by-case basis."
4,Full Stack Developer (Entry Level) - Remote - Indeed.com,"Are you a recent graduate looking to launch your career in programming?
Marlabs Inc. is an award-winning Digital Services provider with dedicated industry practices in the banking and financial services, healthcare, media, and legal sectors. We are over 3000 strong workforces and have a proven global delivery model with dedicated training and development centers in the US, Canada, Germany, Brazil, and India ensuring that our employees stay current on industry and technology trends.
We are currently hiring graduate students for Entry/Mid-Level opportunities.
Candidates must have:
Strong knowledge of Object-Oriented Programming concepts.
Strong knowledge of Database concepts.
Basic programming knowledge of Javascript, HTML, CSS.
Angular or React is preferred.
Excellent communication skills.
Willingness to learn new technologies.
Masters or bachelor's degree in a related area.
Job Type:
Full-time.
Work Remotely:
No."
5,"Software Engineer: Intern Opportunities - Vancouver, BC - Indeed.com","Every year, we welcome thousands of university students from every corner of the world to join Microsoft. You bring your aspirations, talent, potential—and excitement for the journey ahead.
At Microsoft, Interns work on real-world projects in collaboration with teams across the world, while having fun along the way. You’ll be empowered to build community, explore your passions and achieve your goals. This is your chance to bring your solutions and ideas to life while working on cutting-edge technology. The internship is designed not only for you to do great work with the opportunity to learn and grow, but to experience our culture full of diverse community connection, executive engagement, and memorable events.
We’re a company of learn-it-alls rather than know-it-alls and our culture is centered around embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. Does this sound like you? Learn more about our cultural attributes.
Are you ready to join us and create the future?
Come as you are, do what you love—start your journey with us today!
Responsibilities
Software engineers (SWEs) work with teammates to solve problems and build innovative software solutions. You are passionate about customers and product quality, and you provide technical guidance to Program Managers as they consider user needs and product requirements. You will also be expected to demonstrate an ability to learn and adopt relevant new technologies, tools, methods, and processes to leverage in your solutions. As a SWE, you are dedicated to design, development, and testing of next-generation software which will empower every person and organization on the planet to achieve more.
Applies engineering principles
to solve complex problems through sound and creative engineering.
Quickly learns
new engineering methods and incorporates them into his or her work processes.
Seeks feedback
and applies internal or industry best practices to improve his or her technical solutions.
Demonstrates skill
in time management and completing software projects in a cooperative team environment.
Qualifications
Pursuing a bachelor's or master's degree in engineering, computer science or related field.
Must have at least one additional quarter/semesterof school remaining following the completion of the internship.
Oneyear of programming experience in an object-oriented language.
Ability to demonstrate an understanding of computer science fundamentals, including data structures and algorithms.
Visit our Careers FAQ Page to learn more about the interview process and answers to commonly asked questions.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
6,"developer, software - Orillia, ON - Indeed.com","Computer and Information Sciences and Support Services, General, Other
Computer Programming/Programmer, General
Computer Programming, Specific Applications
or equivalent experience
Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Programming Languages
PHP
Java
Python
React.js
Security and Safety
Criminal record check
Own Tools/Equipment
Internet access
Cellular phone
Work Conditions and Physical Capabilities
Fast-paced environment
Work under pressure
Attention to detail
Computer and Technology Knowledge
MAC
JavaOS
Project management software
Programming software
Software development
API
Personal Suitability
Accurate
Team player
Excellent oral communication
Excellent written communication
Organized
Workplace information
Remote work available"
7,"Junior Full Stack Software Developer - Kelowna, BC - Indeed.com","CATCHY INTRO
Alright, take two on this job posting! We headed back to the drawing board to brainstorm how we can find an authentic, hard-working individual and we have decided to up the stakes. This position (and the rest of the company) received a pay bump in order to maintain market competitiveness in this rapidly evolving industry that we all know and love. We really value our employees and like to show our appreciation through transparency and authenticity to our core. Great to see you’ve made it this far, now if you want to know more about what your day would look like at TerraSense, keep reading!
*
WHY WORK WITH US?*
Our main product targets the Aerospace and Defence sectors, using deep learning to surveil targets using cutting-edge airborne optical and radar sensors. Besides understanding how to use AI to monitor airborne sensors, or how to take the metadata from two sensors and fuse them together, we actually do appreciate the soft skills too. We strive to foster a culture of success, innovation, respect, and did we mention authenticity? That’s right, if you hate what the CTO is saying, we fully expect you to step up and tell him he’s wrong (or that you disagree). The Product Manager does all the time and she still hasn’t been fired.
Hint: A lot of our hires for this role have gotten noticed by writing an awesome cover letter that really leaned on our company pillar of “Authenticity” (tell us who you are, without all the corporate jargon).
*
WHAT YOU WOULD BE DOING...*
...on the development team for our MIST product, working to create and deploy aerial surveillance with artificial intelligence. The product will utilize edge computing, computer vision and deep learning algorithms. As a Junior developer, you will be a generalist, learning the various components of our tech stack and applying your skills with Python / C(++) and Git to develop, maintain, optimize, and document the MIST software system. You will work regularly with Docker, Git, video and sensor data processing libraries, and support the deployment of machine learning models using a range of GPU and CUDA powered tools, with plenty of opportunity to learn on the job from peers, mentors, and courses.
Okay so we hope that you got this far and are slightly intrigued by our culture and what you would be doing. Here comes the hard part. This role requires you to be a
Canadian Citizen or Permanent Resident having resided in Canada for at least 10 years as well as a criminal record and credit check
.
You will be required to work locally with flexibility on work hours.
These are hard requirements with no negotiation, so please do not apply to this particular role if you don’t meet these requirements. We will have other roles that come up without such stringent requirements, but there is no wiggle room on this one.
*
QUALIFICATIONS*
Solid knowledge of Python and/or C/C++ development (passion and academic projects count!)
Familiarity with version control (Git) and Agile development
Experience developing & maintaining deployable code
A passion for coding and an interest in machine learning (You will be working closely with our machine learning developers)
Experience working with small teams
For soft skills we would like you the most if you were adaptable, creative, multidisciplinary, self-directed
Eligible for security clearance and to work in Canada
Bonus: Experience with technical writing
COMPENSATION
$85,000-$95,000
10% salary enhancement for all candidates required to pass security requirements (local, flexible to come to the office as required, willing to be vetted)
Stock options based on experience, competency and length of service
5 weeks paid vacation
Relocation expenses paid for
Medical, dental and vision after 3 months of employment
Training and professional development allowance, and extended medical and dental
Beer Tuesdays at our neighbourhood microbrewery (post Covid!)
*
NON - COMPENSATION CONSIDERATIONS*
Accountability: We truly do work hard, play hard and expect everyone to self manage...meaning we don’t track hours.
Flexibility: If your best time to work is from 10pm to 2am, or you have kid drop offs and pickups, then we want to support that! We try to enable team communication by committing to M-Th 10am-2pm “office hours.” The rest is up to you.
Job Type: Full-time"
8,"Software Developer Intern, Bachelors, Summer 2022 - Toronto, ON - Indeed.com","Please complete your application before December 3rd, 2021.
Participation in the internship program requires that you are located in Canada for the duration of the internship program.
This internship is intended for students who are pursuing an Bachelor's degree program in Computer Science or a related field with an anticipated graduation date on or after December 2022, depending on their program and unique circumstances.
To start the application process, you will need an updated CV or resume and a current unofficial or official transcript in English. Click on the “Apply” button on this page and provide the required materials in the appropriate sections (PDFs preferred):
1. In the “Resume Section:” attach an updated CV or resume.
2. In the “Education Section:” attach a current or recent unofficial or official transcript in English.
Under “Degree Status,” select “Now attending” to upload a transcript.
Note: By applying to this position you will have an opportunity to share your preferred working location from the following:
Waterloo, ON, Canada; Montreal, QC, Canada; Toronto, ON, Canada
.
Minimum qualifications:
Pursuing a Bachelor's degree program or post secondary or training experience with a focus on subjects in software development or other technical related field.
Experience in Software Development and coding in a general purpose programming language.
Experience coding in two of C, C++, Java, JavaScript, Python or similar.
Preferred qualifications:
Currently attending a degree program in the Canada and available to work full time for a minimum of 12 weeks outside of university term time.
Anticipated graduation by December 2022 or returning to a degree program after completion of the internship.
Experience with data structures or algorithms gathered from inside or outside of school or work.
Experience programming in three or more of C, C++, C#, Java, JavaScript, Go, Python or similar.
Experience with web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, or security software development.
Ability to speak and write in English fluently.
About the job
Join us for a unique 12-14 week paid internship that offers personal and professional development, an executive speaker series, and community-building. The Software Developer Internship program will give you an opportunity to work on complex computer science solutions, develop scalable, distributed software systems, and also collaborate on multitudes of smaller projects that have universal appeal.
We offer a range of internships in either Software Developing or Site-Reliability Developing across North America, including the US and Canada. Our recruitment team will determine where you fit best based on your resume.
Software Developer Intern:
As a key member of a versatile team, you will work on a specific project critical to Google’s needs. We need our developers to be versatile and enthusiastic in addressing new problems as we continue to push technology forward. You will design, test, deploy and maintain software solutions as you grow and evolve during your internship.
Site Reliability Intern:
Our developers create, fix, extend and scale the code to keep it working and to harden it against all the bad actors of the internet. We drive reliability and performance on a massive scale. You will work on software development projects to keep important systems up and running, from code-level troubleshooting of traffic anomalies to maintenance of our most cutting-edge services, from monitoring and alerts to building new automation infrastructure.
Google is and always will be a developing company. We hire people with a broad set of technical skills who are ready to address some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, developers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google developers are changing the world one technological achievement after another.
Responsibilities
Create and support a team. This includes working with peers, managers, and teams.
Develop scripts to automate routine tasks.
Analyze information and evaluate results to choose the best solution to effectively solve problems.
Apply knowledge gained in computer science courses to real world problems.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form."
9,"Software Developer- C# & Python, Mapping - Markham, ON - Indeed.com","Job Description
Create software for vehicle level functions in C# and Python is desired to perform integration and verification testing with minimal direction of lead engineers.
Analyze software defects; determine root cause, create software solution, test and verify closure.
Performs design and analysis on changes.
Diagnose, debug and solve issues related to vehicle hardware and software
Work with teams from multiple groups to meet project milestones
Performs other related duties as assigned.
Create software for vehicle level functions and perform integration and verification testing with minimal direction of lead engineers.
Analyze software defects; figure out root cause, create software solution, test and verify closure.
Performs design and analysis on changes.
Diagnose, debug and solve issues related to vehicle hardware and software.
Work with teams from multiple groups to meet project milestones
Performs other related duties as assigned.
About GM
Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.
Why Join Us
We aspire to be the most inclusive company in the world. We believe we all must make a choice every day - individually and collectively - to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.
Diversity Information
General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteeropportunities.
We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.
Equal Employment Opportunity Statement
Accommodation is available for applicants with disabilities. Should you be contacted by General Motors of Canada, please advise if you require accommodation. General Motors of Canada values diversity and is an equal opportunity employer."
